signal_date,replacement_leg,ts_code,name,buy_executed,buy_reject_reason,buy_trade_date,exit_trade_date,security_net_return,return_at_80pct,exit_rule
20240527,NONE,,,false,no_current_candidate,,,0,0,
20240702,E2,000820.SZ,神雾节能,true,,20240703,20240704,-0.101712215476831,-0.081369772381465,fixed_t2_close
20240726,NONE,,,false,no_current_candidate,,,0,0,
20240830,NONE,,,false,no_current_candidate,,,0,0,
20241119,C,002366.SZ,融发核电,true,,20241120,20241122,0.214758713311229,0.171806970648983,fixed_hold3_close
20241211,E2,002629.SZ,仁智股份,true,,20241212,20241213,-0.042876879766197,-0.034301503812957,fixed_t2_close
20250114,C,002717.SZ,岭南股份,true,,20250115,20250117,-0.034542007569895,-0.027633606055916,fixed_hold3_close
20250210,E2,600193.SH,创兴资源,false,open_limit_up_unbuyable,20250211,,0,0,fixed_t2_close
20250325,NONE,,,false,no_current_candidate,,,0,0,
20250430,NONE,,,false,no_current_candidate,,,0,0,
20250604,E2,300949.SZ,奥雅股份,true,,20250605,20250606,-0.128902742963977,-0.103122194371181,fixed_t2_close
20250613,E2,301357.SZ,北方长龙,true,,20250616,20250617,0.038333911119555,0.030667128895644,fixed_t2_close
20250624,E2,301398.SZ,星源卓镁,true,,20250625,20250626,0.000124505494506,0.000099604395605,fixed_t2_close
20250711,E2,002209.SZ,达意隆,true,,20250714,20250715,0.183463415527390,0.146770732421912,fixed_t2_close
20250717,E2,002910.SZ,庄园牧场,true,,20250718,20250721,-0.042488576408985,-0.033990861127188,fixed_t2_close
20250804,E2,300965.SZ,恒宇信通,true,,20250805,20250806,0.169504793573773,0.135603834859019,fixed_t2_close
20250905,E2,688638.SH,誉辰智能,true,,20250908,20250909,-0.168466546310832,-0.134773237048666,fixed_t2_close
20250922,E2,301319.SZ,唯特偶,true,,20250923,20250924,0.077614718769603,0.062091775015682,fixed_t2_close
20250929,E2,301518.SZ,长华化学,true,,20250930,20251009,0.029742971306314,0.023794377045051,fixed_t2_close
20260106,E2,300837.SZ,浙矿股份,true,,20260107,20260108,-0.035618066062194,-0.028494452849755,fixed_t2_close
20260313,E2,001366.SZ,播恩集团,false,open_limit_up_unbuyable,20260316,,0,0,fixed_t2_close
20260325,C,603829.SH,洛凯股份,true,,20260326,20260330,0.002570091685786,0.002056073348629,fixed_hold3_close
20260408,E2,688693.SH,锴威特,true,,20260409,20260410,0.241628994900047,0.193303195920038,fixed_t2_close
