signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,matched_strategy_branch_ids,resolved_exit_profile_id,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20231011,C,002947.SZ,恒铭达,20231012,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,331675416.18185496,OK,20231013,0.23385269439081102,22.3,22.3223,27.57,27.54243,1.774,1.774,1.0,0.1918482008093924,True,True,True,20231013,20231012
20231016,C,603186.SH,华正新材,20231017,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,385011642.308012,OK,20231019,0.0289632809022351,39.97,40.009969999999996,41.21,41.16879,1.06,1.06,1.0,0.022951352031881037,True,True,True,20231019,20231017
20231117,C,603838.SH,四通股份,20231120,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,5024352.527999999,OK,20231121,0.26499993512980535,7.7,7.707699999999999,9.76,9.75024,2.085,2.085,1.0,0.2175238602754389,True,True,True,20231121,20231120
20240221,C,000702.SZ,正虹科技,20240222,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,39832889.031848,OK,20240226,0.09268423883808485,3.9,3.9038999999999993,4.27,4.26573,2.553,2.553,1.0,0.07547856079881644,True,True,True,20240226,20240222
20240408,C,002207.SZ,准油股份,20240409,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,172898644.07123402,OK,20240411,-0.11726431463273557,6.84,6.846839999999999,6.05,6.04395,2.053,2.053,1.0,-0.09758869769375351,True,True,True,20240411,20240409
20240409,C,600094.SH,大名城,20240410,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,612753529.216824,OK,20240412,-0.0607040018804722,4.08,4.084079999999999,3.84,3.83616,2.756,2.756,1.0,-0.05096423610213294,True,True,True,20240412,20240410
20240411,C,002597.SZ,金禾实业,20240412,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,521624175.498438,OK,20240415,0.0085022581435783,20.91,20.930909999999997,21.13,21.10887,5.235,5.235,1.0,0.006084681334447652,True,True,True,20240415,20240412
20240524,C,000958.SZ,电投产融,20240527,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,220058080.5513875,OK,20240528,-0.08444164531121034,4.6,4.604599999999999,4.22,4.21578,4.722,4.722,1.0,-0.07053192925226931,True,True,True,20240528,20240527
20240607,C,603843.SH,正平股份,20240611,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,67638063.12890048,OK,20240613,-0.006054920689066878,2.46,2.4624599999999996,2.45,2.44755,1.437,1.437,1.0,-0.005915263367729706,True,True,True,20240613,20240611
20240628,C,600076.SH,康欣新材,20240701,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,84051747.245496,OK,20240702,0.2780169470816958,1.39,1.3913899999999997,1.78,1.7782200000000001,3.265,3.265,1.0,0.22825419651751166,True,True,True,20240702,20240701
20240703,C,603079.SH,圣达生物,20240704,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,63579218.199549004,OK,20240705,0.007564734916651217,11.48,11.49148,11.59,11.57841,2.07,2.07,1.0,0.005311851172129201,True,True,True,20240705,20240704
20240712,C,603188.SH,亚邦股份,20240715,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,109440655.9264,OK,20240716,-0.09509520330415844,2.68,2.68268,2.43,2.4275700000000002,2.16,2.16,1.0,-0.0793139953563227,True,True,True,20240716,20240715
20240718,C,600620.SH,天宸股份,20240719,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,227032338.13810003,OK,20240722,-0.03526473526473528,4.8,4.804799999999999,4.64,4.6353599999999995,429.174,429.174,1.0,-0.029993840934065943,True,True,True,20240722,20240719
20240806,C,002919.SZ,名臣健康,20240807,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,328323493.72102493,OK,20240809,-0.0019980019980019303,12.75,12.762749999999999,12.75,12.73725,3.409,3.409,1.0,-0.0025710164835164276,True,True,True,20240809,20240807
20240809,C,003026.SZ,中晶科技,20240812,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,135800740.05079347,OK,20240813,0.14321392892821483,30.24,30.270239999999994,34.64,34.60536,1.3381,1.3381,1.0,0.11713178865777094,True,True,True,20240813,20240812
20240815,C,002425.SZ,凯撒文化,20240816,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,238506271.187946,OK,20240819,0.0612087912087913,3.0,3.0029999999999997,3.19,3.18681,4.425,4.425,1.0,0.04953234997252755,True,True,True,20240819,20240816
20240828,C,600693.SH,东百集团,20240829,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,94526099.417552,OK,20240830,0.0014081481658272388,2.93,2.93293,2.94,2.93706,10.7756,10.7756,1.0,0.000236781241795658,True,True,True,20240830,20240829
20240829,C,600936.SH,广西广电,20240830,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,243620395.03987327,OK,20240903,-0.0313510019392369,2.38,2.3823799999999995,2.31,2.30769,1.026,1.026,1.0,-0.02676762629282454,True,True,True,20240903,20240830
20240902,C,000627.SZ,天茂集团,20240903,FIXED_T2_CLOSE,2,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,C_BRANCH_3_PROFIT_EXPANSION,C_THIRD_LIMITUP30_50_RANK4_10_FD01_03_CHAIN_NOT15_AMOUNT_NOT2_3,1.0,412500.0,776238674.044625,OK,20240904,0.06128992958261281,2.05,2.0520499999999995,2.18,2.17782,28.918,28.918,1.0,0.04959923491021199,True,True,True,20240904,20240903
20240926,C,600649.SH,城投控股,20240927,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,284772853.3797932,OK,20241008,0.1658901845817733,4.28,4.28428,5.0,4.995,15.9521,15.9521,1.0,0.13582454616411618,True,True,True,20241008,20240927
20241018,C,002708.SZ,光洋股份,20241021,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,202573090.6525175,OK,20241023,0.030800185729763285,8.52,8.528519999999999,8.8,8.7912,3.14,3.14,1.0,0.024465571002940792,True,True,True,20241023,20241021
20241024,C,002562.SZ,兄弟科技,20241025,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,152535886.446612,OK,20241029,0.06231768231768253,4.5,4.504499999999999,4.79,4.78521,6.896,6.896,1.0,0.0504464441208793,True,True,True,20241029,20241025
20241104,C,603185.SH,弘元绿能,20241105,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,511899606.58325,OK,20241107,-0.06793451246958582,24.52,24.54452,22.9,22.8771,3.8416,3.8416,1.0,-0.0569245755494505,True,True,True,20241107,20241105
20241113,C,600104.SH,上汽集团,20241114,FIXED_T3_CLOSE,3,C_STRONG_LEADER_RANK4_10_FD01_03,C_BRANCH_2_STRONG_LEADER,C_STRONG_LEADER_RANK4_10_FD01_03,1.0,412500.0,12577998638.498262,OK,20241118,0.07788915028467724,16.99,17.00699,18.35,18.33165,11.0107,11.0107,1.0,0.06328249956018099,True,True,True,20241118,20241114
20241119,C,002366.SZ,融发核电,20241120,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,240041371.61650395,OK,20241122,0.21637871331122893,4.89,4.894889999999999,5.96,5.95404,2.332,2.332,1.0,0.1774438434065936,True,True,True,20241122,20241120
20241127,C,000962.SZ,东方钽业,20241128,FIXED_T3_CLOSE,3,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,C_BRANCH_1_CORE_REFINEMENT,C_CORE_REFINEMENT_1100_1330_MULTI_OPEN,1.0,412500.0,303355606.36265576,OK,20241202,-0.06893716040057474,16.4,16.416399999999996,15.3,15.2847,3.373,3.373,1.0,-0.05775109007303647,True,True,True,20241202,20241128
