action_date,cash_before,equity_before,signal_date,status,execution_status,strategy_leg,account_return,cash_after,equity_after,ts_code,name,exit_date,entry_filled,position_opened,outcome_observable,quantity,position_ratio,entry_price,exit_price,buy_gross,raw_sell_gross,adjusted_sell_gross,corporate_action_adjustment,buy_commission,sell_commission,transfer_fee,stamp_tax,buy_slippage,sell_slippage,total_fees,total_slippage,buy_adj_factor,sell_adj_factor,peak_equity,drawdown
20230901,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230904,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230905,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230906,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230907,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230908,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230911,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230912,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230913,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230914,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230915,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230918,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230919,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230920,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230921,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230922,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230925,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230926,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230927,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230928,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20231009,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20231010,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20231011,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20231012,500000.0,500000.0,20231011,EXECUTED,OK,C,0.19102514644815982,595512.5732240799,595512.5732240799,002947.SZ,恒铭达,20231013,True,True,True,18400.0,0.8214606399999999,22.3223,27.54243,410730.31999999995,506780.712,506780.71199999994,-5.820766091346741e-11,123.21909599999998,152.03421359999996,9.175110319999998,253.39035599999997,410.3199999999589,507.288000000014,537.8187759199999,917.6079999999729,1.774,1.774,595512.5732240799,0.0
20231013,595512.5732240799,595512.5732240799,,SKIP_OCCUPIED,,,0.0,595512.5732240799,595512.5732240799,,,,,,,,,,,,,,,,,,,,,,,,,595512.5732240799,0.0
20231016,595512.5732240799,595512.5732240799,,NO_PLAN,,,0.0,595512.5732240799,595512.5732240799,,,,,,,,,,,,,,,,,,,,,,,,,595512.5732240799,0.0
20231017,595512.5732240799,595512.5732240799,20231016,EXECUTED,OK,C,0.02280297162688183,609092.0295347599,609092.0295347599,603186.SH,华正新材,20231019,True,True,True,12200.0,0.8196663780872502,40.009969999999996,41.16879,488121.63399999996,502259.238,502259.23799999995,-5.820766091346741e-11,146.43649019999998,150.67777139999998,9.90380872,251.129619,487.6339999999601,502.7619999999942,558.1476893199999,990.3959999999543,1.06,1.06,609092.0295347599,0.0
20231018,609092.0295347599,609092.0295347599,,SKIP_OCCUPIED,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231019,609092.0295347599,609092.0295347599,,SKIP_OCCUPIED,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231020,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231023,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231024,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231025,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231026,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231027,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231030,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231031,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231101,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231102,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231103,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231106,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231107,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231108,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231109,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231110,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231113,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231114,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231115,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231116,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231117,609092.0295347599,609092.0295347599,,NO_PLAN,,,0.0,609092.0295347599,609092.0295347599,,,,,,,,,,,,,,,,,,,,,,,,,609092.0295347599,0.0
20231120,609092.0295347599,609092.0295347599,20231117,EXECUTED,OK,C,0.21720800566363319,741391.6945356199,741391.6945356199,603838.SH,四通股份,20231121,True,True,True,65100.0,0.8238020621994769,7.707699999999999,9.75024,501771.26999999996,634740.624,634740.624,0.0,150.53138099999998,190.42218719999997,11.365118939999999,317.37031199999996,501.26999999993035,635.3759999999994,669.6889991399999,1136.6459999999297,2.085,2.085,741391.6945356199,0.0
20231121,741391.6945356199,741391.6945356199,,SKIP_OCCUPIED,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231122,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231123,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231124,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231127,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231128,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231129,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231130,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231201,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231204,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231205,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231206,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231207,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231208,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231211,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231212,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231213,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231214,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231215,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231218,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231219,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231220,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231221,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231222,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231225,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231226,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231227,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231228,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20231229,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20240102,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20240103,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20240104,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20240105,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
20240108,741391.6945356199,741391.6945356199,,NO_PLAN,,,0.0,741391.6945356199,741391.6945356199,,,,,,,,,,,,,,,,,,,,,,,,,741391.6945356199,0.0
