signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20231120,E,300210.SZ,森远股份,20231121,fixed_t2_close,2,,1.0,412500.0,694689197.968784,OK,20231122,0.05784351045472924,10.34,10.35034,10.96,10.94904,5.977,5.977,1.0,0.04675824219929025,True,True,True,20231122,20231121
20240229,E,300293.SZ,蓝英装备,20240301,fixed_t2_close,2,,1.0,412500.0,590695313.363378,OK,20240304,0.07634120496917363,15.16,15.175159999999998,16.35,16.333650000000002,4.759,4.759,1.0,0.06200647908934758,True,True,True,20240304,20240301
20240328,E,300411.SZ,金盾股份,20240329,fixed_t2_close,2,,1.0,412500.0,584060487.0959915,OK,20240401,0.0006162795946689226,15.27,15.285269999999997,15.31,15.294690000000001,3.623,3.623,1.0,-0.00041598116323727624,True,True,True,20240401,20240329
20240409,E,300890.SZ,翔丰华,20240410,fixed_t2_close,2,,1.0,412500.0,413313919.920678,OK,20240411,-0.05152431837825089,42.72,42.762719999999995,40.6,40.559400000000004,1.002,1.002,1.0,-0.04339713153630071,True,True,True,20240411,20240410
20240530,E,300423.SZ,昇辉科技,20240531,fixed_hold3_close,3,,1.0,412500.0,142408164.7869235,OK,20240604,0.11877930986211238,6.28,6.28628,7.04,7.03296,3.383,3.383,1.0,0.09698955636242734,True,True,True,20240604,20240531
20240612,E,300956.SZ,英力股份,20240613,fixed_t2_close,2,,1.0,412500.0,213021515.31312004,OK,20240614,0.08182260437121847,24.17,24.19417,26.2,26.1738,1.2233,1.2233,1.0,0.06652497065088417,True,True,True,20240614,20240613
20240613,E,688573.SH,信宇人,20240614,fixed_t2_close,2,,1.0,412500.0,34481306.545795,OK,20240617,0.017321205706475107,21.18,21.201179999999997,21.59,21.56841,1.0,1.0,1.0,0.01335441981212861,True,True,True,20240617,20240614
20240705,E,300417.SZ,南华仪器,20240708,fixed_hold3_close,3,,1.0,412500.0,101300686.46127,OK,20240710,0.02359179282256174,8.97,8.97897,9.2,9.1908,3.667,3.667,1.0,0.01852346386305976,True,True,True,20240710,20240708
20240805,E,300329.SZ,海伦钢琴,20240806,fixed_t2_close,2,,1.0,412500.0,157422899.827652,OK,20240807,0.006853456964321714,4.51,4.51451,4.55,4.54545,3.732,3.732,1.0,0.004725522172949005,True,True,True,20240807,20240806
20240903,E,300068.SZ,南都电源,20240904,fixed_t2_close,2,,1.0,412500.0,1863089553.8124468,OK,20240905,0.06303253653383978,11.51,11.52151,12.26,12.24774,2.6134,2.6134,1.0,0.05103572114787907,True,True,True,20240905,20240904
20240909,E,300134.SZ,大富科技,20240910,fixed_t2_close,2,,1.0,412500.0,672954931.6306319,OK,20240911,0.20051137203603564,8.92,8.92892,10.73,10.71927,4.327,4.327,1.0,0.16436389020536632,True,True,True,20240911,20240910
20240924,E,300803.SZ,指南针,20240925,fixed_t2_close,2,,1.0,412500.0,2381943516.22418,OK,20240926,0.12965332539800656,47.0,47.047,53.2,53.146800000000006,1.003,1.003,1.0,0.10595335261865817,True,True,True,20240926,20240925
20241014,E,300663.SZ,科蓝软件,20241015,fixed_hold3_close,3,,1.0,412500.0,1623788240.27539,OK,20241017,0.009978021978022111,25.0,25.025,25.3,25.2747,3.382,3.382,1.0,0.007301200318681428,True,True,True,20241017,20241015
20241115,E,301021.SZ,英诺激光,20241118,fixed_t2_close,2,,1.0,412500.0,826737913.1191221,OK,20241119,-0.09166830062738918,38.62,38.65861999999999,35.15,35.11485,1.009,1.009,1.0,-0.07648909067570182,True,True,True,20241119,20241118
20250103,E,002369.SZ,卓翼科技,20250106,fixed_t2_close,2,,1.0,412500.0,144860200.091898,OK,20250107,0.009760489878310352,6.79,6.79679,6.87,6.86313,4.294,4.294,1.0,0.0071218817022448595,True,True,True,20250107,20250106
20250106,E,600405.SH,动力源,20250107,fixed_t2_close,2,,1.0,412500.0,108103207.96421202,OK,20250108,0.04722318497828715,5.88,5.885879999999999,6.17,6.16383,7.101,7.101,1.0,0.038003570713725156,True,True,True,20250108,20250107
20250108,E,301001.SZ,凯淳股份,20250109,fixed_t2_close,2,,1.0,412500.0,257064487.65599996,OK,20250110,0.07353945866917266,37.39,37.427389999999995,40.22,40.17978,1.016,1.016,1.0,0.05969691065881177,True,True,True,20250110,20250109
20250127,E,002691.SZ,冀凯股份,20250205,fixed_t2_close,2,,1.0,412500.0,117570944.2759245,OK,20250206,0.3103636623117143,7.7,7.707699999999999,10.11,10.09989,1.729,1.729,1.0,0.25491862088982453,True,True,True,20250206,20250205
20250228,E,301396.SZ,宏景科技,20250303,fixed_t2_close,2,,1.0,412500.0,160748085.51093376,OK,20250304,0.11358463233150795,60.01,60.07000999999999,66.96,66.89304,1.218,1.218,1.0,0.09270741874293853,True,True,True,20250304,20250303
20250310,E,688529.SH,豪森智能,20250311,fixed_t2_close,2,,1.0,412500.0,214628227.561976,OK,20250312,-0.023232087061874296,23.5,23.5235,23.0,22.977,1.025,1.025,1.0,-0.020074946983867196,True,True,True,20250312,20250311
20250312,E,300042.SZ,朗科科技,20250313,fixed_t2_close,2,,1.0,412500.0,780046107.3690001,OK,20250314,0.006633366633366666,37.0,37.037,37.32,37.28268,3.188,3.188,1.0,0.004544094725274752,True,True,True,20250314,20250313
20250313,E,300810.SZ,中科海讯,20250314,fixed_t2_close,2,,1.0,412500.0,394994608.846214,OK,20250317,0.1398454310112962,33.28,33.31328,38.01,37.97199,1.51,1.51,1.0,0.11435502887504605,True,True,True,20250317,20250314
20250317,E,300353.SZ,东土科技,20250318,fixed_t2_close,2,,1.0,412500.0,1223418062.596799,OK,20250319,0.07965670692943427,20.9,20.920899999999996,22.61,22.58739,6.544,6.544,1.0,0.06473955262237768,True,True,True,20250319,20250318
20250320,E,301079.SZ,邵阳液压,20250321,fixed_t2_close,2,,1.0,412500.0,72552485.21294448,OK,20250324,0.23056328395790948,28.28,28.308279999999996,34.87,34.83513,1.312,1.312,1.0,0.18913663535077044,True,True,True,20250324,20250321
20250429,E,300695.SZ,兆丰股份,20250430,fixed_t2_close,2,,1.0,412500.0,523239132.05486906,OK,20250506,0.11366181546337528,74.38,74.45437999999999,83.0,82.917,1.1036,1.1036,1.0,0.09277104324910121,True,True,True,20250506,20250430
20250514,E,300946.SZ,恒而达,20250515,fixed_hold3_close,3,,1.0,412500.0,569692573.1719999,OK,20250519,0.2125365282199816,69.5,69.56949999999999,84.44,84.35556,1.854,1.854,1.0,0.1742766082465018,True,True,True,20250519,20250515
20250521,E,301662.SZ,宏工科技,20250522,fixed_t2_close,2,,1.0,412500.0,190685990.023536,OK,20250523,0.011180742334588656,78.0,78.07799999999999,79.03,78.95097,1.0,1.0,1.0,0.008292640894970553,True,True,True,20250523,20250522
20250704,E,301389.SZ,隆扬电子,20250707,fixed_t2_close,2,,1.0,412500.0,283607949.02551496,OK,20250708,0.04879011091936469,32.03,32.06203,33.66,33.62634,1.0709,1.0709,1.0,0.03929523751685401,True,True,True,20250708,20250707
20250729,E,301038.SZ,深水规院,20250730,fixed_hold3_close,3,,1.0,412500.0,1031771681.7937,OK,20250801,0.04956543456543483,30.0,30.029999999999998,31.55,31.51845,1.7195,1.7195,1.0,0.03993436141483538,True,True,True,20250801,20250730
20250731,E,301171.SZ,易点天下,20250801,fixed_t2_close,2,,1.0,412500.0,1477710211.7474248,OK,20250804,-0.057859433799283266,35.91,35.94590999999999,33.9,33.866099999999996,1.0106,1.0106,1.0,-0.04861936831777232,True,True,True,20250804,20250801
20250811,E,300870.SZ,欧陆通,20250812,fixed_hold3_close,3,,1.0,412500.0,1924785568.014593,OK,20250814,0.27196692400511746,163.38,163.54337999999998,208.23,208.02177,1.0299,1.0299,1.0,0.2232669704072555,True,True,True,20250814,20250812
20250813,E,301217.SZ,铜冠铜箔,20250814,fixed_t2_close,2,,1.0,412500.0,2983708959.069562,OK,20250815,0.0720268705567737,29.93,29.959929999999996,32.15,32.11785,1.025,1.025,1.0,0.05845003625308873,True,True,True,20250815,20250814
20250815,E,300539.SZ,横河精密,20250818,fixed_t2_close,2,,1.0,412500.0,822673631.857876,OK,20250819,0.12473241044669647,31.5,31.531499999999998,35.5,35.4645,2.3353,2.3353,1.0,0.10189688618524358,True,True,True,20250819,20250818
20250822,E,300113.SZ,顺网科技,20250825,fixed_t2_close,2,,1.0,412500.0,2038285487.2185495,OK,20250826,0.023426519659027756,27.87,27.897869999999998,28.58,28.551419999999997,11.8763,11.8763,1.0,0.01838722394693575,True,True,True,20250826,20250825
20250904,E,603595.SH,东尼电子,20250905,fixed_t2_close,2,,1.0,412500.0,158621160.56060326,OK,20250908,0.03776303377897006,25.1,25.1251,26.1,26.073900000000002,1.975,1.975,1.0,0.0302052677203275,True,True,True,20250908,20250905
20250911,E,688195.SH,腾景科技,20250912,fixed_hold3_close,3,,1.0,412500.0,1014638325.044,OK,20250916,0.14250115209867542,96.9,96.9969,110.93,110.81907000000001,1.0271,1.0271,1.0,0.11654422408651728,True,True,True,20250916,20250912
20251009,E,688691.SH,灿芯股份,20251010,fixed_t2_close,2,,1.0,412500.0,780336025.5320117,OK,20251013,0.14969830169830178,125.0,125.12499999999999,144.0,143.856,1.0123,1.0123,1.0,0.12247706301098907,True,True,True,20251013,20251010
20251020,E,301158.SZ,德石股份,20251021,fixed_t2_close,2,,1.0,412500.0,379783284.62325126,OK,20251022,0.16699648381271515,25.63,25.655629999999995,29.97,29.94003,1.0546,1.0546,1.0,0.13673650374518212,True,True,True,20251022,20251021
20251031,E,300204.SZ,舒泰神,20251103,fixed_t2_close,2,,1.0,412500.0,1941652176.2286224,OK,20251104,-0.05065059940059924,40.0,40.03999999999999,38.05,38.01195,7.842,7.842,1.0,-0.04267689724244492,True,True,True,20251104,20251103
