signal_date,strategy_leg,ts_code,name,event_id,signal_hhmm,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20240208,D,688683.SH,莱尔科技,3916,1000,OK,20240220,0.207125,13.44,13.44,16.24,16.22376,1.022,1.022,0.8,0.135852570975,True,True,True,20240220,20240208
20240226,D,688325.SH,赛微微电,5583,953,QUEUE_UNCONFIRMED_NO_DEPTH,20240228,,33.38,33.38,36.37,36.33363,1.0,1.0,0.8,,False,False,False,,20240226
20240312,D,300181.SZ,佐力药业,6284,950,OK,20240314,-0.0557499999999999,13.32,13.32,12.59,12.57741,7.715,7.715,0.8,-0.0375043960499999,True,True,True,20240314,20240312
20240314,D,301333.SZ,诺思格,6379,957,OK,20240318,-0.083017275419546,60.78,60.78,55.79,55.73421,1.605,1.605,0.8,-0.0554862207414611,True,True,True,20240318,20240314
20240422,D,300200.SZ,高盟新材,7677,957,OK,20240424,-0.0415188811188811,7.15,7.15,6.86,6.853140000000001,4.043,4.043,0.8,-0.0281194655446153,True,True,True,20240424,20240422
20240607,D,300716.SZ,泉为科技,8915,939,QUEUE_UNCONFIRMED_NO_DEPTH,20240612,,6.47,6.47,6.23,6.22377,1.521,1.521,0.8,,False,False,False,,20240607
20241101,D,301392.SZ,汇成真空,19331,959,OK,20241105,0.0483460631082279,67.82,67.82,71.17,71.09883,1.0062,1.0062,0.8,0.0311433558460928,True,True,True,20241105,20241101
20241111,D,688116.SH,天奈科技,20303,946,OK,20241113,0.147798284377437,38.47,38.47,44.2,44.1558,1.5037,1.5037,0.8,0.0967286547262802,True,True,True,20241113,20241111
20241206,D,301388.SZ,欣灵电气,22235,947,OK,20241210,-0.1048986220472441,30.48,30.48,27.31,27.28269,1.038,1.038,0.8,-0.0699162117478346,True,True,True,20241210,20241206
20250217,D,301428.SZ,世纪恒通,24532,941,QUEUE_UNCONFIRMED_NO_DEPTH,20250219,,48.1,48.1,51.22,51.16878,1.0138,1.0138,0.8,,False,False,False,,20250217
20250219,D,688401.SH,路维光电,24667,957,OK,20250221,0.0109073960880197,32.72,32.72,33.11,33.07689,1.4691,1.4691,0.8,0.0064538503241443,True,True,True,20250221,20250219
20250624,D,300969.SZ,恒帅股份,28258,947,QUEUE_UNCONFIRMED_NO_DEPTH,20250626,,67.19,67.19,65.9,65.8341,1.431,1.431,0.8,,False,False,False,,20250624
20250818,D,300049.SZ,福瑞股份,30310,944,QUEUE_UNCONFIRMED_NO_DEPTH,20250820,,60.19,60.19,71.3,71.2287,3.637,3.637,0.8,,False,False,False,,20250818
20250922,D,300250.SZ,初灵信息,31943,957,OK,20250924,0.2196827932450935,21.91,21.91,26.75,26.72325,4.204,4.204,0.8,0.1441340011204929,True,True,True,20250924,20250922
20260107,D,688759.SH,必贝特,35317,950,OK,20260109,0.1843217391304346,41.4,41.4,49.08,49.030919999999995,1.0,1.0,0.8,0.1208146094243477,True,True,True,20260109,20260107
20260123,D,688516.SH,奥特维,36621,955,OK,20260127,0.1098766803688477,90.01,90.01,100.0,99.9,3.3369,3.3369,0.8,0.0717206689701143,True,True,True,20260127,20260123
20260126,D,300461.SZ,田中精机,36697,945,OK,20260128,0.0642184258694327,32.78,32.78,34.92,34.88508,1.822,1.822,0.8,0.0416106299033557,True,True,True,20260128,20260126
20260410,D,688690.SH,纳微科技,39020,948,OK,20260414,0.0116696258719086,31.54,31.54,31.94,31.908060000000003,1.0087,1.0087,0.8,0.0069565144934686,True,True,True,20260414,20260410
20260511,D,688766.SH,普冉股份,40049,1000,OK,20260513,0.1563228346456693,381.0,381.0,441.0,440.559,4.1292,4.1292,0.8,0.1023503006787401,True,True,True,20260513,20260511
20260518,D,688807.SH,优迅股份,40399,950,OK,20260520,0.0298340058894102,458.45,458.45,472.6,472.1274,1.0,1.0,0.8,0.0189352946274622,True,True,True,20260520,20260518
20260522,D,300179.SZ,四方达,40671,1000,OK,20260526,0.1761822948797038,32.42,32.42,38.17,38.13183,7.186,7.186,0.8,0.1154469275657618,True,True,True,20260526,20260522
20260525,D,688001.SH,华兴源创,40799,942,OK,20260527,-0.0640501514233797,82.55,82.55,77.34,77.26266,1.032,1.032,0.8,-0.0429780587284797,True,True,True,20260527,20260525
20260608,D,301313.SZ,凡拓数创,41496,953,OK,20260610,0.1769574576271189,59.0,59.0,69.51,69.44049000000001,1.011,1.011,0.8,0.115958120577051,True,True,True,20260610,20260608
20260622,D,300401.SZ,花园生物,42357,946,OK,20260624,0.0020166079516859,19.87,19.87,19.93,19.91007,5.3624,5.3624,0.8,0.0005906831695017,True,True,True,20260624,20260622
20260630,D,688728.SH,格科微,43048,943,QUEUE_UNCONFIRMED_NO_DEPTH,20260702,,21.04,21.04,24.46,24.43554,1.0042,1.0042,0.8,,False,False,False,,20260630
