action_date,cash_before,equity_before,signal_date,status,execution_status,strategy_leg,account_return,cash_after,equity_after,ts_code,name,exit_date,entry_filled,position_opened,outcome_observable,quantity,position_ratio,entry_price,exit_price,buy_gross,raw_sell_gross,adjusted_sell_gross,corporate_action_adjustment,buy_commission,sell_commission,transfer_fee,stamp_tax,buy_slippage,sell_slippage,total_fees,total_slippage,buy_adj_factor,sell_adj_factor,peak_equity,drawdown
20230901,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230904,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230905,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230906,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230907,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230908,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230911,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230912,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230913,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230914,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230915,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230918,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230919,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230920,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230921,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230922,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230925,500000.0,500000.0,,NO_PLAN,,,0.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,0.0
20230926,500000.0,500000.0,20230925,EXECUTED,OK,A,0.22409795265155985,612048.9763257799,612048.9763257799,300255.SZ,常山药业,20230927,True,True,True,38100.0,0.8237829600000001,10.8108,13.766219999999999,411891.48000000004,524492.982,524492.982,0.0,123.567444,157.34789459999996,9.363844620000002,262.246491,411.47999999998854,525.0180000000217,552.5256742199999,936.4980000000103,7.922,7.922,612048.9763257799,0.0
20230927,612048.9763257799,612048.9763257799,,SKIP_OCCUPIED,,,0.0,612048.9763257799,612048.9763257799,,,,,,,,,,,,,,,,,,,,,,,,,612048.9763257799,0.0
20230928,612048.9763257799,612048.9763257799,20230927,EXECUTED,OK,A,-0.08609901880942061,559352.16000082,559352.16000082,300370.SZ,安控科技,20231009,True,True,True,155200.0,0.8249411722424819,3.2532499999999995,2.91708,504904.3999999999,452730.816,452730.81599999993,-5.820766091346741e-11,151.47131999999996,135.81924479999998,9.576352159999999,226.36540799999997,504.3999999999272,453.1840000000052,523.2323249599999,957.5839999999324,16.472,16.472,612048.9763257799,-0.08609901880942061
20231009,559352.16000082,559352.16000082,,SKIP_OCCUPIED,,,0.0,559352.16000082,559352.16000082,,,,,,,,,,,,,,,,,,,,,,,,,612048.9763257799,-0.08609901880942061
20231010,559352.16000082,559352.16000082,,NO_PLAN,,,0.0,559352.16000082,559352.16000082,,,,,,,,,,,,,,,,,,,,,,,,,612048.9763257799,-0.08609901880942061
20231011,559352.16000082,559352.16000082,,NO_PLAN,,,0.0,559352.16000082,559352.16000082,,,,,,,,,,,,,,,,,,,,,,,,,612048.9763257799,-0.08609901880942061
20231012,559352.16000082,559352.16000082,20231011,EXECUTED,OK,C,0.19117214959009599,666284.71480604,666284.71480604,002947.SZ,恒铭达,20231013,True,True,True,20600.0,0.8220927939195334,22.3223,27.54243,459839.37999999995,567374.058,567374.058,0.0,137.95181399999998,170.2122174,10.27213438,283.687029,459.37999999995395,567.9420000000157,602.12319478,1027.3219999999696,1.774,1.774,666284.71480604,0.0
20231013,666284.71480604,666284.71480604,,SKIP_OCCUPIED,,,0.0,666284.71480604,666284.71480604,,,,,,,,,,,,,,,,,,,,,,,,,666284.71480604,0.0
20231016,666284.71480604,666284.71480604,,NO_PLAN,,,0.0,666284.71480604,666284.71480604,,,,,,,,,,,,,,,,,,,,,,,,,666284.71480604,0.0
20231017,666284.71480604,666284.71480604,20231016,EXECUTED,OK,C,0.0228867048214052,681533.77640082,681533.77640082,603186.SH,华正新材,20231019,True,True,True,13700.0,0.8226762175679899,40.009969999999996,41.16879,548136.5889999999,564012.4230000001,564012.423,-1.1641532182693481e-10,164.44097669999996,169.20372689999996,11.121490119999999,282.0062115,547.5889999999551,564.5769999999935,626.77240522,1112.1659999999488,1.06,1.06,681533.77640082,0.0
20231018,681533.77640082,681533.77640082,,SKIP_OCCUPIED,,,0.0,681533.77640082,681533.77640082,,,,,,,,,,,,,,,,,,,,,,,,,681533.77640082,0.0
20231019,681533.77640082,681533.77640082,,SKIP_OCCUPIED,,,0.0,681533.77640082,681533.77640082,,,,,,,,,,,,,,,,,,,,,,,,,681533.77640082,0.0
20231020,681533.77640082,681533.77640082,,NO_PLAN,,,0.0,681533.77640082,681533.77640082,,,,,,,,,,,,,,,,,,,,,,,,,681533.77640082,0.0
20231023,681533.77640082,681533.77640082,,NO_PLAN,,,0.0,681533.77640082,681533.77640082,,,,,,,,,,,,,,,,,,,,,,,,,681533.77640082,0.0
20231024,681533.77640082,681533.77640082,,NO_PLAN,,,0.0,681533.77640082,681533.77640082,,,,,,,,,,,,,,,,,,,,,,,,,681533.77640082,0.0
20231025,681533.77640082,681533.77640082,,NO_PLAN,,,0.0,681533.77640082,681533.77640082,,,,,,,,,,,,,,,,,,,,,,,,,681533.77640082,0.0
20231026,681533.77640082,681533.77640082,,NO_PLAN,,,0.0,681533.77640082,681533.77640082,,,,,,,,,,,,,,,,,,,,,,,,,681533.77640082,0.0
20231027,681533.77640082,681533.77640082,,NO_PLAN,,,0.0,681533.77640082,681533.77640082,,,,,,,,,,,,,,,,,,,,,,,,,681533.77640082,0.0
20231030,681533.77640082,681533.77640082,,NO_PLAN,,,0.0,681533.77640082,681533.77640082,,,,,,,,,,,,,,,,,,,,,,,,,681533.77640082,0.0
20231031,681533.77640082,681533.77640082,,NO_PLAN,,,0.0,681533.77640082,681533.77640082,,,,,,,,,,,,,,,,,,,,,,,,,681533.77640082,0.0
20231101,681533.77640082,681533.77640082,20231031,EXECUTED,OK,A,0.04869727532096846,714722.6143507501,714722.6143507501,300269.SZ,联建光电,20231102,True,True,True,120700.0,0.8243410296800722,4.65465,4.93506,561816.255,595661.742,595661.742,0.0,168.5448765,178.69852259999996,11.574779970000002,297.830871,561.2549999999784,596.2580000000469,656.6490500699999,1157.5130000000254,4.233,4.233,714722.6143507501,0.0
20231102,714722.6143507501,714722.6143507501,,SKIP_OCCUPIED,,,0.0,714722.6143507501,714722.6143507501,,,,,,,,,,,,,,,,,,,,,,,,,714722.6143507501,0.0
20231103,714722.6143507501,714722.6143507501,20231102,EXECUTED,OK,A,0.03206133936304201,737637.5786398902,737637.5786398902,301091.SZ,深城交,20231106,True,True,True,25300.0,0.823480270782595,23.263239999999996,24.19578,588559.972,612153.2339999999,612153.2339999999,0.0,176.56799159999997,183.64597019999997,12.00713206,306.076617,587.971999999942,612.7659999999921,678.2977108599999,1200.7379999999341,1.976,1.976,737637.5786398902,0.0
20231106,737637.5786398902,737637.5786398902,,SKIP_OCCUPIED,,,0.0,737637.5786398902,737637.5786398902,,,,,,,,,,,,,,,,,,,,,,,,,737637.5786398902,0.0
20231107,737637.5786398902,737637.5786398902,,NO_PLAN,,,0.0,737637.5786398902,737637.5786398902,,,,,,,,,,,,,,,,,,,,,,,,,737637.5786398902,0.0
20231108,737637.5786398902,737637.5786398902,,NO_PLAN,,,0.0,737637.5786398902,737637.5786398902,,,,,,,,,,,,,,,,,,,,,,,,,737637.5786398902,0.0
20231109,737637.5786398902,737637.5786398902,,NO_PLAN,,,0.0,737637.5786398902,737637.5786398902,,,,,,,,,,,,,,,,,,,,,,,,,737637.5786398902,0.0
20231110,737637.5786398902,737637.5786398902,20231109,EXECUTED,OK,A,0.059009041839962695,781164.8653805802,781164.8653805802,301297.SZ,富乐德,20231113,True,True,True,17300.0,0.8219194500880779,35.04500999999999,37.60236,606278.6729999998,650520.828,650520.8279999999,-1.1641532182693481e-10,181.88360189999995,195.15624839999995,12.567995009999997,325.2604139999999,605.672999999873,651.1720000000558,714.8682593099998,1256.8449999999289,1.004,1.004,781164.8653805802,0.0
20231113,781164.8653805802,781164.8653805802,,SKIP_OCCUPIED,,,0.0,781164.8653805802,781164.8653805802,,,,,,,,,,,,,,,,,,,,,,,,,781164.8653805802,0.0
20231114,781164.8653805802,781164.8653805802,,NO_PLAN,,,0.0,781164.8653805802,781164.8653805802,,,,,,,,,,,,,,,,,,,,,,,,,781164.8653805802,0.0
20231115,781164.8653805802,781164.8653805802,,NO_PLAN,,,0.0,781164.8653805802,781164.8653805802,,,,,,,,,,,,,,,,,,,,,,,,,781164.8653805802,0.0
20231116,781164.8653805802,781164.8653805802,,NO_PLAN,,,0.0,781164.8653805802,781164.8653805802,,,,,,,,,,,,,,,,,,,,,,,,,781164.8653805802,0.0
20231117,781164.8653805802,781164.8653805802,20231116,EXECUTED,OK,A,-0.003918632090536334,778103.7676711003,778103.7676711003,300637.SZ,扬帆新材,20231120,True,True,True,52900.0,0.823613251840953,12.162149999999999,12.11787,643377.735,641035.323,641035.3230000001,1.1641532182693481e-10,193.0133205,192.3105969,12.844130580000002,320.51766150000003,642.7349999999116,641.6770000000456,718.68570948,1284.411999999957,1.983,1.983,781164.8653805802,-0.003918632090536334
20231120,778103.7676711003,778103.7676711003,,SKIP_OCCUPIED,,,0.0,778103.7676711003,778103.7676711003,,,,,,,,,,,,,,,,,,,,,,,,,781164.8653805802,-0.003918632090536334
20231121,778103.7676711003,778103.7676711003,20231120,EXECUTED,OK,E,0.046742616071965504,814474.3733475005,814474.3733475005,300210.SZ,森远股份,20231122,True,True,True,62000.0,0.8247242934200153,10.35034,10.94904,641721.08,678840.48,678840.4800000001,1.1641532182693481e-10,192.51632399999997,203.65214400000002,13.205615600000002,339.42024000000004,641.0799999999597,679.5200000000464,748.7943236000001,1320.600000000006,5.977,5.977,814474.3733475005,0.0
20231122,814474.3733475005,814474.3733475005,,SKIP_OCCUPIED,,,0.0,814474.3733475005,814474.3733475005,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,0.0
20231123,814474.3733475005,814474.3733475005,,NO_PLAN,,,0.0,814474.3733475005,814474.3733475005,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,0.0
20231124,814474.3733475005,814474.3733475005,,NO_PLAN,,,0.0,814474.3733475005,814474.3733475005,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,0.0
20231127,814474.3733475005,814474.3733475005,20231124,EXECUTED,OK,A,-0.03667123530909011,784606.5919492505,784606.5919492505,300291.SZ,百纳千成,20231128,True,True,True,79500.0,0.8246434780255951,8.448439999999998,8.08191,671650.9799999999,642511.8450000001,642511.845,-1.1641532182693481e-10,201.49529399999994,192.75355349999998,13.14162825,321.2559225,670.9799999998767,643.1549999999415,728.64639825,1314.1349999998183,8.145,8.145,814474.3733475005,-0.03667123530909011
20231128,784606.5919492505,784606.5919492505,,SKIP_OCCUPIED,,,0.0,784606.5919492505,784606.5919492505,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,-0.03667123530909011
20231129,784606.5919492505,784606.5919492505,,NO_PLAN,,,0.0,784606.5919492505,784606.5919492505,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,-0.03667123530909011
20231130,784606.5919492505,784606.5919492505,20231129,EXECUTED,OK,A,0.021739936067964427,801663.8890967307,801663.8890967307,300351.SZ,永贵电器,20231201,True,True,True,28100.0,0.824548642132547,23.022999999999996,23.65632,646946.2999999999,664742.5920000001,664742.5920000001,0.0,194.08388999999997,199.4227776,13.116888920000001,332.37129600000003,646.2999999998914,665.4079999999667,738.99485252,1311.7079999998582,4.49,4.49,814474.3733475005,-0.015728529552278547
20231201,801663.8890967307,801663.8890967307,,SKIP_OCCUPIED,,,0.0,801663.8890967307,801663.8890967307,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,-0.015728529552278547
20231204,801663.8890967307,801663.8890967307,20231201,EXECUTED,OK,A,-0.06522971597818861,749371.5813009809,749371.5813009809,300418.SZ,昆仑万维,20231205,True,True,True,16500.0,0.8239049357009307,40.02999,36.903059999999996,660494.835,608900.49,608900.49,0.0,198.14845049999997,182.670147,12.69395325,304.450245,659.8349999999335,609.5100000000216,697.9627957499999,1269.3449999999552,4.042,4.042,814474.3733475005,-0.07993227801501757
20231205,749371.5813009809,749371.5813009809,,SKIP_OCCUPIED,,,0.0,749371.5813009809,749371.5813009809,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,-0.07993227801501757
20231206,749371.5813009809,749371.5813009809,20231205,EXECUTED,OK,A,-0.028411147431394834,728081.0748237412,728081.0748237412,300560.SZ,中富通,20231207,True,True,True,30800.0,0.8228441208425538,20.019999999999996,19.350630000000002,616615.9999999999,595999.4040000001,595999.4040000001,0.0,184.98479999999995,178.79982120000003,12.126154040000001,297.99970200000007,615.9999999998774,596.5959999999554,673.9104772400001,1212.5959999998329,2.772,2.772,814474.3733475005,-0.10607245771120044
20231207,728081.0748237412,728081.0748237412,,SKIP_OCCUPIED,,,0.0,728081.0748237412,728081.0748237412,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,-0.10607245771120044
20231208,728081.0748237412,728081.0748237412,,NO_PLAN,,,0.0,728081.0748237412,728081.0748237412,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,-0.10607245771120044
20231211,728081.0748237412,728081.0748237412,,NO_PLAN,,,0.0,728081.0748237412,728081.0748237412,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,-0.10607245771120044
20231212,728081.0748237412,728081.0748237412,,NO_PLAN,,,0.0,728081.0748237412,728081.0748237412,,,,,,,,,,,,,,,,,,,,,,,,,814474.3733475005,-0.10607245771120044
