action_date,shadow_nav,allowed
20190103,1.0,True
20190104,1.0,True
20190107,1.0,True
20190108,1.0,True
20190109,1.0,True
20190110,1.0,True
20190111,1.0,True
20190114,1.0,True
20190115,1.0,True
20190116,1.0,True
20190117,1.0,True
20190118,1.0,True
20190121,1.0,True
20190122,1.0,True
20190123,1.0,True
20190124,1.0,True
20190125,1.0,True
20190128,1.0,True
20190129,1.0,True
20190130,1.0,True
20190131,1.0,True
20190201,1.0,True
20190211,1.0,True
20190212,1.0,True
20190213,1.0,True
20190214,1.0,True
20190215,1.0,True
20190218,1.0,True
20190219,1.0,True
20190220,1.0,True
20190221,1.0,True
20190222,1.0,True
20190225,1.0,True
20190226,1.0,True
20190227,1.0,True
20190228,1.0,True
20190301,1.0,True
20190304,1.0,True
20190305,1.0,True
20190306,1.0,True
20190307,1.0,True
20190308,1.0,True
20190311,1.0,True
20190312,1.0,True
20190313,1.0,True
20190314,1.0,True
20190315,1.0,True
20190318,1.0,True
20190319,1.0,True
20190320,1.0,True
20190321,1.0,True
20190322,1.0,True
20190325,1.0,True
20190326,1.0,True
20190327,1.0,True
20190328,1.0,True
20190329,1.0,True
20190401,1.0,True
20190402,1.0,True
20190403,1.0,True
20190404,1.0,True
20190408,1.0,True
20190409,1.0,True
20190410,1.0,True
20190411,1.0,True
20190412,1.0,True
20190415,1.0,True
20190416,1.0,True
20190417,1.0,True
20190418,1.0,True
20190419,1.0,True
20190422,1.0,True
20190423,1.0,True
20190424,1.0,True
20190425,1.0,True
20190426,1.0,True
20190429,1.0,True
20190430,1.0,True
20190506,1.0,True
20190507,1.0,True
20190508,1.0,True
20190509,1.0,True
20190510,1.0,True
20190513,1.0,True
20190514,1.0,True
20190515,1.0,True
20190516,1.0,True
20190517,1.0,True
20190520,1.0,True
20190521,1.0,True
20190522,1.0,True
20190523,1.0,True
20190524,1.0,True
20190527,1.0,True
20190528,1.0,True
20190529,1.0,True
20190530,1.0,True
20190531,1.0,True
20190603,1.0,True
20190604,1.0,True
20190605,1.0,True
20190606,1.0,True
20190610,1.0,True
20190611,1.0,True
20190612,1.0,True
20190613,1.0,True
20190614,1.0,True
20190617,1.0,True
20190618,1.0,True
20190619,1.0,True
20190620,1.0,True
20190621,1.0,True
20190624,1.0,True
20190625,1.0,True
20190626,1.0,True
20190627,1.0,True
20190628,1.0,True
20190701,1.0,True
20190702,1.0,True
20190703,1.0,True
20190704,1.0,True
20190705,1.0,True
20190708,1.0,True
20190709,1.0,True
20190710,1.0,True
20190711,1.0,True
20190712,1.0,True
20190715,1.0,True
20190716,1.0,True
20190717,1.0,True
20190718,1.0,True
20190719,1.0,True
20190722,1.0,True
20190723,1.0,True
20190724,1.0,True
20190725,1.0,True
20190726,1.0,True
20190729,1.0,True
20190730,1.0,True
20190731,1.0,True
20190801,1.0,True
20190802,1.0,True
20190805,1.0,True
20190806,1.0,True
20190807,1.0,True
20190808,1.0,True
20190809,1.0,True
20190812,1.0,True
20190813,1.0,True
20190814,1.0,True
20190815,1.0,True
20190816,1.0,True
20190819,1.0,True
20190820,1.0,True
20190821,1.0,True
20190822,1.0,True
20190823,1.0,True
20190826,1.0,True
20190827,1.0,True
20190828,1.0,True
20190829,1.0,True
20190830,1.0,True
20190902,1.0,True
20190903,1.0,True
20190904,1.0,True
20190905,1.0,True
20190906,1.0,True
20190909,1.0,True
20190910,1.0,True
20190911,1.0,True
20190912,1.0,True
20190916,1.0,True
20190917,1.0,True
20190918,1.0,True
20190919,1.0,True
20190920,1.0,True
20190923,1.0,True
20190924,1.0,True
20190925,1.0,True
20190926,1.0,True
20190927,1.0,True
20190930,1.0,True
20191008,1.0,True
20191009,1.0,True
20191010,1.0,True
20191011,1.0,True
20191014,1.0,True
20191015,1.0,True
20191016,1.0,True
20191017,1.0,True
20191018,1.0,True
20191021,1.0,True
20191022,1.0,True
20191023,1.0,True
20191024,1.0,True
20191025,1.0,True
20191028,1.0,True
20191029,1.0,True
20191030,1.0,True
20191031,1.0,True
20191101,1.0,True
20191104,1.0,True
20191105,1.0,True
20191106,1.0,True
20191107,1.0,True
20191108,1.0,True
20191111,1.0,True
20191112,1.0,True
20191113,1.0,True
20191114,1.0,True
20191115,1.0,True
20191118,1.0,True
