signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,peak_equity,drawdown,entry_gate_enabled,n_enabled
20240520,EXECUTED,A,300162.SZ,雷曼光电,20240521,20240522,0.4156846673630991,500000.0,707842.3336815495,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),707842.3336815495,0.0,True,True
20240521,SKIP_OCCUPIED,,,,,,0.0,707842.3336815495,707842.3336815495,A,300162.SZ,20240522,,707842.3336815495,0.0,True,True
20240522,EXECUTED,N,002129.SZ,TCL中环,20240523,20240524,-0.014679796111031658,707842.3336815495,697451.3525443475,,,,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;FIXED_CLOSE;前复权;日期化显式费用,707842.3336815495,-0.014679796111031651,True,True
20240523,SKIP_OCCUPIED,,,,,,0.0,697451.3525443475,697451.3525443475,N,002129.SZ,20240524,,707842.3336815495,-0.014679796111031651,True,True
20240524,EXECUTED,N,002897.SZ,意华股份,20240527,20240528,-0.060955094345976624,697451.3525443475,654938.1395482778,,,,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;FIXED_CLOSE;前复权;日期化显式费用,707842.3336815495,-0.07474008210008065,True,True
20240527,SKIP_OCCUPIED,,,,,,0.0,654938.1395482778,654938.1395482778,N,002897.SZ,20240528,,707842.3336815495,-0.07474008210008065,True,True
20240528,EXECUTED,N,300290.SZ,荣科科技,20240529,20240530,-0.019725820536897084,654938.1395482778,642018.9473447793,,,,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;FIXED_CLOSE;前复权;日期化显式费用,707842.3336815495,-0.09299159319055861,True,True
20240529,SKIP_OCCUPIED,,,,,,0.0,642018.9473447793,642018.9473447793,N,300290.SZ,20240530,,707842.3336815495,-0.09299159319055861,True,True
20240530,EXECUTED,E,300423.SZ,昇辉科技,20240531,20240604,0.09665643063624264,642018.9473447793,704074.2071959635,,,,E_R1:33;first_time=before_1000,707842.3336815495,-0.005323398031292781,True,True
20240531,SKIP_OCCUPIED,,,,,,0.0,704074.2071959635,704074.2071959635,E,300423.SZ,20240604,,707842.3336815495,-0.005323398031292781,True,True
20240603,SKIP_OCCUPIED,,,,,,0.0,704074.2071959635,704074.2071959635,E,300423.SZ,20240604,,707842.3336815495,-0.005323398031292781,True,True
20240604,EXECUTED,N,300552.SZ,万集科技,20240605,20240606,-0.029121828955809066,704074.2071959635,683570.2785618057,,,,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;FIXED_CLOSE;前复权;日期化显式费用,707842.3336815495,-0.0342901999001709,True,True
20240605,SKIP_OCCUPIED,,,,,,0.0,683570.2785618057,683570.2785618057,N,300552.SZ,20240606,,707842.3336815495,-0.0342901999001709,True,True
20240606,NO_CANDIDATE,,,,,,0.0,683570.2785618057,683570.2785618057,,,,,707842.3336815495,-0.0342901999001709,True,True
20240607,NO_CANDIDATE,,,,,,0.0,683570.2785618057,683570.2785618057,,,,,707842.3336815495,-0.0342901999001709,True,True
20240611,EXECUTED,N,600171.SH,上海贝岭,20240612,20240613,-0.024839806512307664,683570.2785618057,666590.5251047662,,,,N双分支:SUPPLEMENT:CHAIN_3_8_MIXED_AMOUNT_DESC;FIXED_CLOSE;前复权;日期化显式费用,707842.3336815495,-0.058278244481689945,True,True
20240612,SKIP_OCCUPIED,,,,,,0.0,666590.5251047662,666590.5251047662,N,600171.SH,20240613,,707842.3336815495,-0.058278244481689945,True,True
20240613,EXECUTED,E,688573.SH,信宇人,20240614,20240617,0.01295349470784171,666590.5251047662,675225.2019440084,,,,E_R1:36;first_time=1100_1330,707842.3336815495,-0.04607965670532399,True,True
20240614,SKIP_OCCUPIED,,,,,,0.0,675225.2019440084,675225.2019440084,E,688573.SH,20240617,,707842.3336815495,-0.04607965670532399,True,True
