signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,peak_equity,drawdown,entry_gate_enabled,l_chain_3_8_enabled
20240520,EXECUTED,A,300162.SZ,雷曼光电,20240521,20240522,0.41560989394219244,500000.0,707804.9469710962,,,,a_audit_dynamic_account_return,707804.9469710962,0.0,True,False
20240521,SKIP_OCCUPIED,,,,,,0.0,707804.9469710962,707804.9469710962,A,300162.SZ,20240522,,707804.9469710962,0.0,True,False
20240522,NO_CANDIDATE,,,,,,0.0,707804.9469710962,707804.9469710962,,,,,707804.9469710962,0.0,True,False
20240523,EXECUTED,L,300722.SZ,新余国科,20240524,20240527,-0.07002920015698584,707804.9469710962,658237.9326675525,,,,L_EXECUTED,707804.9469710962,-0.070029200156986,True,False
20240524,SKIP_OCCUPIED,,,,,,0.0,658237.9326675525,658237.9326675525,L,300722.SZ,20240527,,707804.9469710962,-0.070029200156986,True,False
20240527,NO_CANDIDATE,,,,,,0.0,658237.9326675525,658237.9326675525,,,,,707804.9469710962,-0.070029200156986,True,False
20240528,NO_CANDIDATE,,,,,,0.0,658237.9326675525,658237.9326675525,,,,,707804.9469710962,-0.070029200156986,True,False
20240529,NO_CANDIDATE,,,,,,0.0,658237.9326675525,658237.9326675525,,,,,707804.9469710962,-0.070029200156986,True,False
20240530,EXECUTED,E2,300423.SZ,昇辉科技,20240531,20240604,0.09665643063624264,658237.9326675525,721860.8617485776,,,,E2_R1:33;first_time=before_1000,721860.8617485776,0.0,True,False
20240531,SKIP_OCCUPIED,,,,,,0.0,721860.8617485776,721860.8617485776,E2,300423.SZ,20240604,,721860.8617485776,0.0,True,False
20240603,SKIP_OCCUPIED,,,,,,0.0,721860.8617485776,721860.8617485776,E2,300423.SZ,20240604,,721860.8617485776,0.0,True,False
20240604,NO_CANDIDATE,,,,,,0.0,721860.8617485776,721860.8617485776,,,,,721860.8617485776,0.0,True,False
20240605,NO_CANDIDATE,,,,,,0.0,721860.8617485776,721860.8617485776,,,,,721860.8617485776,0.0,True,False
20240606,NO_CANDIDATE,,,,,,0.0,721860.8617485776,721860.8617485776,,,,,721860.8617485776,0.0,True,False
20240607,NO_CANDIDATE,,,,,,0.0,721860.8617485776,721860.8617485776,,,,,721860.8617485776,0.0,True,False
20240611,NO_CANDIDATE,,,,,,0.0,721860.8617485776,721860.8617485776,,,,,721860.8617485776,0.0,True,False
20240612,EXECUTED,E2,300956.SZ,英力股份,20240613,20240614,0.06616714860625518,721860.8617485776,769624.3366609351,,,,E2_R1:25;first_time=after_1430,769624.3366609351,0.0,True,False
20240613,SKIP_OCCUPIED,,,,,,0.0,769624.3366609351,769624.3366609351,E2,300956.SZ,20240614,,769624.3366609351,0.0,True,False
20240614,NO_CANDIDATE,,,,,,0.0,769624.3366609351,769624.3366609351,,,,,769624.3366609351,0.0,True,False
20240617,NO_CANDIDATE,,,,,,0.0,769624.3366609351,769624.3366609351,,,,,769624.3366609351,0.0,True,False
20240618,NO_CANDIDATE,,,,,,0.0,769624.3366609351,769624.3366609351,,,,,769624.3366609351,0.0,True,False
20240619,NO_CANDIDATE,,,,,,0.0,769624.3366609351,769624.3366609351,,,,,769624.3366609351,0.0,True,False
20240620,EXECUTED,A,300469.SZ,信息发展,20240621,20240624,0.05932284065934063,769624.3366609351,815280.6385522225,,,,a_audit_dynamic_account_return,815280.6385522225,0.0,True,False
20240621,SKIP_OCCUPIED,,,,,,0.0,815280.6385522225,815280.6385522225,A,300469.SZ,20240624,,815280.6385522225,0.0,True,False
20240624,NO_CANDIDATE,,,,,,0.0,815280.6385522225,815280.6385522225,,,,,815280.6385522225,0.0,True,False
20240625,NO_CANDIDATE,,,,,,0.0,815280.6385522225,815280.6385522225,,,,,815280.6385522225,0.0,True,False
20240626,NO_CANDIDATE,,,,,,0.0,815280.6385522225,815280.6385522225,,,,,815280.6385522225,0.0,True,False
20240627,NO_CANDIDATE,,,,,,0.0,815280.6385522225,815280.6385522225,,,,,815280.6385522225,0.0,True,False
20240628,NO_CANDIDATE,,,,,,0.0,815280.6385522225,815280.6385522225,,,,,815280.6385522225,0.0,True,False
20240701,EXECUTED,E2,600101.SH,明星电力,20240702,20240704,-0.03156500487769233,815280.6385522225,789546.3012196335,,,,E2_R1:33;first_time=before_1000,815280.6385522225,-0.031565004877692315,True,False
20240702,SKIP_OCCUPIED,,,,,,0.0,789546.3012196335,789546.3012196335,E2,600101.SH,20240704,,815280.6385522225,-0.031565004877692315,True,False
20240703,SKIP_OCCUPIED,,,,,,0.0,789546.3012196335,789546.3012196335,E2,600101.SH,20240704,,815280.6385522225,-0.031565004877692315,True,False
20240704,NO_CANDIDATE,,,,,,0.0,789546.3012196335,789546.3012196335,,,,,815280.6385522225,-0.031565004877692315,True,False
20240705,EXECUTED,E2,300417.SZ,南华仪器,20240708,20240710,0.018126729078613568,789546.3012196335,803858.1931168633,,,,E2_R1:33;first_time=before_1000,815280.6385522225,-0.014010446090861772,True,False
