signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,peak_equity,drawdown,entry_gate_enabled
20240520,EXECUTED,A,300162.SZ,雷曼光电,20240521,20240522,0.4156846673630991,500000.0,707842.3336815495,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),707842.3336815495,0.0,False
20240521,SKIP_OCCUPIED,,,,,,0.0,707842.3336815495,707842.3336815495,A,300162.SZ,20240522,,707842.3336815495,0.0,False
20240522,NO_CANDIDATE,,,,,,0.0,707842.3336815495,707842.3336815495,,,,,707842.3336815495,0.0,False
20240523,EXECUTED,E,300722.SZ,新余国科,20240524,20240527,-0.07002920015698579,707842.3336815495,658272.7012165764,,,,E_R1:23;first_time=1100_1330,707842.3336815495,-0.07002920015698577,False
20240524,SKIP_OCCUPIED,,,,,,0.0,658272.7012165764,658272.7012165764,E,300722.SZ,20240527,,707842.3336815495,-0.07002920015698577,False
20240527,NO_CANDIDATE,,,,,,0.0,658272.7012165764,658272.7012165764,,,,,707842.3336815495,-0.07002920015698577,False
20240528,NO_CANDIDATE,,,,,,0.0,658272.7012165764,658272.7012165764,,,,,707842.3336815495,-0.07002920015698577,False
20240529,NO_CANDIDATE,,,,,,0.0,658272.7012165764,658272.7012165764,,,,,707842.3336815495,-0.07002920015698577,False
20240530,EXECUTED,E,300423.SZ,昇辉科技,20240531,20240604,0.09665643063624264,658272.7012165764,721898.9909014485,,,,E_R1:33;first_time=before_1000,721898.9909014485,0.0,False
20240531,SKIP_OCCUPIED,,,,,,0.0,721898.9909014485,721898.9909014485,E,300423.SZ,20240604,,721898.9909014485,0.0,False
20240603,SKIP_OCCUPIED,,,,,,0.0,721898.9909014485,721898.9909014485,E,300423.SZ,20240604,,721898.9909014485,0.0,False
20240604,NO_CANDIDATE,,,,,,0.0,721898.9909014485,721898.9909014485,,,,,721898.9909014485,0.0,False
20240605,NO_CANDIDATE,,,,,,0.0,721898.9909014485,721898.9909014485,,,,,721898.9909014485,0.0,False
20240606,NO_CANDIDATE,,,,,,0.0,721898.9909014485,721898.9909014485,,,,,721898.9909014485,0.0,False
20240607,NO_CANDIDATE,,,,,,0.0,721898.9909014485,721898.9909014485,,,,,721898.9909014485,0.0,False
20240611,NO_CANDIDATE,,,,,,0.0,721898.9909014485,721898.9909014485,,,,,721898.9909014485,0.0,False
20240612,EXECUTED,E,300956.SZ,英力股份,20240613,20240614,0.06616714860625518,721898.9909014485,769664.9887111303,,,,E_R1:25;first_time=after_1430,769664.9887111303,0.0,False
20240613,SKIP_OCCUPIED,,,,,,0.0,769664.9887111303,769664.9887111303,E,300956.SZ,20240614,,769664.9887111303,0.0,False
20240614,NO_CANDIDATE,,,,,,0.0,769664.9887111303,769664.9887111303,,,,,769664.9887111303,0.0,False
20240617,NO_CANDIDATE,,,,,,0.0,769664.9887111303,769664.9887111303,,,,,769664.9887111303,0.0,False
20240618,NO_CANDIDATE,,,,,,0.0,769664.9887111303,769664.9887111303,,,,,769664.9887111303,0.0,False
20240619,NO_CANDIDATE,,,,,,0.0,769664.9887111303,769664.9887111303,,,,,769664.9887111303,0.0,False
20240620,EXECUTED,A,300469.SZ,信息发展,20240621,20240624,0.05968620659340656,769664.9887111303,815603.3722350547,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),815603.3722350547,0.0,False
20240621,SKIP_OCCUPIED,,,,,,0.0,815603.3722350547,815603.3722350547,A,300469.SZ,20240624,,815603.3722350547,0.0,False
20240624,NO_CANDIDATE,,,,,,0.0,815603.3722350547,815603.3722350547,,,,,815603.3722350547,0.0,False
20240625,NO_CANDIDATE,,,,,,0.0,815603.3722350547,815603.3722350547,,,,,815603.3722350547,0.0,False
20240626,NO_CANDIDATE,,,,,,0.0,815603.3722350547,815603.3722350547,,,,,815603.3722350547,0.0,False
20240627,NO_CANDIDATE,,,,,,0.0,815603.3722350547,815603.3722350547,,,,,815603.3722350547,0.0,False
20240628,NO_CANDIDATE,,,,,,0.0,815603.3722350547,815603.3722350547,,,,,815603.3722350547,0.0,False
20240701,EXECUTED,E,600101.SH,明星电力,20240702,20240704,-0.03156500487769233,815603.3722350547,789858.847812193,,,,E_R1:33;first_time=before_1000,815603.3722350547,-0.031565004877692204,False
20240702,SKIP_OCCUPIED,,,,,,0.0,789858.847812193,789858.847812193,E,600101.SH,20240704,,815603.3722350547,-0.031565004877692204,False
20240703,SKIP_OCCUPIED,,,,,,0.0,789858.847812193,789858.847812193,E,600101.SH,20240704,,815603.3722350547,-0.031565004877692204,False
20240704,NO_CANDIDATE,,,,,,0.0,789858.847812193,789858.847812193,,,,,815603.3722350547,-0.031565004877692204,False
20240705,EXECUTED,E,300417.SZ,南华仪器,20240708,20240710,0.018126729078613568,789858.847812193,804176.4051568304,,,,E_R1:33;first_time=before_1000,815603.3722350547,-0.014010446090861772,False
20240708,SKIP_OCCUPIED,,,,,,0.0,804176.4051568304,804176.4051568304,E,300417.SZ,20240710,,815603.3722350547,-0.014010446090861772,False
20240709,SKIP_OCCUPIED,,,,,,0.0,804176.4051568304,804176.4051568304,E,300417.SZ,20240710,,815603.3722350547,-0.014010446090861772,False
20240710,NO_CANDIDATE,,,,,,0.0,804176.4051568304,804176.4051568304,,,,,815603.3722350547,-0.014010446090861772,False
20240711,EXECUTED,E,300280.SZ,紫天科技,20240712,20240715,-0.045235791497975505,804176.4051568304,767798.8489655646,,,,E_R1:23;first_time=1330_1430,815603.3722350547,-0.05861246397067732,False
20240712,SKIP_OCCUPIED,,,,,,0.0,767798.8489655646,767798.8489655646,E,300280.SZ,20240715,,815603.3722350547,-0.05861246397067732,False
20240715,NO_CANDIDATE,,,,,,0.0,767798.8489655646,767798.8489655646,,,,,815603.3722350547,-0.05861246397067732,False
20240716,NO_CANDIDATE,,,,,,0.0,767798.8489655646,767798.8489655646,,,,,815603.3722350547,-0.05861246397067732,False
20240717,NO_CANDIDATE,,,,,,0.0,767798.8489655646,767798.8489655646,,,,,815603.3722350547,-0.05861246397067732,False
20240718,EXECUTED,E,002549.SZ,凯美特气,20240719,20240723,-0.020257963152232328,767798.8489655646,752244.8081748937,,,,E_R1:33;first_time=1100_1330,815603.3722350547,-0.07768305798753028,False
20240719,SKIP_OCCUPIED,,,,,,0.0,752244.8081748937,752244.8081748937,E,002549.SZ,20240723,,815603.3722350547,-0.07768305798753028,False
20240722,SKIP_OCCUPIED,,,,,,0.0,752244.8081748937,752244.8081748937,E,002549.SZ,20240723,,815603.3722350547,-0.07768305798753028,False
20240723,NO_CANDIDATE,,,,,,0.0,752244.8081748937,752244.8081748937,,,,,815603.3722350547,-0.07768305798753028,False
20240724,NO_CANDIDATE,,,,,,0.0,752244.8081748937,752244.8081748937,,,,,815603.3722350547,-0.07768305798753028,False
20240725,NO_CANDIDATE,,,,,,0.0,752244.8081748937,752244.8081748937,,,,,815603.3722350547,-0.07768305798753028,False
20240726,NO_CANDIDATE,,,,,,0.0,752244.8081748937,752244.8081748937,,,,,815603.3722350547,-0.07768305798753028,False
20240729,NO_CANDIDATE,,,,,,0.0,752244.8081748937,752244.8081748937,,,,,815603.3722350547,-0.07768305798753028,False
20240730,NO_CANDIDATE,,,,,,0.0,752244.8081748937,752244.8081748937,,,,,815603.3722350547,-0.07768305798753028,False
20240731,NO_CANDIDATE,,,,,,0.0,752244.8081748937,752244.8081748937,,,,,815603.3722350547,-0.07768305798753028,False
20240801,NO_CANDIDATE,,,,,,0.0,752244.8081748937,752244.8081748937,,,,,815603.3722350547,-0.07768305798753028,False
20240802,EXECUTED,A,300149.SZ,睿智医药,20240805,20240806,0.22568833154417828,752244.8081748937,922017.6838446559,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),922017.6838446559,0.0,False
20240805,SKIP_OCCUPIED,,,,,,0.0,922017.6838446559,922017.6838446559,A,300149.SZ,20240806,,922017.6838446559,0.0,False
20240806,NO_CANDIDATE,,,,,,0.0,922017.6838446559,922017.6838446559,,,,,922017.6838446559,0.0,False
20240807,NO_CANDIDATE,,,,,,0.0,922017.6838446559,922017.6838446559,,,,,922017.6838446559,0.0,False
20240808,NO_CANDIDATE,,,,,,0.0,922017.6838446559,922017.6838446559,,,,,922017.6838446559,0.0,False
20240809,NO_CANDIDATE,,,,,,0.0,922017.6838446559,922017.6838446559,,,,,922017.6838446559,0.0,False
20240812,NO_CANDIDATE,,,,,,0.0,922017.6838446559,922017.6838446559,,,,,922017.6838446559,0.0,False
20240813,NO_CANDIDATE,,,,,,0.0,922017.6838446559,922017.6838446559,,,,,922017.6838446559,0.0,False
20240814,EXECUTED,E,600696.SH,岩石股份,20240815,20240816,-0.03639870626407909,922017.6838446559,888457.4330001078,,,,E_R1:25;first_time=1330_1430,922017.6838446559,-0.03639870626407904,False
20240815,SKIP_OCCUPIED,,,,,,0.0,888457.4330001078,888457.4330001078,E,600696.SH,20240816,,922017.6838446559,-0.03639870626407904,False
20240816,EXECUTED,E,603324.SH,盛剑科技,20240819,20240821,-0.06487964002828853,888457.4330001078,830814.6345666036,,,,E_R1:36;first_time=before_1000,922017.6838446559,-0.09891681133245855,False
20240819,SKIP_OCCUPIED,,,,,,0.0,830814.6345666036,830814.6345666036,E,603324.SH,20240821,,922017.6838446559,-0.09891681133245855,False
