signal_date,strategy_leg,ts_code,name,event_id,signal_hhmm,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date,fill_gate_required,fill_probability_threshold,fill_input_reliable,estimated_turnover_amount,current_queue_amount,fill_probability_method
20231107,D,300951.SZ,博硕科技,1273,943,OK,20231109,0.0201500000000001,66.6,66.6,68.01,67.94199,1.595,1.595,1.0,0.01254902781,True,True,True,20231109.0,20231107,True,0.8,False,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS
20240208,D,688683.SH,莱尔科技,3916,1000,OK,20240220,0.207125,13.44,13.44,16.24,16.22376,1.022,1.022,1.0,0.135852570975,True,True,True,20240220.0,20240208,True,0.8,False,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS
20240226,D,688325.SH,赛微微电,5583,953,QUEUE_UNCONFIRMED_NO_DEPTH,20240228,,33.38,33.38,36.37,36.33363,1.0,1.0,1.0,,False,False,False,,20240226,True,0.8,False,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS
20240312,D,300181.SZ,佐力药业,6284,950,OK,20240314,-0.0557499999999999,13.32,13.32,12.59,12.57741,7.715,7.715,1.0,-0.0375043960499999,True,True,True,20240314.0,20240312,True,0.8,False,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS
20240314,D,300347.SZ,泰格医药,6374,941,OK,20240318,0.0127634902411022,52.26,52.26,52.98,52.92702,12.616,12.616,1.0,0.0076778801972445,True,True,True,20240318.0,20240314,True,0.8,False,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS
20240408,D,301488.SZ,豪恩汽电,7062,951,OK,20240410,-0.0443443804034581,62.46,62.46,59.75,59.69025,1.007,1.007,1.0,-0.0299827845605186,True,True,True,20240410.0,20240408,True,0.8,False,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS
20240411,D,300641.SZ,正丹股份,7175,938,OK,20240415,0.3330167938931299,6.55,6.55,8.74,8.73126,1.792,1.792,1.0,0.2188738531914504,True,True,True,20240415.0,20240411,True,0.8,False,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS
20240422,D,300200.SZ,高盟新材,7677,957,OK,20240424,-0.0415188811188811,7.15,7.15,6.86,6.853140000000001,4.043,4.043,1.0,-0.0281194655446153,True,True,True,20240424.0,20240422,True,0.8,False,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS
20240605,D,300656.SZ,民德电子,8830,950,OK,20240607,0.022341121495327,21.4,21.4,21.9,21.8781,2.7043,2.7043,1.0,0.0139939966233644,True,True,True,20240607.0,20240605,True,0.8,False,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS
20240607,D,300716.SZ,泉为科技,8915,939,QUEUE_UNCONFIRMED_NO_DEPTH,20240612,,6.47,6.47,6.23,6.22377,1.521,1.521,1.0,,False,False,False,,20240607,True,0.8,False,,,SIGNAL_TIME_AMOUNT_SPACE_OVER_ACTUAL_ORDER_GROSS
