paper_fill_id,paper_order_id,paper_trade_id,fill_date,side,ts_code,name,fill_price,estimated_shares,round_lot_shares,fill_amount,amount_ratio,slippage_rate,price_model
PF00001,PT00001-B,PT00001,20240521,BUY,300162.SZ,雷曼光电,7.1471399999999985,55966.44252106438,55900,400000.0,0.0004536483957733,0.001,daily_open_plus_slippage_no_l2
PF00002,PT00001-S,PT00001,20240522,SELL,300162.SZ,雷曼光电,10.75923,55966.44252106438,55900,602758.5859518633,0.0005649831530065,0.001,daily_price_minus_slippage_no_l2
PF00003,PT00002-B,PT00002,20240621,BUY,300469.SZ,信息发展,14.8148,37881.460559219784,37800,561206.2618927292,0.0003531003342586,0.001,daily_open_plus_slippage_no_l2
PF00004,PT00002-S,PT00002,20240624,SELL,300469.SZ,信息发展,15.90408,37881.460559219784,37800,603072.8521027789,0.0004266540655658,0.001,daily_price_minus_slippage_no_l2
PF00005,PT00003-B,PT00003,20240715,BUY,300582.SZ,英飞特,9.97997,59468.08983029746,59400,593489.7524636737,0.0009992796398933,0.001,daily_open_plus_slippage_no_l2
PF00006,PT00003-S,PT00003,20240716,SELL,300582.SZ,英飞特,10.35963,59468.08983029746,59400,616684.0915401847,0.0017885267038266,0.001,daily_price_minus_slippage_no_l2
PF00007,PT00004-B,PT00004,20240805,BUY,300149.SZ,睿智医药,5.19519,117566.96362066781,117500,610782.7137324573,0.0014257669594059,0.001,daily_open_plus_slippage_no_l2
PF00008,PT00004-S,PT00004,20240806,SELL,300149.SZ,睿智医药,6.6233699999999995,117566.96362066781,117500,779468.9688050275,0.0013051046015924,0.001,daily_price_minus_slippage_no_l2
PF00009,PT00005-B,PT00005,20240904,BUY,300068.SZ,南都电源,11.52151,64602.34537126405,64600,744316.5682184724,0.0002027048520779,0.001,daily_open_plus_slippage_no_l2
PF00010,PT00005-S,PT00005,20240905,SELL,300068.SZ,南都电源,12.24774,64602.34537126405,64600,792024.7542516972,0.0002291068869878,0.001,daily_price_minus_slippage_no_l2
PF00011,PT00006-B,PT00006,20240909,BUY,300905.SZ,宝丽迪,26.5265,29437.915404189764,29400,780884.8629692397,0.000717540883993,0.001,daily_open_plus_slippage_no_l2
