paper_trade_id,ts_code,name,open_date,close_date,position_status,buy_price,sell_price,estimated_shares,round_lot_shares,actual_buy_amount,actual_position_pct,account_return,equity_before,equity_after,exit_reason,limit_down_blocked_days
PT00001,300162.SZ,雷曼光电,20240521,20240522,CLOSED,7.1471399999999985,10.75923,55966.44252106438,55900,400000.0,0.8,0.403015654731823,500000.0,701507.8273659114,fixed_close,0.0
PT00002,300469.SZ,信息发展,20240621,20240624,CLOSED,14.8148,15.90408,37881.460559219784,37800,561206.2618927292,0.8,0.0575251788211788,701507.8273659114,741862.1905795921,fixed_close,0.0
PT00003,300582.SZ,英飞特,20240715,20240716,CLOSED,9.97997,10.35963,59468.08983029746,59400,593489.7524636737,0.8,0.0291377588189142,741862.1905795921,763478.3921655716,fixed_close,0.0
PT00004,300149.SZ,睿智医药,20240805,20240806,CLOSED,5.19519,6.6233699999999995,117566.96362066781,117500,610782.7137324573,0.8,0.218627429171984,763478.3921655716,930395.7102730904,fixed_close,0.0
PT00005,300068.SZ,南都电源,20240904,20240905,CLOSED,11.52151,12.24774,64602.34537126405,64600,744316.5682184724,0.8000000000000002,0.0491300292270718,930395.7102730904,976106.0787115496,fixed_close,0.0
PT00006,300905.SZ,宝丽迪,20240909,20240910,CLOSED,26.5265,30.17979,29437.915404189764,29400,780884.8629692397,0.8,0.1088818221778221,976106.0787115496,1082386.287200512,fixed_close,0.0
PT00007,300134.SZ,大富科技,20240911,20240912,CLOSED,11.26125,12.05793,76892.7987355231,76800,865909.0297604096,0.8,0.0553002037962039,1082386.287200512,1142242.4694689168,fixed_close,0.0
PT00008,300072.SZ,海新能科,20240918,20240919,CLOSED,2.23223,2.16566,409363.71949805063,409300,913793.9755751336,0.8,-0.0251537565931826,1142242.4694689168,1113510.7804215,fixed_close,0.0
PT00009,300085.SZ,银之杰,20240923,20240924,CLOSED,12.76275,15.80418,69797.54553973085,69700,890808.6243372,0.8,0.1893481793500619,1113510.7804215,1324352.0193809776,fixed_close,0.0
PT00010,920436.BJ,大地电气,20241115,20241118,CLOSED,30.019989999999996,35.40456,35292.537256167714,35200,1059481.6155047822,0.8,0.1421969192181609,1324352.0193809776,1512670.7964973028,fixed_close,0.0
PT00011,300739.SZ,明阳电路,20241218,20241219,CLOSED,16.846829999999997,17.54244,71831.71179372277,71800,1210136.6371978424,0.8,0.0317362084332781,1512670.7964973028,1560677.232185874,fixed_close,0.0
PT00012,920725.BJ,惠丰钻石,20241224,20241225,CLOSED,36.7367,39.57039,33986.22591982131,33900,1248541.7857486994,0.8,0.060412101163142,1560677.232185874,1654961.0230196996,fixed_close,0.0
PT00013,300599.SZ,雄塑科技,20241230,20241231,CLOSED,7.99596,7.1838999999999995,165579.72006060058,165500,1323968.8184157598,0.8,-0.0825430297500238,1654961.0230196996,1518355.5260614548,fixed_close,0.0
PT00014,300947.SZ,德必集团,20250103,20250106,CLOSED,18.56855,17.90208,65416.22371424607,65400,1214684.4208491638,0.7999999999999999,-0.0300099275818519,1518355.5260614548,1472789.7866808458,fixed_close,0.0
PT00015,920367.BJ,新赣江,20250107,20250108,CLOSED,18.036,19.271379999999997,65326.67051145911,65300,1178231.8293446766,0.7999999999999999,0.0535001854069637,1472789.7866808458,1551584.3133337535,fixed_close,0.0
PT00016,920533.BJ,骏创科技,20250220,20250221,CLOSED,60.33027,64.85508,20574.538298386582,20500,1241267.450667003,0.8,0.0587045270985859,1551584.3133337535,1642669.3367015957,fixed_close,0.0
PT00017,920284.BJ,灵鸽科技,20250303,20250304,CLOSED,28.59857,30.2697,45951.09018951915,45900,1314135.4693612766,0.8,0.0454512324665184,1642669.3367015957,1717330.6825896415,fixed_close,0.0
PT00018,920425.BJ,乐创技术,20250306,20250307,CLOSED,34.834799999999994,34.565400000000004,39439.42683958895,39400,1373864.546071713,0.8,-0.0074829165317438,1717330.6825896415,1704480.0404344206,fixed_close,0.0
PT00019,301225.SZ,恒勃股份,20250311,20250312,CLOSED,42.402359999999994,45.544410000000006,32158.210824763923,32100,1363584.0323475366,0.8000000000000002,0.0579846626800962,1704480.0404344206,1803313.7406239675,fixed_close,0.0
PT00020,920087.BJ,秋乐种业,20250408,20250409,CLOSED,17.897879999999997,28.54143,80604.57397743053,80600,1442650.992499174,0.8,0.4744497307792882,1803313.7406239675,2658895.4593736,fixed_close,0.0
PT00021,920273.BJ,一致魔芋,20250416,20250417,CLOSED,60.059999999999995,78.921,35416.52293537929,35400,2127116.36749888,0.7999999999999999,0.2499327712287713,2658895.4593736,3323440.569942441,fixed_close,0.0
PT00022,301000.SZ,肇民科技,20250424,20250425,CLOSED,50.270219999999995,54.58536,52889.21464743845,52800,2658752.455953953,0.8,0.0673751138324042,3323440.569942441,3547357.7566575436,fixed_close,0.0
PT00023,302132.SZ,中航成飞,20250509,20250512,CLOSED,88.088,95.76414,32216.49038831663,32200,2837886.205326035,0.8,0.0684173775315594,3547357.7566575436,3790058.671534288,fixed_close,0.0
PT00024,301260.SZ,格力博,20250519,20250520,CLOSED,21.051029999999997,23.22675,144033.18684299206,144000,3032046.9372274308,0.8,0.0813876501586859,3790058.671534288,4098522.6407740144,fixed_close,0.0
PT00025,300418.SZ,昆仑万维,20250523,20250526,CLOSED,38.34831,37.41255,85500.98068517784,85500,3278818.112619212,0.8,-0.0208172774695937,4098522.6407740144,4013202.55774561,fixed_close,0.0
PT00026,920748.BJ,路桥信息,20250606,20250609,CLOSED,55.11,77.82404000000001,58257.34070398273,58200,3210562.046196488,0.8,0.3284305831972421,4013202.55774561,5331261.014274664,fixed_close,0.0
