paper_trade_id,signal_date,ts_code,name,market_segment,signal_status,planned_position_pct,actual_position_pct,strategy_name,conditions,sort_rule,exit_rule,profit_source_score,risk_note
PT00001,20240520,300162.SZ,雷曼光电,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,1.5,无
PT00002,20240620,300469.SZ,信息发展,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.0,无
PT00003,20240712,300582.SZ,英飞特,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,-0.7,无
PT00004,20240802,300149.SZ,睿智医药,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,1.5,无
PT00005,20240903,300068.SZ,南都电源,chi_next,ACCEPTED,0.8,0.8000000000000002,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,2.0,无
PT00006,20240906,300905.SZ,宝丽迪,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.8,无
PT00007,20240910,300134.SZ,大富科技,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.8,无
PT00008,20240913,300072.SZ,海新能科,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.7999999999999998,无
PT00009,20240920,300085.SZ,银之杰,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,-1.5,无
PT00010,20241114,920436.BJ,大地电气,bj,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.8,无
