signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win,trade_date
20260209,1,PLAN_BUY_T1_OPEN,601360.SH,三六零,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,0_1pct_0_3pct,0.00248792884315,20_40,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,2_3,neg3_0,4470514.657,5.088,1.56,2.0,1.0,131020,133802,该候选只用于模拟盘计划，不代表实盘可买入。,20260210,13.07,20260211,12.81,-0.0235128844682478,False,20260209
20260302,1,PLAN_BUY_T1_OPEN,603257.SH,中国瑞林,sh_main,2.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0093843368547407,40_80,15_30,5_15,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,gte_10,763463.894,43.5145,4.57,9.0,2.0,131836,135918,该候选只用于模拟盘计划，不代表实盘可买入。,20260303,72.63,20260304,70.38,-0.0345989343246592,False,20260302
20260306,1,PLAN_BUY_T1_OPEN,000509.SZ,华塑控股,sz_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.002512848440225,20_40,3_8,lt_5,warming_2day,warming,warming,1100_1330,15_25,3_5,7_10,631275.859,15.514,7.39,8.0,2.0,131054,144703,该候选只用于模拟盘计划，不代表实盘可买入。,20260309,3.84,20260310,3.96,0.02763,True,20260306
20260311,1,PLAN_BUY_T1_OPEN,603778.SH,国晟科技,sh_main,3.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,lt_0_1pct,0.0009082903844194,20_40,8_15,lt_5,neutral,mixed,warming,1100_1330,15_25,1_2_2,3_7,2885264.359,22.4102,1.36,16.0,1.0,110210,143140,该候选只用于模拟盘计划，不代表实盘可买入。,20260312,20.82,20260313,20.49,-0.019470144092219,False,20260311
20260312,1,PLAN_BUY_T1_OPEN,603092.SH,德力佳,sh_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.007843967230549,20_40,3_8,lt_5,retreat_2day,retreat,warming,1100_1330,15_25,3_5,neg3_0,502504.403,20.878,4.61,4.0,1.0,130955,144149,该候选只用于模拟盘计划，不代表实盘可买入。,20260313,73.81,20260316,74.68,0.0081670207288985,True,20260312
20260313,1,PLAN_BUY_T1_OPEN,603248.SH,锡华科技,sh_main,5.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0089406673264843,20_40,3_8,5_15,neutral,mixed,warming,1100_1330,gte_25,1_2_2,3_7,884247.556,46.3969,3.27,2.0,1.0,130024,150000,该候选只用于模拟盘计划，不代表实盘可买入。,20260316,28.88,20260317,34.12,0.1778204432132963,True,20260313
20260324,1,PLAN_BUY_T1_OPEN,601016.SH,节能风电,sh_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0055906216968118,40_80,3_8,lt_5,neutral,main_rise,warming,1100_1330,15_25,1_2_2,0_3,5477009.073,19.4927,1.33,4.0,1.0,112553,135211,该候选只用于模拟盘计划，不代表实盘可买入。,20260325,4.98,20260326,5.31,0.0626450602409637,True,20260324
20260325,1,PLAN_BUY_T1_OPEN,603829.SH,洛凯股份,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0090945129757642,40_80,15_30,lt_5,warming_2day,warming,warming,1100_1330,3_6,1_2_2,3_7,230920.633,4.4887,1.4,0.0,1.0,131926,131926,该候选只用于模拟盘计划，不代表实盘可买入。,20260326,29.03,20260327,29.2,0.0022360110230794,True,20260325
20260407,1,PLAN_BUY_T1_OPEN,603090.SH,宏盛股份,sh_main,2.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.017789,40_80,3_8,5_15,warming_2day,warming,warming,1100_1330,3_6,2_3,neg3_0,280878.672,4.5353,1.2,0.0,1.0,131745,131745,该候选只用于模拟盘计划，不代表实盘可买入。,20260408,66.06,20260409,68.38,0.0314995882531032,True,20260407
20260408,1,PLAN_BUY_T1_OPEN,603083.SH,剑桥科技,sh_main,2.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0044885783334772,40_80,8_15,5_15,warming_2day,warming,warming,1100_1330,10_15,2_3,neg3_0,4156454.642,13.7674,1.95,1.0,1.0,110821,111721,该候选只用于模拟盘计划，不代表实盘可买入。,20260409,112.93,20260410,116.24,0.0256901921544318,True,20260408
