signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win,trade_date,d1_trade_date,d1_open,d1_high,d1_low,d1_close,d1_pre_close,d1_pct_chg,d2_trade_date,d2_open,d2_high,d2_low,d2_close,d2_pre_close,d2_pct_chg,d3_trade_date,d3_open,d3_high,d3_low,d3_close,d3_pre_close,d3_pct_chg,d4_trade_date,d4_open,d4_high,d4_low,d4_close,d4_pre_close,d4_pct_chg,d5_trade_date,d5_open,d5_high,d5_low,d5_close,d5_pre_close,d5_pct_chg,replay_rule,buy_executed,buy_reject_reason,buy_trade_date,buy_price_before_slippage,buy_price,buy_price_model,sell_executed,sell_reject_reason,exit_trade_date,exit_price_before_slippage,exit_price,exit_reason,sell_price_model,path_conflict,limit_down_blocked_days,net_return,daily_return,is_win,strict_account_return,strict_return_source
20240527,1,PLAN_BUY_T1_OPEN,603068.SH,博通集成,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0080983897311819,10_20,3_8,15_30,warming_2day,warming,warming,1100_1330,10_15,2_3,gte_10,432237.34,12.1674,5.65,0.0,2.0,131358,131358,该候选只用于模拟盘计划，不代表实盘可买入。,20240528,27.16,20240529,25.8,-0.0536936377025036,False,20240527,20240528,27.16,27.67,26.21,27.67,25.15,10.0199,20240529,30.44,30.44,25.8,25.8,27.67,-6.7582,20240530,24.56,27.88,23.72,26.45,25.8,2.5194,20240531,24.7,25.76,24.29,24.29,26.45,-8.1664,20240603,23.6,24.23,22.72,23.0,24.29,-5.3108,fixed_t2_close,True,,20240528,27.16,27.18716,daily_open_plus_slippage_no_l2,True,,20240529,25.8,25.7742,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.05359159247232874,-0.042873273977862995,False,-0.042873273977862995,conservative_daily_replay
20240702,1,PLAN_BUY_T1_OPEN,600421.SH,华嵘控股,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0096063394683026,10_20,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,1_2_2,neg3_0,52902.072,3.9992,0.89,1.0,1.0,132400,132550,该候选只用于模拟盘计划，不代表实盘可买入。,20240703,7.06,20240704,6.67,-0.058860793201133,False,20240702,20240703,7.06,7.45,6.8,6.92,7.05,-1.844,20240704,6.86,6.91,6.61,6.67,6.92,-3.6127,20240705,6.6,6.86,6.31,6.85,6.67,2.6987,20240708,6.78,6.8,6.34,6.61,6.85,-3.5036,20240709,6.54,6.56,6.12,6.34,6.61,-4.0847,fixed_t2_close,True,,20240703,7.06,7.067059999999999,daily_open_plus_slippage_no_l2,True,,20240704,6.67,6.66333,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.0587484239839479,-0.04699873918715833,False,-0.04699873918715833,conservative_daily_replay
20240726,1,PLAN_BUY_T1_OPEN,000338.SZ,潍柴动力,sz_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.001367137929036,20_40,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,3_5,neg3_0,2077771.176,3.0038,2.5,0.0,1.0,132515,132515,该候选只用于模拟盘计划，不代表实盘可买入。,20240729,14.4,20240730,13.35,-0.0765366666666667,False,20240726,20240729,14.4,14.49,13.55,13.87,14.14,-1.9095,20240730,13.79,13.9,13.26,13.35,13.87,-3.7491,20240731,13.31,13.88,13.25,13.8,13.35,3.3708,20240801,13.6,13.83,13.41,13.49,13.8,-2.2464,20240802,13.36,13.46,13.03,13.1,13.49,-2.891,fixed_t2_close,True,,20240729,14.4,14.414399999999999,daily_open_plus_slippage_no_l2,True,,20240730,13.35,13.336649999999999,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.07638898101898099,-0.061111184815184794,False,-0.061111184815184794,conservative_daily_replay
20240830,1,PLAN_BUY_T1_OPEN,603883.SH,老百姓,sh_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0051383520025446,20_40,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,2_3,0_3,534857.98,5.5423,3.09,0.0,1.0,132400,132400,该候选只用于模拟盘计划，不代表实盘可买入。,20240902,13.44,20240903,13.46,-0.0021319047619046,False,20240830,20240902,13.44,13.44,12.24,12.24,13.5,-9.3333,20240903,12.23,13.46,12.13,13.46,12.24,9.9673,20240904,14.68,14.81,14.58,14.81,13.46,10.0297,20240905,16.29,16.29,16.29,16.29,14.81,9.9932,20240906,17.92,17.92,17.92,17.92,16.29,10.0061,fixed_t2_close,True,,20240902,13.44,13.453439999999999,daily_open_plus_slippage_no_l2,True,,20240903,13.46,13.44654,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.0021328799771655367,-0.0017063039817324295,False,-0.0017063039817324295,conservative_daily_replay
20241119,1,PLAN_BUY_T1_OPEN,002366.SZ,融发核电,sz_main,2.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.005598407767141,40_80,15_30,5_15,warming_2day,warming,warming,1100_1330,10_15,3_5,0_3,703539.259,11.625,3.06,3.0,1.0,130524,143833,该候选只用于模拟盘计划，不代表实盘可买入。,20241120,4.89,20241121,5.53,0.1272593456032721,True,20241119,20241120,4.89,5.22,4.88,5.03,4.99,0.8016,20241121,4.99,5.53,4.97,5.53,5.03,9.9404,20241122,6.08,6.08,5.73,5.96,5.53,7.7758,20241125,5.7,5.92,5.36,5.56,5.96,-6.7114,20241126,5.52,5.74,5.06,5.08,5.56,-8.6331,fixed_t2_close,True,,20241120,4.89,4.894889999999999,daily_open_plus_slippage_no_l2,True,,20241121,5.53,5.52447,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.12699984641125756,0.10159987712900605,True,0.10159987712900605,conservative_daily_replay
20241129,1,PLAN_BUY_T1_OPEN,603536.SH,惠发食品,sh_main,4.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0065072350989191,40_80,gte_30,5_15,neutral,main_rise,warming,1100_1330,15_25,1_2_2,0_3,484862.818,17.806,2.59,1.0,1.0,131247,143020,该候选只用于模拟盘计划，不代表实盘可买入。,20241202,11.58,20241203,11.08,-0.0467978929188255,False,20241129,20241202,11.58,12.5,11.21,11.71,11.61,0.8613,20241203,11.48,11.48,10.78,11.08,11.71,-5.38,20241204,10.83,11.84,10.54,10.94,11.08,-1.2635,20241205,10.66,10.83,10.5,10.74,10.94,-1.8282,20241206,10.7,11.09,10.51,10.94,10.74,1.8622,fixed_t2_close,True,,20241202,11.58,11.591579999999999,daily_open_plus_slippage_no_l2,True,,20241203,11.08,11.06892,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.04670962540050609,-0.03736770032040487,False,-0.03736770032040487,conservative_daily_replay
20241211,1,PLAN_BUY_T1_OPEN,603533.SH,掌阅科技,sh_main,2.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0040134852836147,40_80,gte_30,5_15,warming_2day,warming,warming,1100_1330,15_25,1_2_2,0_3,1900845.158,17.5387,2.14,1.0,1.0,130314,142432,该候选只用于模拟盘计划，不代表实盘可买入。,20241212,26.76,20241213,29.55,0.1006400896860985,True,20241211,20241212,26.76,28.11,25.2,26.86,25.55,5.1272,20241213,26.35,29.55,26.33,29.55,26.86,10.0149,20241216,29.0,31.33,27.38,27.5,29.55,-6.9374,20241217,26.53,26.73,24.75,24.75,27.5,-10.0,20241218,24.1,25.3,23.48,24.68,24.75,-0.2828,fixed_t2_close,True,,20241212,26.76,26.786759999999997,daily_open_plus_slippage_no_l2,True,,20241213,29.55,29.52045,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.10043377582059217,0.08034702065647374,True,0.08034702065647374,conservative_daily_replay
20250114,1,PLAN_BUY_T1_OPEN,002717.SZ,岭南股份,sz_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.006901901214254,40_80,15_30,lt_5,warming_2day,warming,warming,1100_1330,15_25,1_2_2,lt_neg3,1072159.469,19.7516,0.78,0.0,1.0,132124,132124,该候选只用于模拟盘计划，不代表实盘可买入。,20250115,3.55,20250116,3.61,0.0132814084507042,True,20250114,20250115,3.55,3.76,3.51,3.62,3.5,3.4286,20250116,3.58,3.8,3.48,3.61,3.62,-0.2762,20250117,3.53,3.58,3.43,3.44,3.61,-4.7091,20250120,3.52,3.56,3.37,3.43,3.44,-0.2907,20250121,3.39,3.44,3.23,3.32,3.43,-3.207,fixed_t2_close,True,,20250115,3.55,3.5535499999999995,daily_open_plus_slippage_no_l2,True,,20250116,3.61,3.6063899999999998,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.013249637404848701,0.010599709923878962,True,0.010599709923878962,conservative_daily_replay
20250210,1,PLAN_BUY_T1_OPEN,002987.SZ,京北方,sz_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0090172947314452,40_80,gte_30,lt_5,neutral,main_rise,warming,1100_1330,3_6,2_3,0_3,569843.998,5.9164,2.56,0.0,1.0,132509,132509,该候选只用于模拟盘计划，不代表实盘可买入。,20250211,16.49,20250212,16.62,0.0042635657974531,True,20250210,20250211,16.49,16.55,15.96,16.21,16.58,-2.2316,20250212,16.12,16.7,16.04,16.62,16.21,2.5293,20250213,16.5,17.16,16.28,16.86,16.62,1.444,20250214,16.72,18.37,16.48,17.74,16.86,5.2195,20250217,18.68,19.51,18.12,19.09,17.74,7.6099,fixed_t2_close,True,,20250211,16.49,16.506489999999996,daily_open_plus_slippage_no_l2,True,,20250212,16.62,16.60338,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.004249812419236675,0.0033998499353893406,True,0.0033998499353893406,conservative_daily_replay
20250325,1,PLAN_BUY_T1_OPEN,600727.SH,鲁北化工,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0091846100322412,20_40,8_15,30_60,retreat_weak,mixed,warming,1100_1330,15_25,2_3,3_7,790390.067,17.5946,4.62,1.0,1.0,111541,131020,该候选只用于模拟盘计划，不代表实盘可买入。,20250326,9.19,20250327,9.26,0.0039969749727965,True,20250325,20250326,9.19,9.69,9.01,9.07,8.81,2.9512,20250327,9.17,9.8,9.12,9.26,9.07,2.0948,20250328,8.8,9.04,8.33,8.33,9.26,-10.0432,20250331,8.04,8.19,7.85,7.93,8.33,-4.8019,20250401,7.95,8.26,7.95,8.15,7.93,2.7743,fixed_t2_close,True,,20250326,9.19,9.199189999999998,daily_open_plus_slippage_no_l2,True,,20250327,9.26,9.25074,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.0039837542435805055,0.0031870033948644045,True,0.0031870033948644045,conservative_daily_replay
