signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win,trade_date
20240527,1,PLAN_BUY_T1_OPEN,603068.SH,博通集成,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0080983897311819,10_20,3_8,15_30,warming_2day,warming,warming,1100_1330,10_15,2_3,gte_10,432237.34,12.1674,5.65,0.0,2.0,131358,131358,该候选只用于模拟盘计划，不代表实盘可买入。,20240528,27.16,20240529,25.8,-0.0536936377025036,False,20240527
20240605,1,PLAN_BUY_T1_OPEN,002869.SZ,金溢科技,sz_main,1.5,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0279587273047582,5_10,3_8,5_15,weak_below_30,ice_point,warming,open_auction,15_25,1_2_2,gte_10,674510.104,18.035,2.11,3.0,2.0,92500,94836,该候选只用于模拟盘计划，不代表实盘可买入。,20240606,24.3,20240607,22.55,-0.0756364609053497,False,20240605
20240618,1,PLAN_BUY_T1_OPEN,002869.SZ,金溢科技,sz_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0270426629629957,10_20,3_8,lt_5,neutral,mixed,warming,1100_1330,gte_25,1_2_2,7_10,1261821.771,26.9523,1.14,0.0,2.0,110112,110112,该候选只用于模拟盘计划，不代表实盘可买入。,20240619,33.0,20240620,36.5,0.1024406060606059,True,20240618
20240619,1,PLAN_BUY_T1_OPEN,600889.SH,南京化纤,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.011055941348429,10_20,8_15,lt_5,retreat_weak,mixed,warming,1100_1330,10_15,3_5,0_3,252639.054,13.4713,2.29,1.0,1.0,110414,134423,该候选只用于模拟盘计划，不代表实盘可买入。,20240620,5.3,20240621,6.4,0.2039271698113209,True,20240619
20240626,1,PLAN_BUY_T1_OPEN,301129.SZ,瑞纳智能,chi_next,3.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,gte_5pct,0.0573806909232179,10_20,8_15,lt_5,neutral,mixed,warming,1100_1330,gte_25,2_3,gte_10,373645.901,45.9127,2.52,0.0,2.0,131451,131451,该候选只用于模拟盘计划，不代表实盘可买入。,20240627,29.77,20240628,25.24,-0.1557866106818945,False,20240626
20240702,1,PLAN_BUY_T1_OPEN,600421.SH,华嵘控股,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0096063394683026,10_20,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,1_2_2,neg3_0,52902.072,3.9992,0.89,1.0,1.0,132400,132550,该候选只用于模拟盘计划，不代表实盘可买入。,20240703,7.06,20240704,6.67,-0.058860793201133,False,20240702
20240717,1,PLAN_BUY_T1_OPEN,920146.BJ,华阳变速,bj,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0426449909360384,5_10,8_15,lt_5,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,gte_10,247175.088,37.2732,2.06,0.0,2.0,131504,131504,该候选只用于模拟盘计划，不代表实盘可买入。,20240718,7.75,20240719,6.5,-0.1649103225806451,False,20240717
20240718,1,PLAN_BUY_T1_OPEN,600171.SH,上海贝岭,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0148219136755312,10_20,3_8,lt_5,warming_2day,warming,warming,1100_1330,10_15,1_2_2,lt_neg3,1825681.921,13.2848,1.12,0.0,1.0,131345,131345,该候选只用于模拟盘计划，不代表实盘可买入。,20240719,21.5,20240722,24.56,0.1387055813953487,True,20240718
20240726,1,PLAN_BUY_T1_OPEN,000338.SZ,潍柴动力,sz_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.001367137929036,20_40,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,3_5,neg3_0,2077771.176,3.0038,2.5,0.0,1.0,132515,132515,该候选只用于模拟盘计划，不代表实盘可买入。,20240729,14.4,20240730,13.35,-0.0765366666666667,False,20240726
20240729,1,PLAN_BUY_T1_OPEN,300159.SZ,新研股份,chi_next,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,0_3pct_0_5pct,0.0041689823816035,10_20,15_30,lt_5,warming_2day,warming,warming,1100_1330,15_25,2_3,gte_10,743433.705,20.9938,5.77,2.0,2.0,131248,142918,该候选只用于模拟盘计划，不代表实盘可买入。,20240730,2.57,20240731,2.57,-0.00362,False,20240729
