scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,description,base_b_selected_count,base_b_rejected_count,residual_b_before_filter_count,residual_b_rejected_count,residual_b_after_filter_count,b_only_equity_multiple,rejected_trade_keys
reject_b_market_segment_sh_main,segment_emotion_state_bucket=warming,120,17,5,12,0,0,2,84,17,0.8235294117647058,0.05655570129262616,0.0397618491523106,0.181313377355646,-0.0505145833968012,1.7521000035140741,500000.0,1230001.2644208912,2.460002528841782,-0.05051458339680115,0,0,False,B额外过滤沪市主板。,25,10,15,10,5,1.3327942544315634,20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441;20260507:603256.SH:0.0246
reject_b_retreat_warming_2day,segment_emotion_state_bucket=warming,120,18,6,12,0,0,3,81,18,0.7777777777777778,0.05281037930262205,0.042767215655751145,0.181313377355646,-0.0505145833968012,2.1021519089095633,500000.0,1218250.894802407,2.436501789604814,-0.05051458339680115,0,0,False,B额外过滤retreat_state_bucket=warming_2day。,25,10,15,8,7,1.3200618893779907,20251208:000571.SZ:0.0313;20260106:002865.SZ:0.1586;20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441
reject_b_market_emotion_warming,segment_emotion_state_bucket=warming,120,18,6,12,0,0,3,81,18,0.7777777777777778,0.05281037930262205,0.042767215655751145,0.181313377355646,-0.0505145833968012,2.1021519089095633,500000.0,1218250.894802407,2.436501789604814,-0.05051458339680115,0,0,False,B额外过滤market_emotion_state_bucket=warming。,25,10,15,8,7,1.3200618893779907,20251208:000571.SZ:0.0313;20260106:002865.SZ:0.1586;20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441
reject_b_open_times_gte_4,segment_emotion_state_bucket=warming,120,17,5,12,0,0,3,83,17,0.8235294117647058,0.05179974410442512,0.0352808081329955,0.181313377355646,-0.0505145833968012,1.7953266205506226,500000.0,1140051.5344791007,2.2801030689582014,-0.05051458339680115,0,0,False,B额外过滤炸板次数>=4。,25,10,15,10,5,1.3859586268879636,20251201:000078.SZ:0.1484;20251208:000571.SZ:0.0313;20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260324:601016.SH:0.0500;20260413:000968.SZ:-0.0496;20260416:603220.SH:-0.0441
reject_b_turnover_rate_gte_20,segment_emotion_state_bucket=warming,120,18,7,11,0,0,2,82,18,0.8333333333333334,0.045864533342237106,0.033274695467648246,0.181313377355646,-0.0505145833968012,1.4324373156659391,500000.0,1086194.7835897685,2.172389567179537,-0.05051458339680115,0,0,False,B额外过滤换手率>=20%。,25,10,15,7,8,1.274261203670764,20251201:000078.SZ:0.1484;20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260416:603220.SH:-0.0441
reject_b_sh_main_or_chain_gte_30,segment_emotion_state_bucket=warming,120,16,4,12,0,0,2,86,16,0.8125,0.05017750549790921,0.03752132864265305,0.181313377355646,-0.0505145833968012,1.613674119249081,500000.0,1061620.929824668,2.123241859649336,-0.05051458339680115,0,0,False,B额外过滤沪市主板或全市场连板数量gte_30。,25,10,15,11,4,1.150342131006495,20260106:002865.SZ:0.1586;20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260416:603220.SH:-0.0441;20260507:603256.SH:0.0246
reject_b_sh_main_or_open_times_gte_4,segment_emotion_state_bucket=warming,120,14,1,13,0,0,3,89,14,0.7857142857142857,0.055311573145355175,0.042767215655751145,0.181313377355646,-0.0505145833968012,2.042208533608977,500000.0,1031818.9440844157,2.0636378881688313,-0.05051458339680115,0,0,False,B额外过滤沪市主板或炸板次数>=4。,25,10,15,14,1,1.1586068340080975,20251201:000078.SZ:0.1484;20251208:000571.SZ:0.0313;20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260325:603829.SH:0.0018;20260408:603083.SH:0.0205;20260413:000968.SZ:-0.0496;20260416:603220.SH:-0.0441;20260507:603256.SH:0.0246
reject_b_open_times_gte_4_or_turnover_gte_20,segment_emotion_state_bucket=warming,120,16,4,12,0,0,3,85,16,0.8125,0.046164231968589896,0.0322278788664112,0.181313377355646,-0.0505145833968012,1.6589291860370214,500000.0,998321.8409777962,1.9966436819555924,-0.05051458339680115,0,0,False,B额外过滤炸板次数>=4或换手率>=20%。,25,10,15,11,4,1.2136580900669938,20251201:000078.SZ:0.1484;20251208:000571.SZ:0.0313;20260112:603015.SH:-0.1139;20260302:603257.SH:-0.0276;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260313:603248.SH:0.1420;20260324:601016.SH:0.0500;20260413:000968.SZ:-0.0496;20260416:603220.SH:-0.0441
reject_b_turnover_bucket_15_25,segment_emotion_state_bucket=warming,120,18,7,11,0,0,3,81,18,0.7777777777777778,0.03950046346360243,0.030221766201063947,0.181313377355646,-0.0505145833968012,1.5427994809754964,500000.0,971766.8640412913,1.9435337280825826,-0.05051458339680115,0,0,False,B额外过滤换手率分桶15_25。,25,10,15,8,7,1.1400209544076507,20251201:000078.SZ:0.1484;20260106:002865.SZ:0.1586;20260112:603015.SH:-0.1139;20260306:000509.SZ:0.0221;20260311:603778.SH:-0.0155;20260312:603092.SH:0.0065;20260324:601016.SH:0.0500;20260416:603220.SH:-0.0441
reject_b_market_chain_gte_30,segment_emotion_state_bucket=warming,120,21,11,10,0,0,2,76,21,0.7142857142857143,0.0397503239383084,0.0291749495998269,0.181313377355646,-0.0505145833968012,1.9092400861037333,500000.0,1086669.027558303,2.173338055116606,-0.0915278116157231,0,0,False,B额外过滤全市场连板数量gte_30。,25,10,15,2,13,1.3197941531170618,20260106:002865.SZ:0.1586;20260112:603015.SH:-0.1139
