signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win
20260413,1,PLAN_BUY_T1_OPEN,000968.SZ,蓝焰控股,sz_main,5.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0018842325456376,20_40,3_8,5_15,neutral,mixed,warming,1100_1330,10_15,1_2_2,neg3_0,1165514.525,12.3248,1.6,8.0,1.0,131345,142418,该候选只用于模拟盘计划，不代表实盘可买入。,20260414,10.08,20260415,9.49,-0.062151746031746,False
20260413,2,WATCH_ONLY,002902.SZ,铭普光磁,sz_main,4.5,0.0,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0237211041010728,20_40,3_8,5_15,neutral,mixed,warming,1330_1430,gte_25,1_2_2,neg3_0,1755867.031,33.6847,1.09,0.0,1.0,134300,134300,该候选只用于模拟盘计划，不代表实盘可买入。,20260414,30.62,20260415,29.8,-0.0303998824297844,False
20260413,3,WATCH_ONLY,002467.SZ,二六三,sz_main,4.5,0.0,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0089045890366567,20_40,3_8,5_15,neutral,mixed,warming,1000_1100,gte_25,2_3,neg3_0,2731317.34,26.0555,2.84,1.0,1.0,103857,131648,该候选只用于模拟盘计划，不代表实盘可买入。,20260414,7.89,20260415,7.63,-0.0365731051964512,False
20260413,4,WATCH_ONLY,002580.SZ,圣阳股份,sz_main,4.5,0.0,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0219806967316503,20_40,3_8,5_15,neutral,mixed,warming,before_1000,15_25,lt_0_8,gte_10,2074911.511,22.5802,0.83,2.0,3.0,93448,93906,该候选只用于模拟盘计划，不代表实盘可买入。,20260414,22.79,20260415,25.27,0.1051996577446247,True
20260413,5,WATCH_ONLY,002418.SZ,康盛股份,sz_main,4.5,0.0,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0218244060726916,20_40,3_8,5_15,neutral,mixed,warming,open_auction,15_25,1_2_2,gte_10,1146757.792,16.2846,1.9,3.0,2.0,93045,95130,该候选只用于模拟盘计划，不代表实盘可买入。,20260414,6.21,20260415,5.5,-0.1179517230273751,False
20260413,6,WATCH_ONLY,002436.SZ,兴森科技,sz_main,4.5,0.0,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0011552069842227,20_40,3_8,5_15,neutral,mixed,warming,1330_1430,10_15,2_3,3_7,4947290.318,13.5202,2.89,5.0,1.0,141927,145615,该候选只用于模拟盘计划，不代表实盘可买入。,20260414,24.98,20260415,24.7,-0.0148289671737389,False
20260413,7,WATCH_ONLY,001299.SZ,美能能源,sz_main,4.5,0.0,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0483479712163402,20_40,3_8,5_15,neutral,mixed,warming,before_1000,10_15,1_2_2,7_10,362239.74,10.2021,3.24,1.0,2.0,94427,94618,该候选只用于模拟盘计划，不代表实盘可买入。,20260414,17.0,20260415,16.69,-0.021855294117647,False
20260413,8,WATCH_ONLY,002876.SZ,三利谱,sz_main,4.5,0.0,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0337779060529031,20_40,3_8,5_15,neutral,mixed,warming,1330_1430,10_15,3_5,0_3,442770.524,10.0769,4.01,0.0,1.0,135145,135145,该候选只用于模拟盘计划，不代表实盘可买入。,20260414,30.99,20260415,28.91,-0.0707384252984833,False
20260413,9,WATCH_ONLY,003018.SZ,金富科技,sz_main,4.5,0.0,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0059889421304828,20_40,3_8,5_15,neutral,mixed,warming,1000_1100,3_6,1_2_2,0_3,470033.662,5.7914,0.98,0.0,1.0,102012,102012,该候选只用于模拟盘计划，不代表实盘可买入。,20260414,35.5,20260415,35.59,-0.0010847887323941,False
20260413,10,WATCH_ONLY,000010.SZ,美丽生态,sz_main,4.5,0.0,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0362616993118295,20_40,3_8,5_15,neutral,mixed,warming,1000_1100,3_6,2_3,0_3,191687.285,5.5912,2.17,0.0,1.0,100918,100918,该候选只用于模拟盘计划，不代表实盘可买入。,20260414,4.32,20260415,4.03,-0.0707496296296296,False
