scenario,filter_type,description,rejected_b_trade_count,executed_trade_count,b_trade_count,a_trade_count,filtered_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,live_order_enabled
baseline_no_extra_filter,baseline,B_0018 原始日线保守审计结果，不额外过滤。,0,31,20,11,0,0.6451612903225806,0.030654411537219917,0.024640485917173,0.181313377355646,-0.1203192402916928,1.7532944445679324,500000.0,1187854.9379364334,2.3757098758728667,-0.16475594739053945,False
diagnostic_reject_negative_b,diagnostic_future_not_allowed,诊断过滤：过滤未来亏损 B 交易。不能作为实盘事前条件。,11,22,11,11,9,0.9090909090909091,0.05910438381800846,0.042767215655751145,0.181313377355646,-0.0505145833968012,1.6416229702470693,500000.0,1707722.3389419403,3.4154446778838805,-0.05051458339680115,False
diagnostic_reject_limit_down_blocked,diagnostic_future_not_allowed,诊断过滤：过滤未来发生跌停阻塞的交易。不能作为实盘事前条件。,1,30,19,11,1,0.6666666666666666,0.03568686659818367,0.02489280985762745,0.181313377355646,-0.0639164001947708,2.204589074017629,500000.0,1350325.018283126,2.700650036566252,-0.09664982296751268,False
reject_fd_warn_or_loss_overlay,pre_trade,过滤 封单/流通市值偏高 或 LOSS_OVERLAY_WATCH。,10,22,11,11,9,0.7272727272727273,0.0479781582786347,0.03551521597730575,0.181313377355646,-0.0505145833968012,2.1641052694922975,500000.0,1335705.216546267,2.671410433092534,-0.09152781161572299,False
reject_fd_amount_warn,pre_trade,过滤风险标记含 封单/流通市值偏高。,7,24,13,11,7,0.6666666666666666,0.042962688336350835,0.0302217662010639,0.181313377355646,-0.0505145833968012,2.598693300688735,500000.0,1303235.4290175315,2.606470858035063,-0.09664982296751268,False
reject_fd_1pct_2pct,pre_trade,过滤 fd_ratio_bucket=1pct_2pct。,7,24,13,11,7,0.6666666666666666,0.042962688336350835,0.0302217662010639,0.181313377355646,-0.0505145833968012,2.598693300688735,500000.0,1303235.4290175315,2.606470858035063,-0.09664982296751268,False
reject_loss_overlay_watch,pre_trade,过滤 LOSS_OVERLAY_WATCH。,3,29,18,11,2,0.6896551724137931,0.03361040412797796,0.0251451337980819,0.181313377355646,-0.1203192402916928,1.5199494049369036,500000.0,1217450.049142727,2.434900098285454,-0.16475594739053945,False
reject_market_chain_15_30,pre_trade,过滤 market_chain_count_bucket=15_30。,11,22,11,11,9,0.6818181818181818,0.04035155678797751,0.027160041698954397,0.181313377355646,-0.0505145833968012,2.3667894721154377,500000.0,1141485.0935204723,2.2829701870409447,-0.09664982296751268,False
reject_fd_warn_or_chain_15_30,pre_trade,过滤 封单/流通市值偏高 或 market_chain_count_bucket=15_30。,13,20,9,11,11,0.65,0.042722089645130565,0.03446839937606875,0.181313377355646,-0.0505145833968012,2.648688095354149,500000.0,1104487.7130073367,2.2089754260146734,-0.09664982296751257,False
reject_market_chain_gte_30,pre_trade,过滤 market_chain_count_bucket=gte_30。,2,30,19,11,1,0.6333333333333333,0.026389330788190668,0.02439244066930165,0.181313377355646,-0.1203192402916928,1.6341679679165177,500000.0,1025244.2011127751,2.0504884022255503,-0.16475594739053945,False
reject_chain_15_30_or_gte_30,pre_trade,过滤 market_chain_count_bucket=15_30 或 gte_30。,13,21,10,11,10,0.6666666666666666,0.03472035311082894,0.0251451337980819,0.181313377355646,-0.0505145833968012,2.172111933488334,500000.0,985222.1305924858,1.9704442611849715,-0.09664982296751257,False
