scenario,signal_date,strategy_leg,operation_status,candidate_count,ts_code,name,market_segment,risk_flags,account_return,equity_before,equity_after,return_source,active_position,historical_reference_exit_trade_date,live_order_enabled,initial_equity,peak_equity,drawdown
A_plus_B_0042,20251112,B,HISTORICAL_SIM_FILLED,8,003018.SZ,金富科技,sz_main,无,-0.06098019768151312,500000.0,469509.9011592435,candidate_net_return_x_position,,20251114,False,500000.0,500000.0,-0.06098019768151308
A_plus_B_0042,20251113,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,469509.9011592435,469509.9011592435,,003018.SZ 金富科技,,False,500000.0,500000.0,-0.06098019768151308
A_plus_B_0042,20251114,B,HISTORICAL_SIM_FILLED,10,002728.SZ,特一药业,sz_main,无,-0.10426586301369856,469509.9011592435,420556.0461213986,candidate_net_return_x_position,,20251118,False,500000.0,500000.0,-0.15888790775720274
A_plus_B_0042,20251117,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,420556.0461213986,420556.0461213986,,002728.SZ 特一药业,,False,500000.0,500000.0,-0.15888790775720274
A_plus_B_0042,20251118,B,HISTORICAL_SIM_FILLED,6,000681.SZ,视觉中国,sz_main,无,-0.041243107438016485,420556.0461213986,403211.00792750635,candidate_net_return_x_position,,20251120,False,500000.0,500000.0,-0.19357798414498728
A_plus_B_0042,20251119,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,403211.00792750635,403211.00792750635,,000681.SZ 视觉中国,,False,500000.0,500000.0,-0.19357798414498728
A_plus_B_0042,20251120,A,HISTORICAL_SIM_FILLED,1,301092.SZ,争光股份,chi_next,无,-0.0505145833968012,403211.00792750635,382842.9718410441,audit_dynamic_account_return,,20251124,False,500000.0,500000.0,-0.2343140563179118
A_plus_B_0042,20251121,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,382842.9718410441,382842.9718410441,,301092.SZ 争光股份,,False,500000.0,500000.0,-0.2343140563179118
A_plus_B_0042,20251124,B,HISTORICAL_SIM_FILLED,6,603280.SH,南方路机,sh_main,封单/流通市值偏高,0.0030644190919674403,382842.9718410441,384016.16315317934,candidate_net_return_x_position,,20251126,False,500000.0,500000.0,-0.23196767369364135
A_plus_B_0042,20251125,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,384016.16315317934,384016.16315317934,,603280.SH 南方路机,,False,500000.0,500000.0,-0.23196767369364135
A_plus_B_0042,20251126,B,HISTORICAL_SIM_FILLED,6,600105.SH,永鼎股份,sh_main,无,-0.03380934894613568,384016.16315317934,371032.82669217733,candidate_net_return_x_position,,20251128,False,500000.0,500000.0,-0.2579343466156453
A_plus_B_0042,20251127,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,371032.82669217733,371032.82669217733,,600105.SH 永鼎股份,,False,500000.0,500000.0,-0.2579343466156453
A_plus_B_0042,20251128,B,HISTORICAL_SIM_FILLED,2,603778.SH,国晟科技,sh_main,无,0.08142103204047217,371032.82669217733,401242.7023623481,candidate_net_return_x_position,,20251202,False,500000.0,500000.0,-0.1975145952753038
A_plus_B_0042,20251201,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,401242.7023623481,401242.7023623481,,603778.SH 国晟科技,,False,500000.0,500000.0,-0.1975145952753038
A_plus_B_0042,20251202,B,HISTORICAL_SIM_FILLED,3,603122.SH,合富中国,sh_main,无,0.00110400000000008,401242.7023623481,401685.6743057561,candidate_net_return_x_position,,20251204,False,500000.0,500000.0,-0.19662865138848773
A_plus_B_0042,20251203,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,401685.6743057561,401685.6743057561,,603122.SH 合富中国,,False,500000.0,500000.0,-0.19662865138848773
A_plus_B_0042,20251204,A,HISTORICAL_SIM_FILLED,1,300946.SZ,恒而达,chi_next,无,0.0291749495998269,401685.6743057561,413404.833608599,audit_dynamic_account_return,,20251208,False,500000.0,500000.0,-0.17319033278280205
A_plus_B_0042,20251205,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,413404.833608599,413404.833608599,,300946.SZ 恒而达,,False,500000.0,500000.0,-0.17319033278280205
A_plus_B_0042,20251208,B,HISTORICAL_SIM_FILLED,7,000571.SZ,新大洲A,sz_main,无,0.03133537876386696,413404.833608599,426359.0306525379,candidate_net_return_x_position,,20251210,False,500000.0,500000.0,-0.14728193869492423
A_plus_B_0042,20251209,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,426359.0306525379,426359.0306525379,,000571.SZ 新大洲A,,False,500000.0,500000.0,-0.14728193869492423
A_plus_B_0042,20251210,B,HISTORICAL_SIM_FILLED,9,300189.SZ,神农种业,chi_next,无,-0.03256789728958624,426359.0306525379,412473.4135337585,candidate_net_return_x_position,,20251212,False,500000.0,500000.0,-0.17505317293248301
A_plus_B_0042,20251211,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,412473.4135337585,412473.4135337585,,300189.SZ 神农种业,,False,500000.0,500000.0,-0.17505317293248301
A_plus_B_0042,20251212,A,HISTORICAL_SIM_FILLED,1,920576.BJ,天力复合,bj,无,0.181313377355646,412473.4135337585,487260.3612109763,audit_dynamic_account_return,,20251216,False,500000.0,500000.0,-0.025479277578047355
A_plus_B_0042,20251215,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,487260.3612109763,487260.3612109763,,920576.BJ 天力复合,,False,500000.0,500000.0,-0.025479277578047355
A_plus_B_0042,20251216,B,HISTORICAL_SIM_FILLED,4,600280.SH,中央商场,sh_main,无,0.011017043478260961,487260.3612109763,492628.5297956708,candidate_net_return_x_position,,20251218,False,500000.0,500000.0,-0.014742940408658312
