scenario,signal_date,strategy_leg,operation_status,candidate_count,ts_code,name,market_segment,risk_flags,account_return,equity_before,equity_after,return_source,active_position,historical_reference_exit_trade_date,live_order_enabled,initial_equity,peak_equity,drawdown
A_plus_B_0001,20251112,B,HISTORICAL_SIM_FILLED,10,002453.SZ,华软科技,sz_main,封单/流通市值偏高,-0.02815915789473672,500000.0,485920.4210526317,candidate_net_return_x_position,,20251114,False,500000.0,500000.0,-0.028159157894736664
A_plus_B_0001,20251113,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,485920.4210526317,485920.4210526317,,002453.SZ 华软科技,,False,500000.0,500000.0,-0.028159157894736664
A_plus_B_0001,20251114,B,HISTORICAL_SIM_FILLED,10,002728.SZ,特一药业,sz_main,无,-0.10426586301369856,485920.4210526317,435255.5089955993,candidate_net_return_x_position,,20251118,False,500000.0,500000.0,-0.12948898200880143
A_plus_B_0001,20251117,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,435255.5089955993,435255.5089955993,,002728.SZ 特一药业,,False,500000.0,500000.0,-0.12948898200880143
A_plus_B_0001,20251118,B,HISTORICAL_SIM_FILLED,10,000955.SZ,欣龙控股,sz_main,封单/流通市值偏高,-0.04434178313253009,435255.5089955993,415955.5036084774,candidate_net_return_x_position,,20251120,False,500000.0,500000.0,-0.16808899278304512
A_plus_B_0001,20251119,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,415955.5036084774,415955.5036084774,,000955.SZ 欣龙控股,,False,500000.0,500000.0,-0.16808899278304512
A_plus_B_0001,20251120,A,HISTORICAL_SIM_FILLED,1,301092.SZ,争光股份,chi_next,无,-0.0505145833968012,415955.5036084774,394943.6846320886,audit_dynamic_account_return,,20251124,False,500000.0,500000.0,-0.21011263073582287
A_plus_B_0001,20251121,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,394943.6846320886,394943.6846320886,,301092.SZ 争光股份,,False,500000.0,500000.0,-0.21011263073582287
A_plus_B_0001,20251124,B,HISTORICAL_SIM_FILLED,10,002400.SZ,省广集团,sz_main,封单/流通市值偏高,-0.027385795918367362,394943.6846320886,384127.8374855062,candidate_net_return_x_position,,20251126,False,500000.0,500000.0,-0.23174432502898756
A_plus_B_0001,20251125,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,384127.8374855062,384127.8374855062,,002400.SZ 省广集团,,False,500000.0,500000.0,-0.23174432502898756
A_plus_B_0001,20251126,B,HISTORICAL_SIM_FILLED,10,000411.SZ,英特集团,sz_main,封单/流通市值偏高,-0.032336,384127.8374855062,371706.67973257485,candidate_net_return_x_position,,20251128,False,500000.0,500000.0,-0.25658664053485025
A_plus_B_0001,20251127,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,371706.67973257485,371706.67973257485,,000411.SZ 英特集团,,False,500000.0,500000.0,-0.25658664053485025
A_plus_B_0001,20251128,B,HISTORICAL_SIM_FILLED,10,002136.SZ,安 纳 达,sz_main,封单/流通市值偏高,-0.05063981368267824,371706.67973257485,352883.5227263103,candidate_net_return_x_position,,20251202,False,500000.0,500000.0,-0.2942329545473794
A_plus_B_0001,20251201,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,352883.5227263103,352883.5227263103,,002136.SZ 安 纳 达,,False,500000.0,500000.0,-0.2942329545473794
A_plus_B_0001,20251202,B,HISTORICAL_SIM_FILLED,10,000572.SZ,海马汽车,sz_main,封单/流通市值偏高,-0.094075385530228,352883.5227263103,319685.86927856767,candidate_net_return_x_position,,20251204,False,500000.0,500000.0,-0.36062826144286464
A_plus_B_0001,20251203,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,319685.86927856767,319685.86927856767,,000572.SZ 海马汽车,,False,500000.0,500000.0,-0.36062826144286464
A_plus_B_0001,20251204,A,HISTORICAL_SIM_FILLED,1,300946.SZ,恒而达,chi_next,无,0.0291749495998269,319685.86927856767,329012.6884025467,audit_dynamic_account_return,,20251208,False,500000.0,500000.0,-0.3419746231949067
A_plus_B_0001,20251205,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,329012.6884025467,329012.6884025467,,300946.SZ 恒而达,,False,500000.0,500000.0,-0.3419746231949067
A_plus_B_0001,20251208,B,HISTORICAL_SIM_FILLED,10,000571.SZ,新大洲A,sz_main,无,0.03133537876386696,329012.6884025467,339322.42561175866,candidate_net_return_x_position,,20251210,False,500000.0,500000.0,-0.32135514877648264
A_plus_B_0001,20251209,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,339322.42561175866,339322.42561175866,,000571.SZ 新大洲A,,False,500000.0,500000.0,-0.32135514877648264
A_plus_B_0001,20251210,B,HISTORICAL_SIM_FILLED,10,001360.SZ,南矿集团,sz_main,封单/流通市值偏高,-0.011613518860016641,339322.42561175866,335381.6982222899,candidate_net_return_x_position,,20251212,False,500000.0,500000.0,-0.32923660355542017
A_plus_B_0001,20251211,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,335381.6982222899,335381.6982222899,,001360.SZ 南矿集团,,False,500000.0,500000.0,-0.32923660355542017
A_plus_B_0001,20251212,A,HISTORICAL_SIM_FILLED,1,920576.BJ,天力复合,bj,无,0.181313377355646,335381.6982222899,396190.88663024537,audit_dynamic_account_return,,20251216,False,500000.0,500000.0,-0.20761822673950925
A_plus_B_0001,20251215,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,396190.88663024537,396190.88663024537,,920576.BJ 天力复合,,False,500000.0,500000.0,-0.20761822673950925
A_plus_B_0001,20251216,B,HISTORICAL_SIM_FILLED,8,002104.SZ,恒宝股份,sz_main,封单/流通市值偏高,-0.035295999999999925,396190.88663024537,382206.9330957443,candidate_net_return_x_position,,20251218,False,500000.0,500000.0,-0.23558613380851146
A_plus_B_0001,20251217,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,382206.9330957443,382206.9330957443,,002104.SZ 恒宝股份,,False,500000.0,500000.0,-0.23558613380851146
A_plus_B_0001,20251218,B,HISTORICAL_SIM_FILLED,10,002865.SZ,钧达股份,sz_main,封单/流通市值偏高,0.05055227586206904,382206.9330957443,401528.3634139958,candidate_net_return_x_position,,20251222,False,500000.0,500000.0,-0.19694327317200844
A_plus_B_0001,20251219,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,401528.3634139958,401528.3634139958,,002865.SZ 钧达股份,,False,500000.0,500000.0,-0.19694327317200844
A_plus_B_0001,20251222,B,HISTORICAL_SIM_FILLED,10,000407.SZ,胜利股份,sz_main,封单/流通市值偏高,-0.00447080314960624,401528.3634139958,399733.20914218825,candidate_net_return_x_position,,20251224,False,500000.0,500000.0,-0.20053358171562352
A_plus_B_0001,20251223,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,399733.20914218825,399733.20914218825,,000407.SZ 胜利股份,,False,500000.0,500000.0,-0.20053358171562352
A_plus_B_0001,20251224,B,HISTORICAL_SIM_FILLED,10,001316.SZ,润贝航科,sz_main,无,0.00678821052631584,399733.20914218825,402446.6823202052,candidate_net_return_x_position,,20251226,False,500000.0,500000.0,-0.1951066353595896
A_plus_B_0001,20251225,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,402446.6823202052,402446.6823202052,,001316.SZ 润贝航科,,False,500000.0,500000.0,-0.1951066353595896
A_plus_B_0001,20251226,B,REVIEW_REQUIRED_PLAN_ONLY,10,002326.SZ,永太科技,sz_main,LOSS_OVERLAY_WATCH,0.0,402446.6823202052,402446.6823202052,manual_review_skip,,20251230,False,500000.0,500000.0,-0.1951066353595896
A_plus_B_0001,20251229,B,HISTORICAL_SIM_FILLED,10,003033.SZ,征和工业,sz_main,封单/流通市值偏高,0.058583452054794566,402446.6823202052,426023.39823852206,candidate_net_return_x_position,,20251231,False,500000.0,500000.0,-0.14795320352295593
A_plus_B_0001,20251230,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,426023.39823852206,426023.39823852206,,003033.SZ 征和工业,,False,500000.0,500000.0,-0.14795320352295593
A_plus_B_0001,20251231,A,HISTORICAL_SIM_FILLED,2,300058.SZ,蓝色光标,chi_next,无,0.1308549259970799,426023.39823852206,481770.65848804836,audit_dynamic_account_return,,20260106,False,500000.0,500000.0,-0.036458683023903316
A_plus_B_0001,20260105,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,481770.65848804836,481770.65848804836,,300058.SZ 蓝色光标,,False,500000.0,500000.0,-0.036458683023903316
A_plus_B_0001,20260106,B,HISTORICAL_SIM_FILLED,10,002865.SZ,钧达股份,sz_main,无,0.15892856140350875,481770.65848804836,558337.776167975,candidate_net_return_x_position,,20260108,False,500000.0,558337.776167975,0.0
A_plus_B_0001,20260107,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,558337.776167975,558337.776167975,,002865.SZ 钧达股份,,False,500000.0,558337.776167975,0.0
A_plus_B_0001,20260108,B,HISTORICAL_SIM_FILLED,10,002788.SZ,鹭燕医药,sz_main,无,-0.0011325907421011999,558337.776167975,557705.4079717218,candidate_net_return_x_position,,20260112,False,500000.0,558337.776167975,-0.0011325907421011472
A_plus_B_0001,20260109,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,557705.4079717218,557705.4079717218,,002788.SZ 鹭燕医药,,False,500000.0,558337.776167975,-0.0011325907421011472
A_plus_B_0001,20260112,B,HISTORICAL_SIM_FILLED,10,002639.SZ,雪人集团,sz_main,无,-0.033203362401715446,557705.4079717218,539187.7131974403,candidate_net_return_x_position,,20260114,False,500000.0,558337.776167975,-0.03429834732295367
A_plus_B_0001,20260113,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,539187.7131974403,539187.7131974403,,002639.SZ 雪人集团,,False,500000.0,558337.776167975,-0.03429834732295367
A_plus_B_0001,20260114,B,HISTORICAL_SIM_FILLED,10,002194.SZ,武汉凡谷,sz_main,无,-0.026620137931034484,539187.7131974403,524834.4619014054,candidate_net_return_x_position,,20260116,False,500000.0,558337.776167975,-0.06000545851744454
A_plus_B_0001,20260115,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,524834.4619014054,524834.4619014054,,002194.SZ 武汉凡谷,,False,500000.0,558337.776167975,-0.06000545851744454
A_plus_B_0001,20260116,B,HISTORICAL_SIM_FILLED,10,001233.SZ,海安集团,sz_main,封单/流通市值偏高,0.038989907788486565,524834.4619014054,545297.7091751611,candidate_net_return_x_position,,20260120,False,500000.0,558337.776167975,-0.02335515802335908
A_plus_B_0001,20260119,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,545297.7091751611,545297.7091751611,,001233.SZ 海安集团,,False,500000.0,558337.776167975,-0.02335515802335908
A_plus_B_0001,20260120,B,HISTORICAL_SIM_FILLED,10,000417.SZ,合百集团,sz_main,封单/流通市值偏高,-0.05246121739130416,545297.7091751611,516690.7275111428,candidate_net_return_x_position,,20260122,False,500000.0,558337.776167975,-0.0745911353923916
A_plus_B_0001,20260121,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,516690.7275111428,516690.7275111428,,000417.SZ 合百集团,,False,500000.0,558337.776167975,-0.0745911353923916
A_plus_B_0001,20260122,B,HISTORICAL_SIM_FILLED,10,002639.SZ,雪人集团,sz_main,无,-0.04393048275862056,516690.7275111428,493992.2544146754,candidate_net_return_x_position,,20260126,False,500000.0,558337.776167975,-0.11524479356371076
A_plus_B_0001,20260123,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,493992.2544146754,493992.2544146754,,002639.SZ 雪人集团,,False,500000.0,558337.776167975,-0.11524479356371076
A_plus_B_0001,20260126,B,HISTORICAL_SIM_FILLED,10,000078.SZ,海王生物,sz_main,封单/流通市值偏高,-0.06956266666666665,493992.2544146754,459628.8358849122,candidate_net_return_x_position,,20260128,False,500000.0,558337.776167975,-0.1767907250706362
A_plus_B_0001,20260127,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,459628.8358849122,459628.8358849122,,000078.SZ 海王生物,,False,500000.0,558337.776167975,-0.1767907250706362
A_plus_B_0001,20260128,A,HISTORICAL_SIM_FILLED,3,300164.SZ,通源石油,chi_next,无,0.0457725821591917,459628.8358849122,480667.2345381879,audit_dynamic_account_return,,20260130,False,500000.0,558337.776167975,-0.13911031089972326
A_plus_B_0001,20260129,A_OR_B,POSITION_OCCUPIED_SKIP,0,,,,,0.0,480667.2345381879,480667.2345381879,,300164.SZ 通源石油,,False,500000.0,558337.776167975,-0.13911031089972326
