signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win,trade_date,d1_trade_date,d1_open,d1_high,d1_low,d1_close,d1_pre_close,d1_pct_chg,d2_trade_date,d2_open,d2_high,d2_low,d2_close,d2_pre_close,d2_pct_chg,d3_trade_date,d3_open,d3_high,d3_low,d3_close,d3_pre_close,d3_pct_chg,d4_trade_date,d4_open,d4_high,d4_low,d4_close,d4_pre_close,d4_pct_chg,d5_trade_date,d5_open,d5_high,d5_low,d5_close,d5_pre_close,d5_pct_chg,replay_rule,buy_executed,buy_reject_reason,buy_trade_date,buy_price_before_slippage,buy_price,buy_price_model,sell_executed,sell_reject_reason,exit_trade_date,exit_price_before_slippage,exit_price,exit_reason,sell_price_model,path_conflict,limit_down_blocked_days,net_return,daily_return,is_win,strict_account_return,strict_return_source
20240523,1,PLAN_BUY_T1_OPEN,002886.SZ,沃特股份,sz_main,0.5,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0225774177048951,10_20,8_15,5_15,weak_below_30,mixed,mixed,open_auction,6_10,3_5,neg3_0,318123.437,9.3405,2.39,3.0,1.0,93045,93351,该候选只用于模拟盘计划，不代表实盘可买入。,20240524,18.05,20240527,16.35,-0.0978028254847645,False,20240523,20240524,18.05,18.05,17.5,18.05,16.41,9.9939,20240527,17.6,17.6,16.25,16.35,18.05,-9.4183,20240528,15.63,17.1,15.56,17.05,16.35,4.2813,20240529,16.54,17.99,16.42,17.0,17.05,-0.2933,20240530,16.64,17.06,16.24,16.25,16.99,-4.3555,fixed_t2_close,False,open_limit_up_unbuyable,20240524,18.05,,daily_open_limit_up_queue_rejected,False,,,,,no_buy,,False,0,0.0,0.0,False,0.0,conservative_daily_replay
20240524,1,PLAN_BUY_T1_OPEN,600149.SH,廊坊发展,sh_main,2.5,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高;LOSS_OVERLAY_WATCH,1.0,True,True,1pct_2pct,0.0101853164050046,10_20,3_8,5_15,neutral,mixed,mixed,before_1000,6_10,3_5,lt_neg3,138312.501,8.4568,3.7,3.0,1.0,93106,102459,该候选只用于模拟盘计划，不代表实盘可买入。,20240527,4.3,20240528,4.43,0.0266125581395348,True,20240524,20240527,4.3,4.7,4.19,4.4,4.33,1.6166,20240528,4.35,4.49,4.2,4.43,4.4,0.6818,20240529,4.35,4.35,4.11,4.25,4.43,-4.0632,20240530,4.26,4.28,3.96,3.99,4.25,-6.1176,20240531,3.96,3.97,3.76,3.85,3.99,-3.5088,fixed_t2_close,True,,20240527,4.3,4.3043,daily_open_plus_slippage_no_l2,True,,20240528,4.43,4.42557,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.026554151429965377,0.021243321143972302,True,0.021243321143972302,conservative_daily_replay
20240529,1,PLAN_BUY_T1_OPEN,002378.SZ,章源钨业,sz_main,3.3,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,lt_0_1pct,0.0003605805635995,10_20,3_8,5_15,neutral,mixed,mixed,1100_1330,6_10,2_3,0_3,620068.932,7.3384,2.98,2.0,1.0,110112,145403,该候选只用于模拟盘计划，不代表实盘可买入。,20240530,7.27,20240531,6.76,-0.0737713067400274,False,20240529,20240530,7.27,7.35,6.73,6.8,7.23,-5.9474,20240531,6.77,6.9,6.61,6.76,6.8,-0.5882,20240603,6.63,6.67,6.31,6.38,6.76,-5.6213,20240604,6.49,6.54,6.34,6.47,6.38,1.4107,20240605,6.35,6.4,6.2,6.21,6.47,-4.0185,fixed_t2_close,True,,20240530,7.27,7.277269999999999,daily_open_plus_slippage_no_l2,True,,20240531,6.76,6.75324,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.07362914628700039,-0.05890331702960031,False,-0.05890331702960031,conservative_daily_replay
20240531,1,PLAN_BUY_T1_OPEN,002055.SZ,得润电子,sz_main,0.5,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高;LOSS_OVERLAY_WATCH,1.0,True,True,1pct_2pct,0.0152043780878882,5_10,3_8,5_15,weak_below_30,mixed,mixed,before_1000,6_10,1_2_2,lt_neg3,318595.942,8.093,1.24,0.0,1.0,94333,94333,该候选只用于模拟盘计划，不代表实盘可买入。,20240603,7.07,20240604,7.17,0.0105242715700141,True,20240531,20240603,7.07,7.48,6.96,7.48,6.8,10.0,20240604,7.61,8.14,7.15,7.17,7.48,-4.1444,20240605,7.17,7.46,6.98,7.01,7.17,-2.2315,20240606,6.67,7.07,6.31,6.31,7.01,-9.9857,20240607,6.3,6.46,5.91,6.0,6.31,-4.9128,fixed_t2_close,True,,20240603,7.07,7.077069999999999,daily_open_plus_slippage_no_l2,True,,20240604,7.17,7.16283,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.010498009289155074,0.00839840743132406,True,0.00839840743132406,conservative_daily_replay
20240604,1,PLAN_BUY_T1_OPEN,300270.SZ,中威电子,chi_next,1.0,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0282953599490472,5_10,3_8,15_30,neutral,mixed,mixed,open_auction,6_10,2_3,neg3_0,139516.889,8.5269,2.94,0.0,1.0,93030,93030,该候选只用于模拟盘计划，不代表实盘可买入。,20240605,7.88,20240606,5.96,-0.2472748223350253,False,20240604,20240605,7.88,8.2,7.12,7.3,6.83,6.8814,20240606,6.57,6.89,5.96,5.96,7.3,-18.3562,20240607,5.93,6.22,5.63,5.71,5.96,-4.1946,20240611,5.87,6.2,5.87,5.94,5.71,4.028,20240612,5.84,6.18,5.7,6.12,5.94,3.0303,fixed_t2_close,True,,20240605,7.88,7.887879999999999,daily_open_plus_slippage_no_l2,True,,20240606,5.96,5.95404,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.24678600151117908,-0.19742880120894327,False,-0.19742880120894327,conservative_daily_replay
20240605,1,PLAN_BUY_T1_OPEN,000793.SZ,华闻集团,sz_main,0.5,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高;LOSS_OVERLAY_WATCH,1.0,True,True,1pct_2pct,0.0111189210675273,5_10,3_8,5_15,weak_below_30,ice_point,warming,before_1000,6_10,lt_0_8,gte_10,166583.009,9.3486,0.87,0.0,2.0,94427,94427,该候选只用于模拟盘计划，不代表实盘可买入。,20240606,0.98,20240607,1.01,0.0269922448979591,True,20240605,20240606,0.98,1.03,0.9,0.92,0.95,-3.1579,20240607,1.01,1.01,1.01,1.01,0.92,9.7826,20240611,1.11,1.11,1.11,1.11,1.01,9.901,20240612,1.22,1.22,1.22,1.22,1.11,9.9099,20240613,1.34,1.34,1.34,1.34,1.22,9.8361,fixed_t2_close,True,,20240606,0.98,0.9809799999999999,daily_open_plus_slippage_no_l2,True,,20240607,1.01,1.00899,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.02693307957348785,0.02154646365879028,True,0.02154646365879028,conservative_daily_replay
20240606,1,PLAN_BUY_T1_OPEN,601028.SH,玉龙股份,sh_main,-1.0,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,0_1pct_0_3pct,0.0014988012654364,10_20,3_8,gte_60,weak_below_30,ice_point,ice_point,before_1000,6_10,1_2_2,0_3,1016774.091,9.3784,2.25,10.0,1.0,94402,143535,该候选只用于模拟盘计划，不代表实盘可买入。,20240607,14.59,20240611,13.24,-0.0961491295407813,False,20240606,20240607,14.59,14.96,13.93,14.09,14.06,0.2134,20240611,12.69,13.77,12.69,13.24,14.09,-6.0326,20240612,13.35,13.59,12.93,13.17,13.24,-0.5287,20240613,13.16,13.24,12.5,12.72,13.17,-3.4169,20240614,12.89,13.31,12.73,13.22,12.72,3.9308,fixed_t2_close,True,,20240607,14.59,14.604589999999998,daily_open_plus_slippage_no_l2,True,,20240612,13.17,13.15683,fixed_close,daily_price_minus_slippage_no_l2,False,1,-0.10075047884261039,-0.08060038307408832,False,-0.08060038307408832,conservative_daily_replay
20240607,1,PLAN_BUY_T1_OPEN,300198.SZ,纳川股份,chi_next,1.5,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,0_5pct_1pct,0.0063928526067673,5_10,3_8,5_15,warming_2day,warming,mixed,before_1000,6_10,1_2_2,lt_neg3,93511.794,8.4635,1.89,10.0,1.0,94827,101609,该候选只用于模拟盘计划，不代表实盘可买入。,20240611,1.29,20240612,1.25,-0.0346277519379845,False,20240607,20240611,1.29,1.34,1.18,1.22,1.25,-2.4,20240612,1.22,1.31,1.21,1.25,1.22,2.459,20240613,1.24,1.26,1.17,1.18,1.25,-5.6,20240614,1.16,1.25,1.16,1.19,1.18,0.8475,20240617,1.17,1.2,1.15,1.16,1.19,-2.521,fixed_t2_close,True,,20240611,1.29,1.2912899999999998,daily_open_plus_slippage_no_l2,True,,20240612,1.25,1.24875,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.03456380038566069,-0.02765104030852855,False,-0.02765104030852855,conservative_daily_replay
20240611,1,PLAN_BUY_T1_OPEN,605258.SH,协和电子,sh_main,0.5,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.022042692969665,10_20,3_8,5_15,weak_below_30,mixed,mixed,open_auction,6_10,lt_0_8,7_10,258043.287,7.7894,0.97,2.0,6.0,93029,93738,该候选只用于模拟盘计划，不代表实盘可买入。,20240612,41.83,20240613,37.65,-0.1035482811379392,False,20240611,20240612,41.83,41.83,40.02,41.83,38.03,9.9921,20240613,45.66,46.01,37.65,37.65,41.83,-9.9928,20240614,36.0,37.0,34.5,35.12,37.65,-6.7198,20240617,34.21,37.47,34.21,36.56,35.12,4.1002,20240618,36.51,38.13,34.81,37.65,36.56,2.9814,fixed_t2_close,False,open_limit_up_unbuyable,20240612,41.83,,daily_open_limit_up_queue_rejected,False,,,,,no_buy,,False,0,0.0,0.0,False,0.0,conservative_daily_replay
20240614,1,PLAN_BUY_T1_OPEN,600992.SH,贵绳股份,sh_main,0.5,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高;LOSS_OVERLAY_WATCH,1.0,True,True,1pct_2pct,0.0157472765106695,10_20,8_15,5_15,weak_below_30,ice_point,mixed,before_1000,6_10,1_2_2,neg3_0,350241.47,8.7674,1.04,0.0,1.0,95957,95957,该候选只用于模拟盘计划，不代表实盘可买入。,20240617,17.26,20240618,16.76,-0.0325887137891078,False,20240614,20240617,17.26,18.16,16.95,17.11,16.93,1.0632,20240618,17.12,17.28,16.65,16.76,17.11,-2.0456,20240619,17.09,18.12,16.81,17.57,16.76,4.8329,20240620,17.09,17.18,16.39,16.69,17.57,-5.0085,20240621,16.52,17.22,16.34,16.63,16.69,-0.3595,fixed_t2_close,True,,20240617,17.26,17.27726,daily_open_plus_slippage_no_l2,True,,20240618,16.76,16.74324,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.03252883623907947,-0.026023068991263578,False,-0.026023068991263578,conservative_daily_replay
