scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,c_trade_count,candidate_return_source_count,audit_or_replay_return_source_count,strict_rank,approx_equity_multiple,approx_executed_trade_count,approx_win_rate,approx_max_drawdown
A_plus_B_plus_C_0993,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10,481,95,23,50,1,0,0,277,108,0.7263157894736842,0.05654266195058423,0.0366735032523264,0.4980539655009626,-0.14148486773603755,2.1624686753841584,500000.0,58800051.748583846,117.6001034971677,-0.2030955287091747,0,1,False,22,0,95,7,2.9935933819711047,86,0.5581395348837209,-0.5568801966874039
A_plus_B_plus_C_0164,market_segment=bj;fd_ratio_bucket=0_1pct_0_3pct,481,83,24,52,1,0,0,314,83,0.7228915662650602,0.06300971797139675,0.0352808081329955,0.5188303352032584,-0.11800704531551723,2.6514481234623197,500000.0,49653624.34831061,99.30724869662123,-0.13636773737941088,0,0,False,7,0,83,142,1.5442187290903726,17,0.5294117647058824,-0.2598760685366368
A_plus_B_plus_C_0243,market_segment=bj;amount_ratio_bucket=3_5,481,80,25,52,1,0,0,321,79,0.7375,0.06499961302850113,0.033956075351714646,0.4980539655009626,-0.11800704531551723,2.638487242034658,500000.0,48811832.91746114,97.62366583492228,-0.136367737379411,0,0,False,3,0,80,49,1.984926768420822,44,0.4090909090909091,-0.5501221955684443
A_plus_B_plus_C_1273,segment_emotion_state_bucket=mixed;turnover_rate_bucket=6_10,481,107,22,47,2,0,0,257,115,0.7383177570093458,0.047314053036852155,0.0326313425704338,0.4980539655009626,-0.17114192653629492,1.7631384949303295,500000.0,46424110.81241496,92.84822162482992,-0.171141926536295,0,2,False,38,0,107,14,2.668927198932571,129,0.5116279069767442,-0.32170656990453894
A_plus_B_plus_C_0476,market_chain_count_bucket=3_8;prev_pct_chg_bucket=3_7,481,88,24,51,0,0,0,304,89,0.7272727272727273,0.05673240792195678,0.033956075351714646,0.4980539655009626,-0.11800704531551723,2.4315947845767063,500000.0,42611487.8524637,85.22297570492739,-0.13636773737941088,0,0,False,13,0,88,41,2.030473649437999,50,0.48,-0.26771250176078243
A_plus_B_plus_C_0317,market_chain_count_bucket=15_30;segment_chain_count_bucket=gte_10,481,89,24,51,0,0,0,302,90,0.7303370786516854,0.05591323524494505,0.0291749495998269,0.4980539655009626,-0.11800704531551723,2.2365136222186615,500000.0,41328049.712724365,82.65609942544873,-0.14026582438977253,0,0,False,14,0,89,139,1.5580036985941303,45,0.5111111111111111,-0.3134415257414026
A_plus_B_plus_C_0258,market_segment=bj;prev_pct_chg_bucket=neg3_0,481,83,25,51,0,0,0,315,83,0.7108433734939759,0.060437484902374355,0.0317362084332781,0.5188303352032584,-0.11800704531551723,2.5706040986156693,500000.0,40167302.930977754,80.33460586195551,-0.13636773737941088,0,0,False,7,0,83,13,2.685585751849269,42,0.4523809523809524,-0.41108118850572495
A_plus_B_plus_C_0334,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,84,24,52,0,0,0,313,84,0.7142857142857143,0.05830954641246191,0.033956075351714646,0.4980539655009626,-0.11800704531551723,2.7279574079393614,500000.0,39023020.29115833,78.04604058231666,-0.136367737379411,0,0,False,8,0,84,30,2.213113564809166,29,0.5172413793103449,-0.19269646964989406
A_plus_B_plus_C_0786,segment_limit_up_count_bucket=40_80;market_emotion_state_bucket=main_rise,481,86,24,52,0,0,0,309,86,0.7093023255813954,0.05667868642162158,0.03218377550185595,0.4980539655009626,-0.11800704531551723,2.6695312978282777,500000.0,38069531.93062622,76.13906386125244,-0.13636773737941088,0,0,False,10,0,86,67,1.8820865115254757,39,0.5384615384615384,-0.21976438112727992
A_plus_B_plus_C_0600,segment_chain_count_bucket=gte_10;market_emotion_state_bucket=retreat,481,79,25,52,0,0,0,324,78,0.7468354430379747,0.06145723134045329,0.0352808081329955,0.4980539655009626,-0.11800704531551723,2.4660762090956156,500000.0,37559097.69577273,75.11819539154546,-0.13636773737941077,0,0,False,2,0,79,133,1.5760560299050226,11,0.45454545454545453,-0.1721422662899157
