signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win,trade_date,d1_trade_date,d1_open,d1_high,d1_low,d1_close,d1_pre_close,d1_pct_chg,d2_trade_date,d2_open,d2_high,d2_low,d2_close,d2_pre_close,d2_pct_chg,d3_trade_date,d3_open,d3_high,d3_low,d3_close,d3_pre_close,d3_pct_chg,d4_trade_date,d4_open,d4_high,d4_low,d4_close,d4_pre_close,d4_pct_chg,d5_trade_date,d5_open,d5_high,d5_low,d5_close,d5_pre_close,d5_pct_chg,replay_rule,buy_executed,buy_reject_reason,buy_trade_date,buy_price_before_slippage,buy_price,buy_price_model,sell_executed,sell_reject_reason,exit_trade_date,exit_price_before_slippage,exit_price,exit_reason,sell_price_model,path_conflict,limit_down_blocked_days,net_return,daily_return,is_win,strict_account_return,strict_return_source
20241018,1,PLAN_BUY_T1_OPEN,002685.SZ,华东重机,sz_main,2.8,0.8,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0124550346556533,40_80,15_30,lt_5,neutral,main_rise,main_rise,1100_1330,15_25,lt_0_8,7_10,1076647.332,20.3428,1.36,0.0,1.0,131448,131448,该候选只用于模拟盘计划，不代表实盘可买入。,20241021,6.13,20241022,6.74,0.095890603588907,True,20241018,20241021,6.13,6.13,6.13,6.13,5.57,10.0539,20241022,6.74,6.74,6.74,6.74,6.13,9.9511,20241023,7.41,7.41,7.41,7.41,6.74,9.9407,20241024,8.15,8.15,6.67,6.9,7.41,-6.8826,20241025,7.2,7.59,6.99,7.59,6.9,10.0,fixed_t2_close,False,open_limit_up_unbuyable,20241021,6.13,,daily_open_limit_up_queue_rejected,False,,,,,no_buy,,False,0,0.0,0.0,False,0.0,conservative_daily_replay
20241024,1,PLAN_BUY_T1_OPEN,002229.SZ,鸿博股份,sz_main,0.8,0.8,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0296565219969761,40_80,15_30,lt_5,retreat_2day,retreat,retreat,1100_1330,15_25,lt_0_8,0_3,1617758.051,24.6175,1.46,0.0,1.0,130009,130009,该候选只用于模拟盘计划，不代表实盘可买入。,20241025,15.0,20241028,16.29,0.0823799999999998,True,20241024,20241025,15.0,15.28,14.24,15.28,13.89,10.0072,20241028,15.3,16.81,15.28,16.29,15.28,6.6099,20241029,15.64,16.11,14.78,14.97,16.29,-8.1031,20241030,14.29,14.78,13.86,14.4,14.97,-3.8076,20241031,14.1,15.79,14.1,15.16,14.4,5.2778,fixed_t2_close,True,,20241025,15.0,15.014999999999999,daily_open_plus_slippage_no_l2,True,,20241028,16.29,16.273709999999998,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.08221016983016978,0.06576813586413582,True,0.06576813586413582,conservative_daily_replay
20241104,1,PLAN_BUY_T1_OPEN,001319.SZ,铭科精技,sz_main,2.8,0.8,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,0_1pct_0_3pct,0.0021470631653189,40_80,15_30,30_60,neutral,main_rise,ice_point,1100_1330,gte_25,2_3,3_7,645230.779,42.9821,3.2,3.0,1.0,130121,144739,该候选只用于模拟盘计划，不代表实盘可买入。,20241105,24.95,20241106,27.3,0.090568376753507,True,20241104,20241105,24.95,27.86,24.35,27.86,25.33,9.9882,20241106,30.0,30.65,26.75,27.3,27.86,-2.0101,20241107,28.05,29.2,25.66,26.7,27.3,-2.1978,20241108,26.0,27.44,25.66,26.0,26.7,-2.6217,20241111,25.6,26.36,25.25,26.18,26.0,0.6923,fixed_t2_close,True,,20241105,24.95,24.974949999999996,daily_open_plus_slippage_no_l2,True,,20241106,27.3,27.2727,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.09038218619056311,0.0723057489524505,True,0.0723057489524505,conservative_daily_replay
20241204,1,PLAN_BUY_T1_OPEN,002347.SZ,泰尔股份,sz_main,0.8,0.8,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,lt_0_1pct,0.0006225386792657,40_80,15_30,15_30,retreat_2day,retreat,retreat,1100_1330,gte_25,3_5,7_10,1932152.409,50.7001,3.89,6.0,5.0,130927,150000,该候选只用于模拟盘计划，不代表实盘可买入。,20241205,7.5,20241206,10.01,0.3310466666666666,True,20241204,20241205,7.5,9.1,7.44,9.1,8.27,10.0363,20241206,9.99,10.01,9.02,10.01,9.1,10.0,20241209,11.01,11.01,11.01,11.01,10.01,9.99,20241210,11.56,12.11,11.34,12.11,11.01,9.9909,20241211,12.0,13.31,10.9,11.25,12.11,-7.1016,fixed_t2_close,True,,20241205,7.5,7.507499999999999,daily_open_plus_slippage_no_l2,True,,20241206,10.01,9.99999,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.33038000000000006,0.26430400000000004,True,0.26430400000000004,conservative_daily_replay
20241216,1,PLAN_BUY_T1_OPEN,002173.SZ,创新医疗,sz_main,2.8,0.8,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0113244676239942,40_80,15_30,15_30,neutral,main_rise,retreat,1100_1330,15_25,3_5,neg3_0,907831.961,22.0896,1.95,2.0,1.0,130236,142639,该候选只用于模拟盘计划，不代表实盘可买入。,20241217,10.08,20241218,11.28,0.115427619047619,True,20241216,20241217,10.08,10.95,9.5,10.25,10.09,1.5857,20241218,10.15,11.28,10.02,11.28,10.25,10.0488,20241219,12.41,12.41,10.76,11.0,11.28,-2.4823,20241220,11.0,11.83,10.61,11.02,11.0,0.1818,20241223,10.38,10.49,9.92,9.92,11.02,-9.9819,fixed_t2_close,True,,20241217,10.08,10.090079999999999,daily_open_plus_slippage_no_l2,True,,20241218,11.28,11.26872,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.11519175966890267,0.09215340773512215,True,0.09215340773512215,conservative_daily_replay
20241220,1,PLAN_BUY_T1_OPEN,002009.SZ,天奇股份,sz_main,2.8,0.8,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0134301869078438,40_80,15_30,15_30,neutral,main_rise,main_rise,1100_1330,10_15,2_3,neg3_0,794540.435,13.0958,1.34,0.0,1.0,110809,110809,该候选只用于模拟盘计划，不代表实盘可买入。,20241223,15.36,20241224,15.7,0.0185154166666667,True,20241220,20241223,15.36,15.54,14.53,14.72,15.64,-5.8824,20241224,15.0,16.19,15.0,15.7,14.72,6.6576,20241225,15.52,15.66,14.86,14.99,15.7,-4.5223,20241226,14.81,16.49,14.81,16.49,14.99,10.0067,20241227,16.21,16.39,15.75,15.85,16.49,-3.8811,fixed_t2_close,True,,20241223,15.36,15.375359999999997,daily_open_plus_slippage_no_l2,True,,20241224,15.7,15.684299999999999,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.01847318806193816,0.01477855044955053,True,0.01477855044955053,conservative_daily_replay
20250109,1,PLAN_BUY_T1_OPEN,600410.SH,华胜天成,sh_main,4.3,0.8,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0080728762422288,40_80,15_30,5_15,neutral,main_rise,main_rise,1100_1330,15_25,1_2_2,0_3,1898855.51,23.5489,2.68,7.0,1.0,110623,140600,该候选只用于模拟盘计划，不代表实盘可买入。,20250110,7.5,20250113,6.75,-0.1036199999999999,False,20250109,20250110,7.5,8.05,7.28,7.29,7.59,-3.9526,20250113,6.99,7.15,6.66,6.75,7.29,-7.4074,20250114,6.83,7.43,6.77,7.43,6.75,10.0741,20250115,7.61,7.91,7.53,7.67,7.43,3.2301,20250116,7.69,7.88,7.41,7.76,7.67,1.1734,fixed_t2_close,True,,20250110,7.5,7.507499999999999,daily_open_plus_slippage_no_l2,True,,20250113,6.75,6.74325,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.10341820179820176,-0.08273456143856141,False,-0.08273456143856141,conservative_daily_replay
20250212,1,PLAN_BUY_T1_OPEN,601116.SH,三江购物,sh_main,2.8,0.8,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0111160271347519,40_80,15_30,lt_5,neutral,main_rise,main_rise,1100_1330,3_6,1_2_2,0_3,250071.184,4.0885,2.16,0.0,1.0,130131,130131,该候选只用于模拟盘计划，不代表实盘可买入。,20250213,12.0,20250214,14.15,0.1755466666666666,True,20250212,20250213,12.0,12.86,11.42,12.86,11.69,10.0086,20250214,12.8,14.15,12.34,14.15,12.86,10.0311,20250217,14.49,15.57,14.15,14.92,14.15,5.4417,20250218,13.43,13.43,13.43,13.43,14.92,-9.9866,20250219,12.09,12.6,12.09,12.41,13.43,-7.5949,fixed_t2_close,True,,20250213,12.0,12.011999999999999,daily_open_plus_slippage_no_l2,True,,20250214,14.15,14.13585,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.17519068931068932,0.14015255144855146,True,0.14015255144855146,conservative_daily_replay
20250217,1,PLAN_BUY_T1_OPEN,603286.SH,日盈电子,sh_main,2.3,0.8,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0035804190994997,40_80,15_30,5_15,warming_2day,warming,main_rise,1100_1330,gte_25,2_3,0_3,777473.359,26.0608,1.48,10.0,1.0,130131,141431,该候选只用于模拟盘计划，不代表实盘可买入。,20250218,26.8,20250219,29.81,0.1086934328358208,True,20250217,20250218,26.8,28.5,26.46,27.1,26.85,0.9311,20250219,26.72,29.81,26.72,29.81,27.1,10.0,20250220,30.87,32.34,30.0,31.33,29.81,5.099,20250221,30.85,32.69,30.51,31.35,31.33,0.0638,20250224,30.89,30.89,28.32,29.89,31.35,-4.6571,fixed_t2_close,True,,20250218,26.8,26.8268,daily_open_plus_slippage_no_l2,True,,20250219,29.81,29.780189999999997,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.10847102837461038,0.08677682269968831,True,0.08677682269968831,conservative_daily_replay
20250221,1,PLAN_BUY_T1_OPEN,603341.SH,龙旗科技,sh_main,2.8,0.8,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0135511664506572,40_80,15_30,lt_5,neutral,main_rise,main_rise,1100_1330,15_25,1_2_2,0_3,548869.94,21.8389,2.42,0.0,1.0,132716,132716,该候选只用于模拟盘计划，不代表实盘可买入。,20250224,53.88,20250225,53.24,-0.0154982479584261,False,20250221,20250224,53.88,55.55,51.68,54.58,54.01,1.0554,20250225,52.85,55.0,51.99,53.24,54.58,-2.4551,20250226,53.24,53.49,51.68,52.35,53.24,-1.6717,20250227,52.31,54.88,50.76,52.93,52.35,1.1079,20250228,52.01,52.6,48.27,48.38,52.93,-8.5963,fixed_t2_close,True,,20250224,53.88,53.933879999999995,daily_open_plus_slippage_no_l2,True,,20250225,53.24,53.18676,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.015472517193274294,-0.012378013754619437,False,-0.012378013754619437,conservative_daily_replay
