scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,c_trade_count,candidate_return_source_count,audit_or_replay_return_source_count,strict_rank,approx_equity_multiple,approx_executed_trade_count,approx_win_rate,approx_max_drawdown
A_plus_B_plus_C_0324,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,84,24,52,0,0,4,361,32,0.7142857142857143,0.05830954641246191,0.033956075351714646,0.4980539655009626,-0.11800704531551723,2.7279574079393614,500000.0,39023020.29115833,78.04604058231666,-0.136367737379411,0,0,False,8,0,84,6,2.213113564809166,29,0.5172413793103449,-0.19269646964989406
A_plus_B_plus_C_0776,segment_limit_up_count_bucket=40_80;market_emotion_state_bucket=main_rise,481,86,24,52,0,0,4,357,34,0.7093023255813954,0.05667868642162158,0.03218377550185595,0.4980539655009626,-0.11800704531551723,2.6695312978282777,500000.0,38069531.93062622,76.13906386125244,-0.13636773737941088,0,0,False,10,0,86,13,1.8820865115254757,39,0.5384615384615384,-0.21976438112727992
A_plus_B_plus_C_0793,segment_limit_up_count_bucket=40_80;first_time_detail_bucket=1100_1330,481,89,24,52,0,0,4,351,37,0.6853932584269663,0.053886992299650036,0.0291749495998269,0.4980539655009626,-0.11800704531551723,2.7462538367740543,500000.0,35150479.28052247,70.30095856104495,-0.13636773737941088,0,0,False,13,0,89,18,1.753818014367941,51,0.49019607843137253,-0.18181966988225895
A_plus_B_plus_C_0369,market_chain_count_bucket=3_8;fd_ratio_bucket=0_1pct_0_3pct,481,98,22,50,0,0,5,330,48,0.7040816326530612,0.04870483323722147,0.02915635420937055,0.4980539655009626,-0.11800704531551723,2.3755214152465696,500000.0,34843001.74025363,69.68600348050725,-0.13636773737941088,0,0,False,26,0,98,15,1.8243439235554602,53,0.5849056603773585,-0.20657631043159352
A_plus_B_plus_C_0759,segment_limit_up_count_bucket=40_80;segment_emotion_state_bucket=main_rise,481,87,24,51,1,0,4,353,36,0.7011494252873564,0.054162396011485064,0.0291749495998269,0.4980539655009626,-0.11800704531551723,2.47474940645404,500000.0,32367706.616511855,64.7354132330237,-0.1436342572080227,0,0,False,12,0,87,5,2.2210373241628876,34,0.6176470588235294,-0.14980916964566626
A_plus_B_plus_C_0128,market_segment=sh_main;segment_limit_up_ratio_bucket=2pct_3pct,481,92,23,49,1,0,4,341,43,0.7282608695652174,0.049107752700037276,0.024619018807461458,0.4980539655009626,-0.11800704531551723,2.1246536580013897,500000.0,27530651.820265386,55.061303640530774,-0.1436342572080227,0,0,False,20,0,92,10,1.904607584226896,58,0.5862068965517241,-0.2302726818122638
A_plus_B_plus_C_0728,segment_limit_up_count_bucket=40_80;segment_limit_up_ratio_bucket=2pct_3pct,481,87,24,50,1,0,4,352,37,0.7126436781609196,0.05190465718860357,0.0291377588189142,0.4980539655009626,-0.11800704531551723,2.3171825936085653,500000.0,27327237.660887748,54.65447532177549,-0.1436342572080228,0,0,False,13,0,87,3,2.625029971722639,43,0.6511627906976745,-0.15819705869518463
A_plus_B_plus_C_0112,market_segment=sh_main;segment_limit_up_count_bucket=40_80,481,86,24,50,1,0,4,354,36,0.7093023255813954,0.05237064302099957,0.02915635420937055,0.4980539655009626,-0.11800704531551723,2.4177548398714115,500000.0,27126413.250649177,54.25282650129835,-0.1436342572080227,0,0,False,12,0,86,9,2.053029438284017,37,0.5945945945945946,-0.19538492451085887
A_plus_B_plus_C_1966,segment_chain_count_bucket=5_10;segment_emotion_state_bucket=warming;fd_ratio_bucket=0_1pct_0_3pct,481,86,25,51,0,0,5,355,35,0.7209302325581395,0.05004760478503131,0.02930790636834507,0.4744497307792882,-0.11800704531551723,2.325153282259765,500000.0,23898953.905014247,47.79790781002849,-0.13636773737941088,0,0,False,10,0,86,12,1.8919735079734894,19,0.7368421052631579,-0.13712044359672615
A_plus_B_plus_C_0795,segment_limit_up_count_bucket=10_20;first_time_detail_bucket=before_1000,481,93,24,47,0,0,5,333,50,0.6451612903225806,0.037412783258602436,0.020473450062133,0.4980539655009626,-0.11800704531551723,2.04896211855084,500000.0,10565810.217078699,21.131620434157398,-0.1559041037772222,0,2,False,22,0,93,4,2.4378055728678163,99,0.5555555555555556,-0.2364206617802428
C_0369_strict,market_chain_count_bucket=3_8;fd_ratio_bucket=0_1pct_0_3pct,323,26,0,0,0,0,0,276,21,0.5769230769230769,0.013872830168583254,0.004616979217849835,0.11675994935568422,-0.057399694030369056,1.548655490705238,500000.0,696206.5403664864,1.3924130807329729,-0.08667603138277291,0,0,False,26,0,26,15,1.8243439235554602,53,0.5849056603773585,-0.20657631043159352
