signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win,trade_date,d1_trade_date,d1_open,d1_high,d1_low,d1_close,d1_pre_close,d1_pct_chg,d2_trade_date,d2_open,d2_high,d2_low,d2_close,d2_pre_close,d2_pct_chg,d3_trade_date,d3_open,d3_high,d3_low,d3_close,d3_pre_close,d3_pct_chg,d4_trade_date,d4_open,d4_high,d4_low,d4_close,d4_pre_close,d4_pct_chg,d5_trade_date,d5_open,d5_high,d5_low,d5_close,d5_pre_close,d5_pct_chg,replay_rule,buy_executed,buy_reject_reason,buy_trade_date,buy_price_before_slippage,buy_price,buy_price_model,sell_executed,sell_reject_reason,exit_trade_date,exit_price_before_slippage,exit_price,exit_reason,sell_price_model,path_conflict,limit_down_blocked_days,net_return,daily_return,is_win,strict_account_return,strict_return_source
20240522,1,PLAN_BUY_T1_OPEN,002851.SZ,麦格米特,sz_main,1.7999999999999998,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0066532120565796,10_20,3_8,lt_5,neutral,mixed,mixed,1100_1330,6_10,1_2_2,0_3,790021.838,6.8747,1.02,0.0,1.0,130545,130545,该候选只用于模拟盘计划，不代表实盘可买入。,20240523,31.01,20240524,28.48,-0.0852065849725895,False,20240522,20240523,31.01,31.96,29.64,31.15,29.26,6.4593,20240524,30.5,30.5,28.42,28.48,31.15,-8.5714,20240527,29.8,30.63,29.11,30.17,28.48,5.934,20240528,32.1,33.19,30.05,30.8,30.17,2.0882,20240529,29.94,31.1,28.88,29.22,30.8,-5.1299,fixed_t2_close,True,,20240523,31.01,31.041009999999996,daily_open_plus_slippage_no_l2,True,,20240524,28.48,28.451520000000002,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.08504157681080586,-0.06803326144864469,False,-0.06803326144864469,conservative_daily_replay
20240530,1,PLAN_BUY_T1_OPEN,002654.SZ,万润科技,sz_main,1.2999999999999998,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0096148820600688,10_20,3_8,5_15,weak_below_30,mixed,mixed,1100_1330,6_10,2_3,neg3_0,712600.52,9.1641,2.52,0.0,1.0,110803,110803,该候选只用于模拟盘计划，不代表实盘可买入。,20240531,10.21,20240603,11.42,0.1148912634671889,True,20240530,20240531,10.21,10.57,10.12,10.38,10.09,2.8741,20240603,10.36,11.42,10.36,11.42,10.38,10.0193,20240604,11.71,11.9,10.98,11.16,11.42,-2.2767,20240605,11.1,11.63,11.07,11.21,11.16,0.448,20240606,11.3,11.51,10.7,10.96,11.21,-2.2302,fixed_t2_close,True,,20240531,10.21,10.22021,daily_open_plus_slippage_no_l2,True,,20240603,11.42,11.40858,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.11465647572799394,0.09172518058239515,True,0.09172518058239515,conservative_daily_replay
20240613,1,PLAN_BUY_T1_OPEN,603389.SH,亚振家居,sh_main,-1.0,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0084165295021866,10_20,8_15,lt_5,retreat_weak,mixed,mixed,after_1430,6_10,1_2_2,neg3_0,106368.137,8.5977,1.52,0.0,1.0,145621,145621,该候选只用于模拟盘计划，不代表实盘可买入。,20240614,4.96,20240617,5.02,0.0084767741935482,True,20240613,20240614,4.96,5.47,4.81,5.47,4.97,10.0604,20240617,5.4,5.72,5.0,5.02,5.47,-8.2267,20240618,5.2,5.2,4.9,4.98,5.02,-0.7968,20240619,4.98,5.48,4.86,5.48,4.98,10.0402,20240620,5.57,6.03,5.51,5.59,5.48,2.0073,fixed_t2_close,True,,20240614,4.96,4.96496,daily_open_plus_slippage_no_l2,True,,20240617,5.02,5.0149799999999995,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.00845460281653838,0.006763682253230705,True,0.006763682253230705,conservative_daily_replay
20240619,1,PLAN_BUY_T1_OPEN,600326.SH,西藏天路,sh_main,-0.19999999999999996,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,lt_0_1pct,0.000235350145979,10_20,8_15,lt_5,retreat_weak,mixed,warming,1100_1330,6_10,3_5,0_3,381604.806,7.0462,3.15,3.0,1.0,112650,143650,该候选只用于模拟盘计划，不代表实盘可买入。,20240620,4.27,20240621,4.59,0.0713214519906324,True,20240619,20240620,4.27,4.38,4.16,4.17,4.33,-3.6952,20240621,4.17,4.59,4.11,4.59,4.17,10.0719,20240624,4.59,4.75,4.41,4.6,4.59,0.2179,20240625,4.5,4.59,4.4,4.49,4.6,-2.3913,20240626,4.4,4.49,4.25,4.46,4.49,-0.6682,fixed_t2_close,True,,20240620,4.27,4.274269999999999,daily_open_plus_slippage_no_l2,True,,20240621,4.59,4.5854099999999995,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.07117371682182001,0.056938973457456014,True,0.056938973457456014,conservative_daily_replay
20240701,1,PLAN_BUY_T1_OPEN,300763.SZ,锦浪科技,chi_next,1.2999999999999998,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0043373744781863,5_10,3_8,5_15,warming_2day,warming,mixed,1100_1330,6_10,3_5,lt_neg3,1099764.549,7.0673,3.94,0.0,1.0,131757,131757,该候选只用于模拟盘计划，不代表实盘可买入。,20240702,49.95,20240703,47.67,-0.0492656456456456,False,20240701,20240702,49.95,50.25,48.34,48.63,49.97,-2.6816,20240703,48.23,49.49,46.3,47.67,48.63,-1.9741,20240704,47.58,48.1,45.77,46.11,47.67,-3.2725,20240705,46.49,48.08,46.09,46.6,46.11,1.0627,20240708,45.98,46.51,45.02,46.01,46.6,-1.2661,fixed_t2_close,True,,20240702,49.95,49.99995,daily_open_plus_slippage_no_l2,True,,20240703,47.67,47.622330000000005,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.04917244755244736,-0.03933795804195789,False,-0.03933795804195789,conservative_daily_replay
20240723,1,PLAN_BUY_T1_OPEN,300550.SZ,和仁科技,chi_next,0.5,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0042590790808624,5_10,8_15,5_15,retreat_weak,mixed,mixed,1330_1430,6_10,3_5,gte_10,306211.53,9.6636,9.64,1.0,2.0,133945,145600,该候选只用于模拟盘计划，不代表实盘可买入。,20240724,13.25,20240725,10.95,-0.1772049056603774,False,20240723,20240724,13.25,13.48,11.8,11.88,13.15,-9.6578,20240725,11.42,11.68,10.68,10.95,11.88,-7.8283,20240726,10.85,10.88,10.19,10.36,10.95,-5.3881,20240729,10.3,10.55,10.17,10.44,10.36,0.7722,20240730,10.2,10.4,10.0,10.28,10.44,-1.5326,fixed_t2_close,True,,20240724,13.25,13.26325,daily_open_plus_slippage_no_l2,True,,20240725,10.95,10.93905,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.17685608467004693,-0.14148486773603755,False,-0.14148486773603755,conservative_daily_replay
20240819,1,PLAN_BUY_T1_OPEN,600817.SH,宇通重工,sh_main,3.3,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0038194377816714,10_20,3_8,5_15,neutral,mixed,mixed,1100_1330,6_10,lt_0_8,0_3,471062.126,6.9959,1.14,0.0,1.0,111014,111014,该候选只用于模拟盘计划，不代表实盘可买入。,20240820,13.52,20240821,12.84,-0.0539158579881657,False,20240819,20240820,13.52,14.78,12.87,14.25,13.45,5.948,20240821,13.33,13.7,12.83,12.84,14.25,-9.8947,20240822,12.5,12.84,11.6,11.73,12.84,-8.6449,20240823,11.5,11.71,11.01,11.4,11.73,-2.8133,20240826,11.1,11.29,10.53,10.7,11.4,-6.1404,fixed_t2_close,True,,20240820,13.52,13.533519999999998,daily_open_plus_slippage_no_l2,True,,20240822,11.73,11.71827,fixed_close,daily_price_minus_slippage_no_l2,False,1,-0.13574992333110664,-0.10859993866488532,False,-0.10859993866488532,conservative_daily_replay
20240826,1,PLAN_BUY_T1_OPEN,600506.SH,统一股份,sh_main,1.2999999999999998,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.004695786904809,10_20,3_8,5_15,warming_2day,warming,mixed,1100_1330,6_10,3_5,0_3,117900.723,7.1588,3.84,0.0,1.0,130809,130809,该候选只用于模拟盘计划，不代表实盘可买入。,20240827,11.5,20240828,11.6,0.0050756521739129,True,20240826,20240827,11.5,11.77,11.22,11.28,11.52,-2.0833,20240828,11.38,12.3,11.21,11.6,11.28,2.8369,20240829,11.53,11.68,11.16,11.35,11.6,-2.1552,20240830,11.29,11.58,11.17,11.47,11.35,1.0573,20240902,11.47,11.56,11.27,11.3,11.47,-1.4821,fixed_t2_close,True,,20240827,11.5,11.511499999999998,daily_open_plus_slippage_no_l2,True,,20240828,11.6,11.5884,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.0050602762454938326,0.004048220996395066,True,0.004048220996395066,conservative_daily_replay
20240924,1,PLAN_BUY_T1_OPEN,300072.SZ,海新能科,chi_next,-0.19999999999999996,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0057371021099992,5_10,8_15,lt_5,warming_2day,warming,mixed,1100_1330,6_10,3_5,neg3_0,341191.408,6.2685,1.82,1.0,1.0,130033,131845,该候选只用于模拟盘计划，不代表实盘可买入。,20240925,3.0,20240926,3.45,0.1463800000000001,True,20240924,20240925,3.0,3.0,3.0,3.0,2.5,20.0,20240926,3.01,3.6,2.9,3.45,3.0,15.0,20240927,3.39,3.9,3.27,3.52,3.45,2.029,20240930,3.59,4.2,3.51,4.17,3.52,18.4659,20241008,4.75,4.92,4.17,4.62,4.17,10.7914,fixed_t2_close,False,open_limit_up_unbuyable,20240925,3.0,,daily_open_limit_up_queue_rejected,False,,,,,no_buy,,False,0,0.0,0.0,False,0.0,conservative_daily_replay
20240926,1,PLAN_BUY_T1_OPEN,300100.SZ,双林股份,chi_next,1.0,0.8,segment_limit_up_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0085102708371351,5_10,15_30,lt_5,neutral,main_rise,mixed,1000_1100,6_10,2_3,neg3_0,489027.205,8.7701,2.7,0.0,1.0,100500,100500,该候选只用于模拟盘计划，不代表实盘可买入。,20240927,15.84,20240930,20.08,0.2640567676767675,True,20240926,20240927,15.84,17.77,15.58,16.75,15.24,9.9081,20240930,16.82,20.08,16.82,20.08,16.75,19.8806,20241008,23.51,24.1,21.14,24.1,20.08,20.0199,20241009,22.22,22.76,19.7,19.87,24.1,-17.5519,20241010,19.53,20.55,19.0,19.27,19.87,-3.0196,fixed_t2_close,True,,20240927,15.84,15.855839999999999,daily_open_plus_slippage_no_l2,True,,20240930,20.08,20.059919999999998,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.26352394696212883,0.21081915756970307,True,0.21081915756970307,conservative_daily_replay
