trade_date,ts_code,name,limit_close,limit_pct_chg,fd_amount,first_time,last_time,open_times,limit,limit_amount,limit_times,open,high,low,close,pre_close,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,float_share,free_share,total_mv,circ_mv,is_low_amount,market_segment,limit_pct,first_time_bucket,board_type,is_st,limit_pct_bucket,fd_amount_to_circ_mv,is_fd_amount_abnormal,stock_count,up_count,down_count,flat_count,limit_up_count,limit_up_max_height,one_word_limit_count,opened_limit_count,total_amount,limit_up_fd_amount_sum,market_sentiment_level,sh_main_stock_count,sh_main_limit_up_count,sh_main_limit_up_ratio,sh_main_market_sentiment_level,sz_main_stock_count,sz_main_limit_up_count,sz_main_limit_up_ratio,sz_main_market_sentiment_level,chi_next_stock_count,chi_next_limit_up_count,chi_next_limit_up_ratio,chi_next_market_sentiment_level,star_stock_count,star_limit_up_count,star_limit_up_ratio,star_market_sentiment_level,bj_stock_count,bj_limit_up_count,bj_limit_up_ratio,bj_market_sentiment_level,other_stock_count,other_limit_up_count,other_limit_up_ratio,other_market_sentiment_level,main_board_limit_up_count,growth_board_limit_up_count,limit_5cm_count,limit_10cm_count,limit_20cm_count,limit_30cm_count,segment_limit_up_count,segment_stock_count,segment_limit_up_ratio,segment_market_sentiment_level,limit_times_fill_model,limit_times_bucket,board_type_fill_model,first_time_bucket_fill_model,market_sentiment_level_fill_model,market_segment_fill_model,segment_market_sentiment_level_fill_model,matched_source,sample_count,is_sample_enough,suggested_turnover_rate,circ_mv_fill_model,current_queue_amount,planned_buy_amount,estimated_turnover_amount,available_fill_amount,fill_probability,position_scale,allow_buy,min_fill_probability,score_error,is_fill_score_reliable,allow_buy_reliable,next_trade_date,next_open,exit_trade_date,exit_close,gross_return,fee_rate,net_return,is_win,holding_days_rule,prev_pct_chg,prev2_pct_chg,two_day_pct_chg,prev_amount,prev_turnover_rate,amount_ratio_1d,turnover_ratio_1d,market_leader_rank,segment_market_leader_rank,limit_height_rank,segment_limit_height_rank,theme_heat_score,same_theme_limit_count,retreat_state,segment_retreat_state,market_emotion_state,market_emotion_score,market_limit_down_count,market_limit_down_ratio,market_chain_count,market_limit_max_height,segment_emotion_state,segment_emotion_score,segment_limit_down_count,segment_limit_down_ratio,segment_chain_count,segment_limit_max_height,segment_open_rate,first_time_minutes,theme_heat_bucket,same_theme_limit_count_bucket,theme_limit_count_bucket,theme_limit_height_bucket,theme_heat_rank_bucket,theme_leader_rank_bucket,theme_height_rank_bucket,theme_is_mainline_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,market_chain_count_bucket,segment_chain_count_bucket,market_limit_down_count_bucket,segment_limit_down_count_bucket,segment_limit_down_ratio_bucket,segment_limit_max_height_bucket,market_leader_rank_bucket,segment_market_leader_rank_bucket,limit_height_rank_bucket,segment_limit_height_rank_bucket,first_time_detail_bucket,limit_times_detail_bucket,open_times_bucket,amount_bucket,turnover_rate_bucket,volume_ratio_bucket,fd_ratio_bucket,pct_chg_bucket,prev_pct_chg_bucket,amount_ratio_bucket,limit_up_count_bucket,segment_limit_up_count_bucket,segment_limit_up_ratio_bucket,auction_strength_bucket,open_5m_strength_bucket,sector_moneyflow_bucket,top_list_net_buy_bucket,retreat_state_bucket,segment_retreat_state_bucket,d1_trade_date,d1_open,d1_high,d1_low,d1_close,d1_pre_close,d1_pct_chg,d2_trade_date,d2_open,d2_high,d2_low,d2_close,d2_pre_close,d2_pct_chg,d3_trade_date,d3_open,d3_high,d3_low,d3_close,d3_pre_close,d3_pct_chg,d4_trade_date,d4_open,d4_high,d4_low,d4_close,d4_pre_close,d4_pct_chg,d5_trade_date,d5_open,d5_high,d5_low,d5_close,d5_pre_close,d5_pct_chg,replay_rule,planned_position_pct,buy_executed,buy_reject_reason,buy_trade_date,buy_price_before_slippage,buy_price,buy_price_model,sell_executed,sell_reject_reason,exit_price_before_slippage,exit_price,exit_reason,sell_price_model,path_conflict,limit_down_blocked_days,daily_return,strict_account_return,strict_return_source
20240522,300500.SZ,启迪设计,11.46,20.0,32243661.0,103018,103018,0,U,,1,9.55,11.46,9.47,11.46,9.55,20.0,138271.57,150084.02,8.415,15.9233,1.28,16431.6105,8683.6105,199375.1999,188306.2563,False,chi_next,0.2,midday,one_word,False,20cm,0.0171229897686622,False,5343,3108,2021,214,39,4,21,18,834266654.7260001,2350411136.0,weak,1691,15,0.0088704908338261,weak,1493,14,0.0093770931011386,weak,1338,9,0.0067264573991031,weak,572,1,0.0017482517482517,weak,248,0,0.0,weak,1,0,0.0,weak,29,10,0,29,10,0,9,1338,0.0067264573991031,weak,1,1,one_word,midday,weak,chi_next,weak,exact,1336,True,12.16225,188306.2563,32243661.0,100000.0,229022776.56846753,196779115.56846753,1.0,1.0,True,0.6,,True,True,20240523,12.48,20240524,13.68,0.096153846153846,0.00362,0.09234372857911329,True,T+1_open_buy_T+2_close_sell,-5.8185,-5.5866,-11.405100000000001,78579.078,4.9857,1.9099743063923453,1.6878271857512486,18,5,3.0,2.0,,,neutral,neutral,mixed,5.04008983717013,4,0.0007486430844095,6,4,mixed,2.772645739910314,0,0.0,1,2,0.5555555555555556,630,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,3_8,lt_1,lt_5,lt_1,lt_0_1pct,2,rank_11_30,rank_4_10,rank_2_3,rank_2_3,1000_1100,1,0,1e8_3e8,6_10,1_2,1pct_2pct,19_5_20_5,lt_neg3,1_2_2,30_50,5_10,0_5pct_1pct,unknown,unknown,unknown,unknown,neutral,neutral,20240523,12.48,13.49,12.0,13.3,11.46,16.0558,20240524,12.92,14.58,12.52,13.68,13.3,2.8571,20240527,13.05,13.61,12.27,12.61,13.68,-7.8216,20240528,12.84,13.6,11.77,13.5,12.61,7.0579,20240529,12.4,13.44,12.4,12.95,13.5,-4.0741,fixed_t2_close,0.8,True,,20240523,12.48,12.492479999999999,daily_open_plus_slippage_no_l2,True,,13.68,13.666319999999999,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.07387498286329063,0.07387498286329063,c_conservative_daily_replay_fixed_t2_close
20240523,002669.SZ,康达新材,10.25,9.98,39642182.0,93654,94442,3,U,,1,9.34,10.25,9.2,10.25,9.32,9.9785,225055.44,228354.513,7.4055,10.0449,3.95,30390.1323,22404.9602,313038.0473,311498.8561,False,sz_main,0.1,early_morning,multi_open,False,10cm,0.0127262688846837,False,5343,736,4578,29,27,4,12,15,855915356.517,1205037096.0,weak,1691,6,0.0035481963335304,weak,1493,12,0.0080375083724045,weak,1338,6,0.0044843049327354,weak,572,1,0.0017482517482517,weak,248,2,0.0080645161290322,weak,1,0,0.0,weak,18,7,0,18,7,2,12,1493,0.0080375083724045,weak,1,1,multi_open,early_morning,weak,sz_main,weak,exact,269,True,7.1166,311498.8561,39642182.0,100000.0,221681275.93212596,182039093.93212596,1.0,1.0,True,0.6,,True,True,20240524,10.55,20240527,9.95,-0.056872037914692,0.00362,-0.060376409467309974,False,T+1_open_buy_T+2_close_sell,1.7467,-2.5532,-0.8065,35563.143,1.263,6.421100435358034,5.863420427553445,11,6,4.0,4.0,,,weak_below_30,neutral,mixed,5.348119034250422,7,0.0013101253977166,9,4,mixed,6.1822505023442735,4,0.0026791694574681,5,4,0.5833333333333334,576,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,8_15,3_5,5_15,3_8,0_1pct_0_3pct,4_5,rank_11_30,rank_4_10,rank_4_10,rank_4_10,before_1000,1,2_3,1e8_3e8,6_10,2_4,1pct_2pct,9_5_10_5,0_3,gte_5,lt_30,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,neutral,20240524,10.55,11.11,10.3,10.3,10.25,0.4878,20240527,10.1,10.13,9.54,9.95,10.3,-3.3981,20240528,9.9,10.3,9.63,9.75,9.95,-2.0101,20240529,9.62,10.2,9.62,10.11,9.68,4.4421,20240530,9.85,9.99,9.65,9.8,10.11,-3.0663,fixed_t2_close,0.8,True,,20240524,10.55,10.56055,daily_open_plus_slippage_no_l2,True,,9.95,9.94005,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.04830112757384798,-0.04830112757384798,c_conservative_daily_replay_fixed_t2_close
20240524,300882.SZ,万胜智能,26.63,20.01,50904576.0,105327,105327,0,U,,1,22.32,26.63,22.28,26.63,22.19,20.009,172433.62,433760.763,9.0643,29.933,5.84,19023.3592,5760.6445,544395.5455,506592.0555,False,chi_next,0.2,midday,one_word,False,20cm,0.0100484355108486,False,5343,1313,3852,178,38,5,18,20,769227662.741,1823046429.0,weak,1691,13,0.0076877587226493,weak,1493,15,0.0100468854655056,neutral,1338,8,0.0059790732436472,weak,572,1,0.0017482517482517,weak,248,1,0.0040322580645161,weak,1,0,0.0,weak,28,9,0,28,9,1,8,1338,0.0059790732436472,weak,1,1,one_word,midday,weak,chi_next,weak,exact,1336,True,12.16225,506592.0555,50904576.0,100000.0,616129922.7004875,565225346.7004875,1.0,1.0,True,0.6,,True,True,20240527,19.63,20240528,19.62,-0.0005094243504838,0.00362,-0.0041264085176157435,False,T+1_open_buy_T+2_close_sell,-2.7181,0.8846,-1.8335000000000001,64456.706,1.5196,6.729490070435805,5.964924980257962,25,5,4.0,2.0,,,neutral,neutral,mixed,5.5967808347370385,14,0.0026202507954332,6,5,mixed,2.6979073243647234,0,0.0,1,2,0.25,653,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,3_8,lt_1,5_15,lt_1,lt_0_1pct,2,rank_11_30,rank_4_10,rank_4_10,rank_2_3,1000_1100,1,0,3e8_8e8,6_10,4_8,1pct_2pct,19_5_20_5,neg3_0,gte_5,30_50,5_10,0_5pct_1pct,unknown,unknown,unknown,unknown,neutral,neutral,20240527,19.63,20.36,18.22,18.56,18.59,-0.1614,20240528,17.91,20.0,17.91,19.62,18.56,5.7112,20240529,18.75,18.96,18.23,18.48,19.62,-5.8104,20240530,18.84,18.99,17.55,17.78,18.48,-3.7879,20240531,17.5,18.08,17.02,17.99,17.78,1.1811,fixed_t2_close,0.8,True,,20240527,19.63,19.64963,daily_open_plus_slippage_no_l2,True,,19.62,19.60038,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.003301126814092595,-0.003301126814092595,c_conservative_daily_replay_fixed_t2_close
20240529,603778.SH,国晟科技,3.82,10.09,3966688.0,93313,144755,2,U,,1,3.43,3.82,3.43,3.82,3.47,10.0865,642140.5,242700.239,9.9889,13.7356,1.68,64285.7142,46750.0835,245571.4282,245571.4282,False,sh_main,0.1,early_morning,multi_open,False,10cm,0.001615288891332,False,5341,2754,2312,275,30,4,12,18,711809572.0270001,1072749397.0,weak,1690,12,0.0071005917159763,weak,1493,13,0.0087073007367716,weak,1337,5,0.0037397157816005,weak,572,0,0.0,weak,248,0,0.0,weak,1,0,0.0,weak,25,5,0,25,5,0,12,1690,0.0071005917159763,weak,1,1,multi_open,early_morning,weak,sh_main,weak,exact,457,True,5.3554,245571.4282,3966688.0,100000.0,131513322.658228,127546634.658228,1.0,1.0,True,0.6,,True,True,20240530,3.92,20240531,3.63,-0.0739795918367347,0.00362,-0.07744978246243532,False,T+1_open_buy_T+2_close_sell,-1.4205,-3.8251,-5.2456,62292.543,2.8012,3.896136316027426,3.565936027416821,9,5,4.0,4.0,,,neutral,retreat_2day,mixed,4.514547837483617,11,0.0020595394120951,5,4,retreat,5.055029585798817,5,0.0029585798816568,3,4,0.6666666666666666,573,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,retreat,3_8,1_3,5_15,3_8,0_1pct_0_3pct,4_5,rank_4_10,rank_4_10,rank_4_10,rank_4_10,before_1000,1,2_3,1e8_3e8,6_10,1_2,0_1pct_0_3pct,9_5_10_5,neg3_0,3_5,lt_30,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,neutral,retreat_2day,20240530,3.92,4.0,3.7,3.72,3.82,-2.6178,20240531,3.71,3.79,3.58,3.63,3.72,-2.4194,20240603,3.6,3.75,3.53,3.71,3.63,2.2039,20240604,3.7,3.96,3.55,3.85,3.71,3.7736,20240605,3.74,3.81,3.64,3.67,3.85,-4.6753,fixed_t2_close,0.8,True,,20240530,3.92,3.9239199999999994,daily_open_plus_slippage_no_l2,True,,3.63,3.62637,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.06195982596994826,-0.06195982596994826,c_conservative_daily_replay_fixed_t2_close
20240530,600992.SH,贵绳股份,13.52,10.01,69178432.0,100920,100920,0,U,,1,12.8,13.52,12.65,13.52,12.29,10.0081,160330.51,213183.011,6.5417,8.5464,3.08,24509.0,18760.0182,331361.68,331361.68,False,sh_main,0.1,midday,one_word,False,10cm,0.020877016316431,False,5342,1674,3517,151,29,3,18,11,726817318.7019999,1458274756.0,weak,1690,11,0.0065088757396449,weak,1492,13,0.0087131367292225,weak,1338,5,0.0037369207772795,weak,572,0,0.0,weak,249,0,0.0,weak,1,0,0.0,weak,24,5,0,24,5,0,11,1690,0.0065088757396449,weak,1,1,one_word,midday,weak,sh_main,weak,exact,796,True,2.7651000000000003,331361.68,69178432.0,100000.0,91624818.1368,22446386.13680001,1.0,1.0,True,0.6,,True,True,20240531,14.86,,15.25,0.0262449528936743,0.00362,0.0,False,T+1_open_buy_T+2_close_sell,0.3265,-1.5273,-1.2008,24913.862,0.8247,8.556803076134884,7.9322177761610275,15,6,3.0,3.0,,,weak_below_30,retreat_2day,mixed,3.828378884312992,14,0.0026207412953949,6,3,retreat,4.0538461538461545,7,0.0041420118343195,3,3,0.3636363636363636,609,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,retreat,3_8,1_3,5_15,3_8,0_3pct_0_8pct,3,rank_11_30,rank_4_10,rank_2_3,rank_2_3,1000_1100,1,0,1e8_3e8,6_10,2_4,2pct_5pct,9_5_10_5,0_3,gte_5,lt_30,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,retreat_2day,20240531,14.86,14.87,14.6,14.87,13.52,9.9852,20240603,14.69,16.34,14.31,15.25,14.87,2.5555,20240604,14.8,15.67,14.79,14.97,15.25,-1.8361,20240605,14.9,15.09,14.14,14.29,14.97,-4.5424,20240606,14.2,14.47,13.33,13.65,14.29,-4.4787,fixed_t2_close,0.8,False,open_limit_up_unbuyable,20240531,14.86,,daily_open_limit_up_queue_rejected,False,,,,no_buy,,False,0,0.0,0.0,c_conservative_daily_replay_fixed_t2_close
20240531,601929.SH,吉视传媒,1.11,9.9,19936449.0,134933,134933,0,U,,1,0.98,1.11,0.98,1.11,1.01,9.901,2252349.97,236529.166,6.4541,9.3589,1.49,348978.8168,240665.0804,387366.4866,387366.4866,False,sh_main,0.1,midday,one_word,False,10cm,0.0051466633510261,False,5341,3267,1826,248,29,4,15,14,717853303.4790001,1250051706.0,weak,1689,10,0.0059206631142687,weak,1492,10,0.0067024128686327,weak,1338,9,0.0067264573991031,weak,572,0,0.0,weak,249,0,0.0,weak,1,0,0.0,weak,20,9,1,19,9,0,10,1689,0.0059206631142687,weak,1,1,one_word,midday,weak,sh_main,weak,exact,796,True,2.7651000000000003,387366.4866,19936449.0,100000.0,107110707.209766,87174258.209766,1.0,1.0,True,0.6,,True,True,20240603,1.09,20240604,1.07,-0.018348623853211,0.00362,-0.021929965264093455,False,T+1_open_buy_T+2_close_sell,-2.8846,-10.3448,-13.229399999999998,310902.207,9.0903,0.760783168065449,0.7099985699041836,25,9,3.0,3.0,,,weak_below_30,retreat_2day,mixed,4.808163265306123,6,0.00112338513387,6,4,retreat,5.649970396684429,2,0.0011841326228537,4,4,0.5,829,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,retreat,3_8,3_5,5_15,1_3,0_1pct_0_3pct,4_5,rank_11_30,rank_4_10,rank_2_3,rank_2_3,1330_1430,1,0,1e8_3e8,6_10,1_2,0_5pct_1pct,9_5_10_5,neg3_0,lt_0_8,lt_30,5_10,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,retreat_2day,20240603,1.09,1.13,1.01,1.04,1.11,-6.3063,20240604,1.03,1.08,1.01,1.07,1.04,2.8846,20240605,1.12,1.18,1.1,1.15,1.07,7.4766,20240606,1.1,1.15,1.04,1.04,1.15,-9.5652,20240607,1.14,1.14,1.08,1.14,1.04,9.6154,fixed_t2_close,0.8,True,,20240603,1.09,1.09109,daily_open_plus_slippage_no_l2,True,,1.07,1.0689300000000002,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.017543972211274763,-0.017543972211274763,c_conservative_daily_replay_fixed_t2_close
20240604,300270.SZ,中威电子,6.83,20.04,46883169.0,93030,93030,0,U,,1,5.99,6.83,5.99,6.83,5.69,20.0351,206858.04,139516.889,8.5269,12.1735,2.94,24259.4546,16992.5558,206816.5171,165692.0749,False,chi_next,0.2,open_limit,one_word,False,20cm,0.0282953599490472,False,5340,2077,3128,135,33,4,19,14,748900292.637,1540203251.0,weak,1687,17,0.0100770598695909,neutral,1493,8,0.0053583389149363,weak,1338,8,0.0059790732436472,weak,572,0,0.0,weak,249,0,0.0,weak,1,0,0.0,weak,25,8,0,25,8,0,8,1338,0.0059790732436472,weak,1,1,one_word,open_limit,weak,chi_next,weak,exact,209,True,3.2672,165692.0749,46883169.0,100000.0,54134914.711328,7251745.711328,1.0,1.0,True,0.6,,True,True,20240605,7.88,20240606,5.96,-0.2436548223350253,0.00362,-0.24678600151117908,False,T+1_open_buy_T+2_close_sell,-2.2337,4.4883,2.2546,58689.146,4.1696,2.3772179101055584,2.0450163085188025,4,3,2.0,2.0,,,neutral,neutral,mixed,4.346067415730337,21,0.0039325842696629,5,4,mixed,2.749476831091181,5,0.0037369207772795,2,2,0.5,570,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,3_8,1_3,15_30,3_8,0_3pct_0_8pct,2,rank_4_10,rank_2_3,rank_2_3,rank_2_3,open_auction,1,0,1e8_3e8,6_10,2_4,2pct_5pct,19_5_20_5,neg3_0,2_3,30_50,5_10,0_5pct_1pct,unknown,unknown,unknown,unknown,neutral,neutral,20240605,7.88,8.2,7.12,7.3,6.83,6.8814,20240606,6.57,6.89,5.96,5.96,7.3,-18.3562,20240607,5.93,6.22,5.63,5.71,5.96,-4.1946,20240611,5.87,6.2,5.87,5.94,5.71,4.028,20240612,5.84,6.18,5.7,6.12,5.94,3.0303,fixed_t2_close,0.8,True,,20240605,7.88,7.887879999999999,daily_open_plus_slippage_no_l2,True,,5.96,5.95404,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.19742880120894327,-0.19742880120894327,c_conservative_daily_replay_fixed_t2_close
20240605,000519.SZ,中兵红箭,14.96,10.0,154550264.0,101457,101457,0,U,,1,13.77,14.96,13.74,14.96,13.6,10.0,1023142.28,1498027.549,7.3472,12.7419,4.03,139255.8982,80297.7002,2083268.2371,2083268.2371,False,sz_main,0.1,midday,one_word,False,10cm,0.0074186444763896,False,5345,674,4606,65,19,3,11,8,691542698.2609999,941738277.0,weak,1692,6,0.0035460992907801,weak,1492,9,0.0060321715817694,weak,1339,3,0.0022404779686333,weak,572,1,0.0017482517482517,weak,249,0,0.0,weak,1,0,0.0,weak,15,4,0,15,4,0,9,1492,0.0060321715817694,weak,1,1,one_word,midday,weak,sz_main,weak,exact,593,True,4.011,2083268.2371,154550264.0,100000.0,835598889.9008101,681048625.9008101,1.0,1.0,True,0.6,,True,True,20240606,15.0,20240607,15.14,0.0093333333333334,0.00362,0.005696683316683337,True,T+1_open_buy_T+2_close_sell,0.8154,0.6716,1.487,288895.916,1.5453,5.185353845569765,4.7545460428395785,13,7,3.0,2.0,,,weak_below_30,warming_2day,ice_point,3.353414405986904,9,0.0016838166510757,4,3,warming,3.461930294906166,3,0.0020107238605898,3,2,0.4444444444444444,614,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,ice_point,warming,3_8,1_3,5_15,1_3,0_1pct_0_3pct,2,rank_11_30,rank_4_10,rank_2_3,rank_2_3,1000_1100,1,0,8e8_15e8,6_10,4_8,0_5pct_1pct,9_5_10_5,0_3,gte_5,lt_30,5_10,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,warming_2day,20240606,15.0,15.14,14.4,14.49,14.96,-3.1417,20240607,14.47,15.44,14.28,15.14,14.49,4.4859,20240611,15.05,15.78,14.81,15.68,15.14,3.5667,20240612,15.35,15.99,15.25,15.53,15.68,-0.9566,20240613,15.29,15.6,15.06,15.23,15.53,-1.9317,fixed_t2_close,0.8,True,,20240606,15.0,15.014999999999999,daily_open_plus_slippage_no_l2,True,,15.14,15.12486,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.00455734665334667,0.00455734665334667,c_conservative_daily_replay_fixed_t2_close
20240606,603132.SH,金徽股份,14.49,10.02,47046682.0,132902,132902,0,U,,1,13.37,14.49,13.2,14.49,13.17,10.0228,112159.83,156903.043,7.0276,11.4449,2.96,15960.0,9800.0,1417122.0,231260.4,False,sh_main,0.1,midday,one_word,False,10cm,0.020343596223132,False,5347,509,4809,29,22,4,13,9,849209743.542,1245021581.0,weak,1692,11,0.0065011820330969,weak,1494,5,0.00334672021419,weak,1339,6,0.0044809559372666,weak,572,0,0.0,weak,249,0,0.0,weak,1,0,0.0,weak,16,6,0,16,6,0,11,1692,0.0065011820330969,weak,1,1,one_word,midday,weak,sh_main,weak,exact,796,True,2.7651000000000003,231260.4,47046682.0,100000.0,63945813.204,16899131.204000004,1.0,1.0,True,0.6,,True,True,20240607,14.9,20240611,13.48,-0.0953020134228187,0.00362,-0.09872960180758832,False,T+1_open_buy_T+2_close_sell,-1.936,0.4488,-1.4872,30548.694,1.4411,5.136162056551419,4.876552633405037,17,9,2.0,1.0,,,weak_below_30,neutral,ice_point,2.7507013278473917,74,0.0138395361885169,4,4,ice_point,2.0806146572104023,32,0.0189125295508274,1,4,0.4545454545454545,809,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,ice_point,ice_point,3_8,lt_1,gte_60,gte_15,gte_1_5pct,4_5,rank_11_30,rank_4_10,rank_2_3,rank_1,1100_1330,1,0,1e8_3e8,6_10,2_4,2pct_5pct,9_5_10_5,neg3_0,gte_5,lt_30,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,neutral,20240607,14.9,14.98,13.9,14.23,14.49,-1.7943,20240611,13.75,13.92,13.18,13.48,14.23,-5.2706,20240612,13.29,13.75,13.03,13.64,13.48,1.1869,20240613,13.6,13.64,12.94,13.06,13.64,-4.2522,20240614,12.86,13.23,12.78,13.15,13.06,0.6891,fixed_t2_close,0.8,True,,20240607,14.9,14.9149,daily_open_plus_slippage_no_l2,True,,13.48,13.466520000000001,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.07898368144607065,-0.07898368144607065,c_conservative_daily_replay_fixed_t2_close
20240611,603383.SH,顶点软件,37.4,10.0,18773304.0,102141,140856,2,U,,1,33.7,37.4,33.7,37.4,34.0,10.0,127447.9,466746.042,6.2594,10.8415,3.05,20360.9059,11755.6082,768332.2071,761497.8807,False,sh_main,0.1,midday,multi_open,False,10cm,0.002465312704842,False,5344,3044,2137,163,27,6,15,12,705307997.8510001,1685223748.0,weak,1693,12,0.0070880094506792,weak,1490,8,0.0053691275167785,weak,1339,6,0.0044809559372666,weak,572,1,0.0017482517482517,weak,249,0,0.0,weak,1,0,0.0,weak,20,7,0,20,7,0,12,1693,0.0070880094506792,weak,1,1,multi_open,midday,weak,sh_main,weak,exact,612,True,4.6078,761497.8807,18773304.0,100000.0,350882993.468946,332109689.468946,1.0,1.0,True,0.6,,True,True,20240612,38.29,20240613,36.5,-0.0467484983024287,0.00362,-0.05027309670741879,False,T+1_open_buy_T+2_close_sell,1.7964,1.8914,3.6878,126939.122,1.8317,3.676928236513248,3.417262652181034,14,7,4.0,3.0,,,weak_below_30,neutral,mixed,6.325598802395211,8,0.0014970059880239,6,6,mixed,6.225280567040756,4,0.002362669816893,2,6,0.5833333333333334,621,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,3_8,1_3,5_15,3_8,0_1pct_0_3pct,gte_6,rank_11_30,rank_4_10,rank_4_10,rank_2_3,1000_1100,1,2_3,3e8_8e8,6_10,2_4,0_1pct_0_3pct,9_5_10_5,0_3,3_5,lt_30,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,neutral,20240612,38.29,38.58,36.4,36.55,37.4,-2.2727,20240613,36.48,37.0,36.03,36.5,36.55,-0.1368,20240614,36.15,37.8,35.6,37.6,36.5,3.0137,20240617,36.9,37.08,35.6,36.59,37.6,-2.6862,20240618,36.21,37.48,36.03,37.48,36.59,2.4324,fixed_t2_close,0.8,True,,20240612,38.29,38.328289999999996,daily_open_plus_slippage_no_l2,True,,36.5,36.4635,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.040218477365935035,-0.040218477365935035,c_conservative_daily_replay_fixed_t2_close
