trade_date,ts_code,name,limit_close,limit_pct_chg,fd_amount,first_time,last_time,open_times,limit,limit_amount,limit_times,open,high,low,close,pre_close,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,float_share,free_share,total_mv,circ_mv,is_low_amount,market_segment,limit_pct,first_time_bucket,board_type,is_st,limit_pct_bucket,fd_amount_to_circ_mv,is_fd_amount_abnormal,stock_count,up_count,down_count,flat_count,limit_up_count,limit_up_max_height,one_word_limit_count,opened_limit_count,total_amount,limit_up_fd_amount_sum,market_sentiment_level,sh_main_stock_count,sh_main_limit_up_count,sh_main_limit_up_ratio,sh_main_market_sentiment_level,sz_main_stock_count,sz_main_limit_up_count,sz_main_limit_up_ratio,sz_main_market_sentiment_level,chi_next_stock_count,chi_next_limit_up_count,chi_next_limit_up_ratio,chi_next_market_sentiment_level,star_stock_count,star_limit_up_count,star_limit_up_ratio,star_market_sentiment_level,bj_stock_count,bj_limit_up_count,bj_limit_up_ratio,bj_market_sentiment_level,other_stock_count,other_limit_up_count,other_limit_up_ratio,other_market_sentiment_level,main_board_limit_up_count,growth_board_limit_up_count,limit_5cm_count,limit_10cm_count,limit_20cm_count,limit_30cm_count,segment_limit_up_count,segment_stock_count,segment_limit_up_ratio,segment_market_sentiment_level,limit_times_fill_model,limit_times_bucket,board_type_fill_model,first_time_bucket_fill_model,market_sentiment_level_fill_model,market_segment_fill_model,segment_market_sentiment_level_fill_model,matched_source,sample_count,is_sample_enough,suggested_turnover_rate,circ_mv_fill_model,current_queue_amount,planned_buy_amount,estimated_turnover_amount,available_fill_amount,fill_probability,position_scale,allow_buy,min_fill_probability,score_error,is_fill_score_reliable,allow_buy_reliable,next_trade_date,next_open,exit_trade_date,exit_close,gross_return,fee_rate,net_return,is_win,holding_days_rule,prev_pct_chg,prev2_pct_chg,two_day_pct_chg,prev_amount,prev_turnover_rate,amount_ratio_1d,turnover_ratio_1d,market_leader_rank,segment_market_leader_rank,limit_height_rank,segment_limit_height_rank,theme_heat_score,same_theme_limit_count,retreat_state,segment_retreat_state,market_emotion_state,market_emotion_score,market_limit_down_count,market_limit_down_ratio,market_chain_count,market_limit_max_height,segment_emotion_state,segment_emotion_score,segment_limit_down_count,segment_limit_down_ratio,segment_chain_count,segment_limit_max_height,segment_open_rate,first_time_minutes,theme_heat_bucket,same_theme_limit_count_bucket,theme_limit_count_bucket,theme_limit_height_bucket,theme_heat_rank_bucket,theme_leader_rank_bucket,theme_height_rank_bucket,theme_is_mainline_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,market_chain_count_bucket,segment_chain_count_bucket,market_limit_down_count_bucket,segment_limit_down_count_bucket,segment_limit_down_ratio_bucket,segment_limit_max_height_bucket,market_leader_rank_bucket,segment_market_leader_rank_bucket,limit_height_rank_bucket,segment_limit_height_rank_bucket,first_time_detail_bucket,limit_times_detail_bucket,open_times_bucket,amount_bucket,turnover_rate_bucket,volume_ratio_bucket,fd_ratio_bucket,pct_chg_bucket,prev_pct_chg_bucket,amount_ratio_bucket,limit_up_count_bucket,segment_limit_up_count_bucket,segment_limit_up_ratio_bucket,auction_strength_bucket,open_5m_strength_bucket,sector_moneyflow_bucket,top_list_net_buy_bucket,retreat_state_bucket,segment_retreat_state_bucket,d1_trade_date,d1_open,d1_high,d1_low,d1_close,d1_pre_close,d1_pct_chg,d2_trade_date,d2_open,d2_high,d2_low,d2_close,d2_pre_close,d2_pct_chg,d3_trade_date,d3_open,d3_high,d3_low,d3_close,d3_pre_close,d3_pct_chg,d4_trade_date,d4_open,d4_high,d4_low,d4_close,d4_pre_close,d4_pct_chg,d5_trade_date,d5_open,d5_high,d5_low,d5_close,d5_pre_close,d5_pct_chg,replay_rule,planned_position_pct,buy_executed,buy_reject_reason,buy_trade_date,buy_price_before_slippage,buy_price,buy_price_model,sell_executed,sell_reject_reason,exit_price_before_slippage,exit_price,exit_reason,sell_price_model,path_conflict,limit_down_blocked_days,daily_return,strict_account_return,strict_return_source
20240523,002886.SZ,沃特股份,16.41,9.99,77209640.0,93045,93351,3,U,,1,15.2,16.41,15.2,16.41,14.92,9.9866,194652.79,318123.437,9.3405,12.7173,2.39,20839.5664,15306.1912,431917.0502,341977.2846,False,sz_main,0.1,open_limit,multi_open,False,10cm,0.0225774177048951,False,5343,736,4578,29,27,4,12,15,855915356.517,1205037096.0,weak,1691,6,0.0035481963335304,weak,1493,12,0.0080375083724045,weak,1338,6,0.0044843049327354,weak,572,1,0.0017482517482517,weak,248,2,0.0080645161290322,weak,1,0,0.0,weak,18,7,0,18,7,2,12,1493,0.0080375083724045,weak,1,1,multi_open,open_limit,weak,sz_main,weak,exact,72,True,5.8416,341977.2846,77209640.0,100000.0,199769450.571936,122559810.571936,1.0,1.0,True,0.6,,True,True,20240524,18.05,,16.35,-0.0941828254847645,0.00362,0.0,False,T+1_open_buy_T+2_close_sell,-0.067,-3.6774,-3.7444,73017.998,2.3622,4.356781145930623,3.954152908305817,9,5,4.0,4.0,,,weak_below_30,neutral,mixed,5.348119034250422,7,0.0013101253977166,9,4,mixed,6.1822505023442735,4,0.0026791694574681,5,4,0.5833333333333334,570,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,8_15,3_5,5_15,3_8,0_1pct_0_3pct,4_5,rank_4_10,rank_4_10,rank_4_10,rank_4_10,open_auction,1,2_3,3e8_8e8,6_10,2_4,2pct_5pct,9_5_10_5,neg3_0,3_5,lt_30,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,neutral,20240524,18.05,18.05,17.5,18.05,16.41,9.9939,20240527,17.6,17.6,16.25,16.35,18.05,-9.4183,20240528,15.63,17.1,15.56,17.05,16.35,4.2813,20240529,16.54,17.99,16.42,17.0,17.05,-0.2933,20240530,16.64,17.06,16.24,16.25,16.99,-4.3555,fixed_t2_close,0.8,False,open_limit_up_unbuyable,20240524,18.05,,daily_open_limit_up_queue_rejected,False,,,,no_buy,,False,0,0.0,0.0,c_conservative_daily_replay_fixed_t2_close
20240524,600149.SH,廊坊发展,4.33,9.9,16765976.0,93106,102459,3,U,,1,3.93,4.33,3.93,4.33,3.94,9.8985,321493.63,138312.501,8.4568,13.0713,3.7,38016.0,24595.425,164609.28,164609.28,False,sh_main,0.1,early_morning,multi_open,False,10cm,0.0101853164050046,False,5343,1313,3852,178,38,5,18,20,769227662.741,1823046429.0,weak,1691,13,0.0076877587226493,weak,1493,15,0.0100468854655056,neutral,1338,8,0.0059790732436472,weak,572,1,0.0017482517482517,weak,248,1,0.0040322580645161,weak,1,0,0.0,weak,28,9,0,28,9,1,13,1691,0.0076877587226493,weak,1,1,multi_open,early_morning,weak,sh_main,weak,exact,457,True,5.3554,164609.28,16765976.0,100000.0,88154853.81120001,71388877.81120001,1.0,1.0,True,0.6,,True,True,20240527,4.3,20240528,4.43,0.0302325581395348,0.00362,0.026554151429965377,True,T+1_open_buy_T+2_close_sell,-3.4314,0.9901,-2.4413,32089.449,2.1208,4.310217386406354,3.9875518672199166,10,2,4.0,1.0,,,neutral,neutral,mixed,5.5967808347370385,14,0.0026202507954332,6,5,mixed,1.0720283855706685,7,0.0041395623891188,0,1,0.5384615384615384,571,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,3_8,lt_1,5_15,3_8,0_3pct_0_8pct,1,rank_4_10,rank_2_3,rank_4_10,rank_1,before_1000,1,2_3,1e8_3e8,6_10,2_4,1pct_2pct,9_5_10_5,lt_neg3,3_5,30_50,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,neutral,neutral,20240527,4.3,4.7,4.19,4.4,4.33,1.6166,20240528,4.35,4.49,4.2,4.43,4.4,0.6818,20240529,4.35,4.35,4.11,4.25,4.43,-4.0632,20240530,4.26,4.28,3.96,3.99,4.25,-6.1176,20240531,3.96,3.97,3.76,3.85,3.99,-3.5088,fixed_t2_close,0.8,True,,20240527,4.3,4.3043,daily_open_plus_slippage_no_l2,True,,4.43,4.42557,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.021243321143972302,0.021243321143972302,c_conservative_daily_replay_fixed_t2_close
20240604,300270.SZ,中威电子,6.83,20.04,46883169.0,93030,93030,0,U,,1,5.99,6.83,5.99,6.83,5.69,20.0351,206858.04,139516.889,8.5269,12.1735,2.94,24259.4546,16992.5558,206816.5171,165692.0749,False,chi_next,0.2,open_limit,one_word,False,20cm,0.0282953599490472,False,5340,2077,3128,135,33,4,19,14,748900292.637,1540203251.0,weak,1687,17,0.0100770598695909,neutral,1493,8,0.0053583389149363,weak,1338,8,0.0059790732436472,weak,572,0,0.0,weak,249,0,0.0,weak,1,0,0.0,weak,25,8,0,25,8,0,8,1338,0.0059790732436472,weak,1,1,one_word,open_limit,weak,chi_next,weak,exact,209,True,3.2672,165692.0749,46883169.0,100000.0,54134914.711328,7251745.711328,1.0,1.0,True,0.6,,True,True,20240605,7.88,20240606,5.96,-0.2436548223350253,0.00362,-0.24678600151117908,False,T+1_open_buy_T+2_close_sell,-2.2337,4.4883,2.2546,58689.146,4.1696,2.3772179101055584,2.0450163085188025,4,3,2.0,2.0,,,neutral,neutral,mixed,4.346067415730337,21,0.0039325842696629,5,4,mixed,2.749476831091181,5,0.0037369207772795,2,2,0.5,570,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,3_8,1_3,15_30,3_8,0_3pct_0_8pct,2,rank_4_10,rank_2_3,rank_2_3,rank_2_3,open_auction,1,0,1e8_3e8,6_10,2_4,2pct_5pct,19_5_20_5,neg3_0,2_3,30_50,5_10,0_5pct_1pct,unknown,unknown,unknown,unknown,neutral,neutral,20240605,7.88,8.2,7.12,7.3,6.83,6.8814,20240606,6.57,6.89,5.96,5.96,7.3,-18.3562,20240607,5.93,6.22,5.63,5.71,5.96,-4.1946,20240611,5.87,6.2,5.87,5.94,5.71,4.028,20240612,5.84,6.18,5.7,6.12,5.94,3.0303,fixed_t2_close,0.8,True,,20240605,7.88,7.887879999999999,daily_open_plus_slippage_no_l2,True,,5.96,5.95404,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.19742880120894327,-0.19742880120894327,c_conservative_daily_replay_fixed_t2_close
20240605,002377.SZ,国创高新,2.04,10.27,2263788.0,95118,144939,3,U,,1,1.85,2.04,1.82,2.04,1.85,10.2703,607065.0,121191.247,6.6681,9.273,3.24,91039.9242,65466.0465,186930.341,185721.4454,False,sz_main,0.1,early_morning,multi_open,False,10cm,0.0012189157774021,False,5345,674,4606,65,19,3,11,8,691542698.2609999,941738277.0,weak,1692,6,0.0035460992907801,weak,1492,9,0.0060321715817694,weak,1339,3,0.0022404779686333,weak,572,1,0.0017482517482517,weak,249,0,0.0,weak,1,0,0.0,weak,15,4,0,15,4,0,9,1492,0.0060321715817694,weak,1,1,multi_open,early_morning,weak,sz_main,weak,exact,269,True,7.1166,185721.4454,2263788.0,100000.0,132170523.833364,129906735.833364,1.0,1.0,True,0.6,,True,True,20240606,2.02,20240607,1.87,-0.0742574257425742,0.00362,-0.07772706125557609,False,T+1_open_buy_T+2_close_sell,-7.9602,-2.4272,-10.3874,77677.555,4.5551,1.5601835948621197,1.4638756558582686,11,6,3.0,2.0,,,weak_below_30,warming_2day,ice_point,3.353414405986904,9,0.0016838166510757,4,3,warming,3.461930294906166,3,0.0020107238605898,3,2,0.4444444444444444,591,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,ice_point,warming,3_8,1_3,5_15,1_3,0_1pct_0_3pct,2,rank_11_30,rank_4_10,rank_2_3,rank_2_3,before_1000,1,2_3,1e8_3e8,6_10,2_4,0_1pct_0_3pct,9_5_10_5,lt_neg3,1_2_2,lt_30,5_10,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,warming_2day,20240606,2.02,2.04,1.84,1.86,2.04,-8.8235,20240607,1.91,1.98,1.85,1.87,1.86,0.5376,20240611,1.86,1.92,1.76,1.89,1.87,1.0695,20240612,1.9,2.0,1.87,1.98,1.89,4.7619,20240613,1.97,1.97,1.91,1.92,1.98,-3.0303,fixed_t2_close,0.8,True,,20240606,2.02,2.02202,daily_open_plus_slippage_no_l2,True,,1.87,1.86813,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.062181649004460875,-0.062181649004460875,c_conservative_daily_replay_fixed_t2_close
20240611,603383.SH,顶点软件,37.4,10.0,18773304.0,102141,140856,2,U,,1,33.7,37.4,33.7,37.4,34.0,10.0,127447.9,466746.042,6.2594,10.8415,3.05,20360.9059,11755.6082,768332.2071,761497.8807,False,sh_main,0.1,midday,multi_open,False,10cm,0.002465312704842,False,5344,3044,2137,163,27,6,15,12,705307997.8510001,1685223748.0,weak,1693,12,0.0070880094506792,weak,1490,8,0.0053691275167785,weak,1339,6,0.0044809559372666,weak,572,1,0.0017482517482517,weak,249,0,0.0,weak,1,0,0.0,weak,20,7,0,20,7,0,12,1693,0.0070880094506792,weak,1,1,multi_open,midday,weak,sh_main,weak,exact,612,True,4.6078,761497.8807,18773304.0,100000.0,350882993.468946,332109689.468946,1.0,1.0,True,0.6,,True,True,20240612,38.29,20240613,36.5,-0.0467484983024287,0.00362,-0.05027309670741879,False,T+1_open_buy_T+2_close_sell,1.7964,1.8914,3.6878,126939.122,1.8317,3.676928236513248,3.417262652181034,14,7,4.0,3.0,,,weak_below_30,neutral,mixed,6.325598802395211,8,0.0014970059880239,6,6,mixed,6.225280567040756,4,0.002362669816893,2,6,0.5833333333333334,621,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,3_8,1_3,5_15,3_8,0_1pct_0_3pct,gte_6,rank_11_30,rank_4_10,rank_4_10,rank_2_3,1000_1100,1,2_3,3e8_8e8,6_10,2_4,0_1pct_0_3pct,9_5_10_5,0_3,3_5,lt_30,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,neutral,20240612,38.29,38.58,36.4,36.55,37.4,-2.2727,20240613,36.48,37.0,36.03,36.5,36.55,-0.1368,20240614,36.15,37.8,35.6,37.6,36.5,3.0137,20240617,36.9,37.08,35.6,36.59,37.6,-2.6862,20240618,36.21,37.48,36.03,37.48,36.59,2.4324,fixed_t2_close,0.8,True,,20240612,38.29,38.328289999999996,daily_open_plus_slippage_no_l2,True,,36.5,36.4635,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.040218477365935035,-0.040218477365935035,c_conservative_daily_replay_fixed_t2_close
20240613,603320.SH,迪贝电气,15.42,9.99,18527130.0,104317,104436,2,U,,1,14.26,15.42,13.87,15.42,14.02,9.9857,90744.02,133779.466,6.9786,20.9516,2.23,13003.1376,4331.1346,200508.3818,200508.3818,False,sh_main,0.1,midday,multi_open,False,10cm,0.0092400775636801,False,5349,1740,3483,126,45,4,23,22,755110981.681,2244733453.0,weak,1692,11,0.0065011820330969,weak,1494,18,0.0120481927710843,neutral,1340,5,0.003731343283582,weak,573,11,0.019197207678883,neutral,249,0,0.0,weak,1,0,0.0,weak,29,16,0,29,16,0,11,1692,0.0065011820330969,weak,1,1,multi_open,midday,weak,sh_main,weak,exact,612,True,4.6078,200508.3818,18527130.0,100000.0,92390252.165804,73863122.165804,1.0,1.0,True,0.6,,True,True,20240614,15.88,20240617,14.88,-0.0629722921914357,0.00362,-0.06646447542382032,False,T+1_open_buy_T+2_close_sell,2.4854,2.7799,5.2653,92535.578,5.0802,1.4457084387585497,1.3736860753513642,20,4,3.0,1.0,,,retreat_weak,neutral,mixed,5.751542344363433,4,0.0007478033277248,9,4,mixed,2.608274231678487,2,0.0011820330969267,1,2,0.5454545454545454,643,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,8_15,lt_1,lt_5,1_3,0_1pct_0_3pct,2,rank_11_30,rank_4_10,rank_2_3,rank_1,1000_1100,1,2_3,1e8_3e8,6_10,2_4,0_5pct_1pct,9_5_10_5,0_3,1_2_2,30_50,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,retreat_weak,neutral,20240614,15.88,16.18,14.71,14.82,15.42,-3.8911,20240617,14.65,14.94,14.31,14.88,14.82,0.4049,20240618,14.87,15.12,14.35,14.93,14.88,0.336,20240619,14.83,14.96,14.45,14.5,14.93,-2.8801,20240620,14.5,14.52,14.1,14.17,14.5,-2.2759,fixed_t2_close,0.8,True,,20240614,15.88,15.895879999999998,daily_open_plus_slippage_no_l2,True,,14.88,14.865120000000001,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.05317158033905626,-0.05317158033905626,c_conservative_daily_replay_fixed_t2_close
20240614,001896.SZ,豫能控股,4.79,10.11,58575952.0,93824,100506,1,U,,1,4.55,4.79,4.47,4.79,4.35,10.1149,846103.21,400095.024,6.4061,14.5358,3.24,132078.133,58208.0646,730849.2571,632654.2571,False,sz_main,0.1,early_morning,t_board,False,10cm,0.0092587620082577,False,5350,2684,2401,265,26,5,15,11,850851802.5339999,1227600108.0,weak,1693,11,0.0064973419964559,weak,1494,9,0.0060240963855421,weak,1340,5,0.003731343283582,weak,573,1,0.0017452006980802,weak,249,0,0.0,weak,1,0,0.0,weak,20,6,1,19,6,0,9,1494,0.0060240963855421,weak,1,1,t_board,early_morning,weak,sz_main,weak,exact,118,True,5.6852,632654.2571,58575952.0,100000.0,359676598.246492,301100646.246492,1.0,1.0,True,0.6,,True,True,20240617,4.71,20240618,4.65,-0.0127388535031846,0.00362,-0.01633140324643483,False,T+1_open_buy_T+2_close_sell,2.1127,0.0,2.1127,137888.882,2.4215,2.9015756614808144,2.645508982035928,13,7,4.0,4.0,,,weak_below_30,retreat_2day,ice_point,6.351401869158879,6,0.0011214953271028,10,5,retreat,6.4417670682730925,2,0.001338688085676,4,5,0.5555555555555556,578,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,ice_point,retreat,8_15,3_5,5_15,1_3,0_1pct_0_3pct,4_5,rank_11_30,rank_4_10,rank_4_10,rank_4_10,before_1000,1,1,3e8_8e8,6_10,2_4,0_5pct_1pct,9_5_10_5,0_3,2_3,lt_30,5_10,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,retreat_2day,20240617,4.71,4.85,4.59,4.64,4.79,-3.1315,20240618,4.62,4.66,4.55,4.65,4.64,0.2155,20240619,4.59,4.61,4.49,4.5,4.65,-3.2258,20240620,4.51,4.54,4.3,4.3,4.5,-4.4444,20240621,4.3,4.38,4.24,4.29,4.3,-0.2326,fixed_t2_close,0.8,True,,20240617,4.71,4.714709999999999,daily_open_plus_slippage_no_l2,True,,4.65,4.6453500000000005,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.013065122597147864,-0.013065122597147864,c_conservative_daily_replay_fixed_t2_close
20240617,002198.SZ,嘉应制药,7.37,10.0,108311731.0,142918,142918,0,U,,1,6.81,7.37,6.77,7.37,6.7,10.0,317960.36,228282.246,6.2651,8.5015,3.51,50750.9848,37400.3152,374034.758,374034.758,False,sz_main,0.1,afternoon,one_word,False,10cm,0.0289576646777837,False,5349,1602,3598,149,26,4,13,13,754019526.039,1035108986.0,weak,1693,8,0.0047253396337861,weak,1493,14,0.0093770931011386,weak,1340,4,0.0029850746268656,weak,573,0,0.0,weak,249,0,0.0,weak,1,0,0.0,weak,22,4,2,20,4,0,14,1493,0.0093770931011386,weak,1,1,one_word,afternoon,weak,sz_main,weak,exact,85,True,6.1336,374034.758,108311731.0,100000.0,229417959.16688,121106228.16688,1.0,1.0,True,0.6,,True,True,20240618,7.42,20240619,7.22,-0.0269541778975741,0.00362,-0.030518325394282165,False,T+1_open_buy_T+2_close_sell,-2.3324,1.3294,-1.003,63829.587,1.8695,3.576433073270551,3.351216902915218,20,13,4.0,3.0,,,weak_below_30,neutral,ice_point,4.573901663862404,5,0.000934754159656,5,4,mixed,4.735833891493637,5,0.0033489618218352,2,4,0.5,869,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,ice_point,mixed,3_8,1_3,lt_5,3_8,0_3pct_0_8pct,4_5,rank_11_30,rank_11_30,rank_4_10,rank_2_3,1330_1430,1,0,1e8_3e8,6_10,2_4,2pct_5pct,9_5_10_5,neg3_0,3_5,lt_30,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,weak_below_30,neutral,20240618,7.42,7.6,7.3,7.49,7.37,1.6282,20240619,7.45,7.47,7.04,7.22,7.49,-3.6048,20240620,7.12,7.29,7.09,7.09,7.22,-1.8006,20240621,7.1,7.35,7.03,7.29,7.04,3.5511,20240624,7.23,7.55,7.18,7.31,7.29,0.2743,fixed_t2_close,0.8,True,,20240618,7.42,7.427419999999999,daily_open_plus_slippage_no_l2,True,,7.22,7.2127799999999995,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.024414660315425732,-0.024414660315425732,c_conservative_daily_replay_fixed_t2_close
20240618,300557.SZ,理工光科,28.98,20.0,51680062.0,111851,111851,0,U,,1,24.3,28.98,23.72,28.98,24.15,20.0,89714.19,239635.166,9.8677,19.3754,3.59,9091.6959,4630.3042,269693.5572,263477.3472,False,chi_next,0.2,midday,one_word,False,20cm,0.0196146130015385,False,5347,3991,1204,152,48,5,31,17,739586955.954,2106853478.0,weak,1692,14,0.0082742316784869,weak,1492,20,0.0134048257372654,neutral,1340,12,0.008955223880597,weak,573,2,0.0034904013961605,weak,249,0,0.0,weak,1,0,0.0,weak,34,14,1,33,14,0,12,1340,0.008955223880597,weak,1,1,one_word,midday,weak,chi_next,weak,exact,1336,True,12.16225,263477.3472,51680062.0,100000.0,320447736.59832,268767674.59832,1.0,1.0,True,0.6,,True,True,20240619,32.0,20240620,30.93,-0.0334375,0.00362,-0.03698869380619378,False,T+1_open_buy_T+2_close_sell,5.0,9.6805,14.6805,153351.764,6.7745,1.562650208575364,1.456594582626024,29,7,3.0,2.0,,,neutral,neutral,mixed,6.452814662427529,2,0.0003740415186085,8,5,mixed,3.4059701492537315,1,0.0007462686567164,2,2,0.25,678,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,mixed,3_8,1_3,lt_5,lt_1,lt_0_1pct,2,rank_11_30,rank_4_10,rank_2_3,rank_2_3,1100_1330,1,0,1e8_3e8,6_10,2_4,1pct_2pct,19_5_20_5,3_7,1_2_2,30_50,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,neutral,neutral,20240619,32.0,33.88,30.57,32.99,28.98,13.8371,20240620,32.0,33.64,30.46,30.93,32.99,-6.2443,20240621,28.9,30.61,27.23,27.29,30.93,-11.7685,20240624,26.73,27.81,26.3,27.1,27.29,-0.6962,20240625,26.8,29.35,26.47,27.8,27.1,2.583,fixed_t2_close,0.8,True,,20240619,32.0,32.032,daily_open_plus_slippage_no_l2,True,,30.93,30.89907,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.029590955044955028,-0.029590955044955028,c_conservative_daily_replay_fixed_t2_close
20240619,600326.SH,西藏天路,4.33,9.9,1311548.0,112650,143650,3,U,,1,3.9,4.33,3.87,4.33,3.94,9.8985,906846.56,381604.806,7.0462,9.3215,3.15,128700.9703,97285.3491,558052.0103,557275.2014,False,sh_main,0.1,midday,multi_open,False,10cm,0.000235350145979,False,5346,1605,3583,158,40,6,22,18,708881416.1669999,2005297735.0,weak,1692,16,0.0094562647754137,weak,1492,10,0.0067024128686327,weak,1339,12,0.0089619118745332,weak,573,1,0.0017452006980802,weak,249,1,0.0040160642570281,weak,1,0,0.0,weak,26,13,0,26,13,1,16,1692,0.0094562647754137,weak,1,1,multi_open,midday,weak,sh_main,weak,exact,612,True,4.6078,557275.2014,1311548.0,100000.0,256781267.301092,255469719.301092,1.0,1.0,True,0.6,,True,True,20240620,4.27,20240621,4.59,0.0749414519906324,0.00362,0.07117371682182001,True,T+1_open_buy_T+2_close_sell,2.8721,-2.046,0.8261000000000003,97720.266,1.946,3.9050733447655572,3.6208633093525178,27,11,5.0,3.0,,,retreat_weak,warming_2day,mixed,7.325776281331837,1,0.0001870557426112,9,6,warming,5.574704491725769,1,0.0005910165484633,3,4,0.4375,686,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,mixed,warming,8_15,1_3,lt_5,lt_1,lt_0_1pct,4_5,rank_11_30,rank_11_30,rank_4_10,rank_2_3,1100_1330,1,2_3,3e8_8e8,6_10,2_4,lt_0_1pct,9_5_10_5,0_3,3_5,30_50,10_20,0_5pct_1pct,unknown,unknown,unknown,unknown,retreat_weak,warming_2day,20240620,4.27,4.38,4.16,4.17,4.33,-3.6952,20240621,4.17,4.59,4.11,4.59,4.17,10.0719,20240624,4.59,4.75,4.41,4.6,4.59,0.2179,20240625,4.5,4.59,4.4,4.49,4.6,-2.3913,20240626,4.4,4.49,4.25,4.46,4.49,-0.6682,fixed_t2_close,0.8,True,,20240620,4.27,4.274269999999999,daily_open_plus_slippage_no_l2,True,,4.59,4.5854099999999995,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.056938973457456014,0.056938973457456014,c_conservative_daily_replay_fixed_t2_close
