trade_date,ts_code,name,limit_close,limit_pct_chg,fd_amount,first_time,last_time,open_times,limit,limit_amount,limit_times,open,high,low,close,pre_close,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,float_share,free_share,total_mv,circ_mv,is_low_amount,market_segment,limit_pct,first_time_bucket,board_type,is_st,limit_pct_bucket,fd_amount_to_circ_mv,is_fd_amount_abnormal,stock_count,up_count,down_count,flat_count,limit_up_count,limit_up_max_height,one_word_limit_count,opened_limit_count,total_amount,limit_up_fd_amount_sum,market_sentiment_level,sh_main_stock_count,sh_main_limit_up_count,sh_main_limit_up_ratio,sh_main_market_sentiment_level,sz_main_stock_count,sz_main_limit_up_count,sz_main_limit_up_ratio,sz_main_market_sentiment_level,chi_next_stock_count,chi_next_limit_up_count,chi_next_limit_up_ratio,chi_next_market_sentiment_level,star_stock_count,star_limit_up_count,star_limit_up_ratio,star_market_sentiment_level,bj_stock_count,bj_limit_up_count,bj_limit_up_ratio,bj_market_sentiment_level,other_stock_count,other_limit_up_count,other_limit_up_ratio,other_market_sentiment_level,main_board_limit_up_count,growth_board_limit_up_count,limit_5cm_count,limit_10cm_count,limit_20cm_count,limit_30cm_count,segment_limit_up_count,segment_stock_count,segment_limit_up_ratio,segment_market_sentiment_level,limit_times_fill_model,limit_times_bucket,board_type_fill_model,first_time_bucket_fill_model,market_sentiment_level_fill_model,market_segment_fill_model,segment_market_sentiment_level_fill_model,matched_source,sample_count,is_sample_enough,suggested_turnover_rate,circ_mv_fill_model,current_queue_amount,planned_buy_amount,estimated_turnover_amount,available_fill_amount,fill_probability,position_scale,allow_buy,min_fill_probability,score_error,is_fill_score_reliable,allow_buy_reliable,next_trade_date,next_open,exit_trade_date,exit_close,gross_return,fee_rate,net_return,is_win,holding_days_rule,prev_pct_chg,prev2_pct_chg,two_day_pct_chg,prev_amount,prev_turnover_rate,amount_ratio_1d,turnover_ratio_1d,market_leader_rank,segment_market_leader_rank,limit_height_rank,segment_limit_height_rank,theme_heat_score,same_theme_limit_count,retreat_state,segment_retreat_state,market_emotion_state,market_emotion_score,market_limit_down_count,market_limit_down_ratio,market_chain_count,market_limit_max_height,segment_emotion_state,segment_emotion_score,segment_limit_down_count,segment_limit_down_ratio,segment_chain_count,segment_limit_max_height,segment_open_rate,first_time_minutes,theme_heat_bucket,same_theme_limit_count_bucket,theme_limit_count_bucket,theme_limit_height_bucket,theme_heat_rank_bucket,theme_leader_rank_bucket,theme_height_rank_bucket,theme_is_mainline_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,market_chain_count_bucket,segment_chain_count_bucket,market_limit_down_count_bucket,segment_limit_down_count_bucket,segment_limit_down_ratio_bucket,segment_limit_max_height_bucket,market_leader_rank_bucket,segment_market_leader_rank_bucket,limit_height_rank_bucket,segment_limit_height_rank_bucket,first_time_detail_bucket,limit_times_detail_bucket,open_times_bucket,amount_bucket,turnover_rate_bucket,volume_ratio_bucket,fd_ratio_bucket,pct_chg_bucket,prev_pct_chg_bucket,amount_ratio_bucket,limit_up_count_bucket,segment_limit_up_count_bucket,segment_limit_up_ratio_bucket,auction_strength_bucket,open_5m_strength_bucket,sector_moneyflow_bucket,top_list_net_buy_bucket,retreat_state_bucket,segment_retreat_state_bucket,profit_source_score,d1_trade_date,d1_open,d1_high,d1_low,d1_close,d1_pre_close,d1_pct_chg,d2_trade_date,d2_open,d2_high,d2_low,d2_close,d2_pre_close,d2_pct_chg,d3_trade_date,d3_open,d3_high,d3_low,d3_close,d3_pre_close,d3_pct_chg,d4_trade_date,d4_open,d4_high,d4_low,d4_close,d4_pre_close,d4_pct_chg,d5_trade_date,d5_open,d5_high,d5_low,d5_close,d5_pre_close,d5_pct_chg,replay_rule,planned_position_pct,buy_executed,buy_reject_reason,buy_trade_date,buy_price_before_slippage,buy_price,buy_price_model,sell_executed,sell_reject_reason,exit_price_before_slippage,exit_price,exit_reason,sell_price_model,path_conflict,limit_down_blocked_days,daily_return,strict_account_return,strict_return_source
20240926,002036.SZ,联创电子,7.61,9.97,54545436.0,112145,112145,0,U,,1,6.92,7.61,6.92,7.61,6.92,9.9711,1157451.91,842399.687,10.9865,12.0415,1.49,105352.1028,96122.0042,813180.6452,801729.5023,False,sz_main,0.1,midday,one_word,False,10cm,0.0068034712260831,False,5348,5144,177,27,144,10,75,69,1166765356.686,6349696639.0,strong,1687,71,0.0420865441612329,very_strong,1480,60,0.0405405405405405,very_strong,1351,10,0.00740192450037,weak,576,2,0.0034722222222222,weak,253,1,0.0039525691699604,weak,1,0,0.0,weak,131,12,0,131,12,1,60,1480,0.0405405405405405,very_strong,1,1,one_word,midday,strong,sz_main,very_strong,exact,1877,True,3.4765,801729.5023,54545436.0,100000.0,278721261.474595,224175825.474595,1.0,1.0,True,0.6,,True,True,20240927,7.8,20241008,8.97,0.1500000000000001,0.00362,0.2612363743948362,True,T+1_open_buy_T+2_close_sell,-0.7174,2.0498,1.3323999999999998,601288.97,8.1029,1.4009897553916548,1.3558725888262226,45,19,5.0,4.0,,,neutral,neutral,main_rise,15.070157068062828,1,0.00018698578908,22,10,climax,17.554054054054056,0,0.0,11,10,0.3833333333333333,681,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,main_rise,climax,15_30,gte_10,lt_5,lt_1,lt_0_1pct,gte_6,rank_gt_30,rank_11_30,rank_4_10,rank_4_10,1100_1330,1,0,8e8_15e8,10_15,1_2,0_5pct_1pct,9_5_10_5,neg3_0,1_2_2,120_180,40_80,3pct_5pct,unknown,unknown,unknown,unknown,neutral,neutral,2.8,20240927,7.8,8.3,7.69,8.15,7.61,7.0959,20240930,8.58,8.97,8.3,8.97,8.15,10.0613,20241008,9.87,9.87,9.06,9.87,8.97,10.0334,20241009,9.73,10.78,9.18,10.23,9.87,3.6474,20241010,10.22,10.29,9.35,9.37,10.23,-8.4066,fixed_hold3_close,0.8,True,,20240927,7.8,7.8077999999999985,daily_open_plus_slippage_no_l2,True,,9.87,9.86013,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.20898909951586897,0.20898909951586897,c_conservative_daily_replay_fixed_hold3_close
20241018,002685.SZ,华东重机,5.57,10.08,69898759.0,131448,131448,0,U,,1,4.86,5.57,4.8,5.57,5.06,10.0791,2049654.47,1076647.332,20.3428,29.3692,1.36,100755.6316,69789.3212,561283.687,561208.868,False,sz_main,0.1,midday,one_word,False,10cm,0.0124550346556533,False,5351,5095,200,56,132,6,60,72,2134721873.265,13340770920.0,strong,1686,44,0.026097271648873,strong,1480,42,0.0283783783783783,strong,1354,20,0.0147710487444608,neutral,576,10,0.0173611111111111,neutral,254,16,0.0629921259842519,very_strong,1,0,0.0,weak,86,30,0,86,30,16,42,1480,0.0283783783783783,strong,1,1,one_word,midday,strong,sz_main,strong,exact,2987,True,4.0277,561208.868,69898759.0,100000.0,226038095.76436,156139336.76436,1.0,1.0,True,0.6,,True,True,20241021,6.13,,6.74,0.099510603588907,0.00362,0.0,False,T+1_open_buy_T+2_close_sell,7.431,3.5165,10.9475,1354272.404,26.7103,0.79500056917648,0.7616088175722474,94,35,5.0,4.0,,,neutral,neutral,main_rise,12.666828630162588,0,0.0,27,6,main_rise,10.83783783783784,0,0.0,8,5,0.5238095238095238,794,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,main_rise,main_rise,15_30,5_10,lt_5,lt_1,lt_0_1pct,4_5,rank_gt_30,rank_gt_30,rank_4_10,rank_4_10,1100_1330,1,0,8e8_15e8,15_25,1_2,1pct_2pct,9_5_10_5,7_10,lt_0_8,120_180,40_80,2pct_3pct,unknown,unknown,unknown,unknown,neutral,neutral,2.8,20241021,6.13,6.13,6.13,6.13,5.57,10.0539,20241022,6.74,6.74,6.74,6.74,6.13,9.9511,20241023,7.41,7.41,7.41,7.41,6.74,9.9407,20241024,8.15,8.15,6.67,6.9,7.41,-6.8826,20241025,7.2,7.59,6.99,7.59,6.9,10.0,fixed_hold3_close,0.8,False,open_limit_up_unbuyable,20241021,6.13,,daily_open_limit_up_queue_rejected,False,,,,no_buy,,False,0,0.0,0.0,c_conservative_daily_replay_fixed_hold3_close
20241024,002229.SZ,鸿博股份,13.89,9.98,203148722.0,130009,130009,0,U,,1,12.45,13.89,12.45,13.89,12.63,9.9762,1214047.67,1617758.051,24.6175,27.6241,1.46,49316.4301,43948.9216,689209.9768,685005.2141,False,sz_main,0.1,midday,one_word,False,10cm,0.0296565219969761,False,5349,2141,3051,157,99,10,59,40,1565233872.073,8989873965.0,neutral,1687,37,0.0219324244220509,strong,1480,42,0.0283783783783783,strong,1355,8,0.0059040590405904,weak,573,2,0.0034904013961605,weak,253,10,0.0395256916996047,very_strong,1,0,0.0,weak,79,10,0,79,10,10,42,1480,0.0283783783783783,strong,1,1,one_word,midday,neutral,sz_main,strong,exact,2987,True,4.0277,685005.2141,203148722.0,100000.0,275899550.08305705,72750828.08305705,1.0,1.0,True,0.6,,True,True,20241025,15.0,20241029,16.29,0.0859999999999998,0.00362,-0.0056140059940059,False,T+1_open_buy_T+2_close_sell,1.7728,10.0177,11.7905,2137019.884,33.1639,0.7570159094504709,0.7422981012486469,68,31,7.0,5.0,,,retreat_2day,retreat_2day,retreat,14.961076836791923,4,0.0007478033277248,26,10,retreat,13.35675675675676,1,0.0006756756756756,10,7,0.3095238095238095,780,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,retreat,retreat,15_30,5_10,lt_5,lt_1,lt_0_1pct,gte_6,rank_gt_30,rank_gt_30,rank_4_10,rank_4_10,1100_1330,1,0,gte_15e8,15_25,1_2,2pct_5pct,9_5_10_5,0_3,lt_0_8,80_120,40_80,2pct_3pct,unknown,unknown,unknown,unknown,retreat_2day,retreat_2day,0.8,20241025,15.0,15.28,14.24,15.28,13.89,10.0072,20241028,15.3,16.81,15.28,16.29,15.28,6.6099,20241029,15.64,16.11,14.78,14.97,16.29,-8.1031,20241030,14.29,14.78,13.86,14.4,14.97,-3.8076,20241031,14.1,15.79,14.1,15.16,14.4,5.2778,fixed_hold3_close,0.8,True,,20241025,15.0,15.014999999999999,daily_open_plus_slippage_no_l2,True,,14.97,14.95503,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.00449120479520472,-0.00449120479520472,c_conservative_daily_replay_fixed_hold3_close
20241104,001319.SZ,铭科精技,25.33,9.99,3315697.0,130121,144739,3,U,,1,23.25,25.33,23.0,25.33,23.03,9.987,262048.8,645230.779,42.9821,46.7576,3.2,6096.7,5604.41,358166.2,154429.411,False,sz_main,0.1,midday,multi_open,False,10cm,0.0021470631653189,False,5350,4496,772,82,153,13,88,65,1726720244.75,17448380894.0,very_strong,1685,61,0.0362017804154302,very_strong,1477,68,0.0460392687880839,very_strong,1358,11,0.008100147275405,weak,573,3,0.0052356020942408,weak,256,10,0.0390625,very_strong,1,0,0.0,weak,129,14,0,129,14,10,68,1477,0.0460392687880839,very_strong,1,1,multi_open,midday,very_strong,sz_main,very_strong,exact,1336,True,4.755575,154429.411,3315697.0,100000.0,73440064.62163252,70124367.62163252,1.0,1.0,True,0.6,,True,True,20241105,24.95,20241107,27.3,0.094188376753507,0.00362,0.06638213814241874,True,T+1_open_buy_T+2_close_sell,3.6454,0.6797,4.3251,272358.423,20.0772,2.3690502092531207,2.1408413523798138,94,42,6.0,5.0,,,neutral,neutral,main_rise,18.02803738317757,46,0.0085981308411214,29,13,ice_point,15.810291130670276,27,0.0182802979011509,14,8,0.3529411764705882,781,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,main_rise,ice_point,15_30,gte_10,30_60,gte_15,gte_1_5pct,gte_6,rank_gt_30,rank_gt_30,rank_4_10,rank_4_10,1100_1330,1,2_3,3e8_8e8,gte_25,2_4,0_1pct_0_3pct,9_5_10_5,3_7,2_3,120_180,40_80,3pct_5pct,unknown,unknown,unknown,unknown,neutral,neutral,2.8,20241105,24.95,27.86,24.35,27.86,25.33,9.9882,20241106,30.0,30.65,26.75,27.3,27.86,-2.0101,20241107,28.05,29.2,25.66,26.7,27.3,-2.1978,20241108,26.0,27.44,25.66,26.0,26.7,-2.6217,20241111,25.6,26.36,25.25,26.18,26.0,0.6923,fixed_hold3_close,0.8,True,,20241105,24.95,24.974949999999996,daily_open_plus_slippage_no_l2,True,,26.7,26.673299999999998,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.05310571051393499,0.05310571051393499,c_conservative_daily_replay_fixed_hold3_close
20241127,002542.SZ,中化岩土,4.61,10.02,49159624.0,112745,133230,1,U,,1,4.14,4.61,4.02,4.61,4.19,10.0239,3000893.96,1339369.866,18.7409,28.3749,1.19,160124.9649,105758.5839,832619.8162,738176.0882,False,sz_main,0.1,midday,t_board,False,10cm,0.0066596066691719,False,5360,4330,915,115,103,8,52,51,1489142212.378,9499982998.0,strong,1688,34,0.0201421800947867,strong,1477,49,0.0331753554502369,very_strong,1360,13,0.0095588235294117,weak,577,2,0.0034662045060658,weak,257,5,0.0194552529182879,neutral,1,0,0.0,weak,83,15,0,83,15,5,49,1477,0.0331753554502369,very_strong,1,1,t_board,midday,strong,sz_main,very_strong,exact,464,True,4.29765,738176.0882,49159624.0,100000.0,317242246.545273,268082622.545273,1.0,1.0,True,0.6,,True,True,20241128,4.69,20241202,4.56,-0.0277185501066099,0.00362,0.03468484653938826,True,T+1_open_buy_T+2_close_sell,-7.3009,-5.2411,-12.542000000000002,624104.257,8.8727,2.1460675055129452,2.11219809077282,64,31,5.0,3.0,,,neutral,neutral,main_rise,12.006716417910448,23,0.0042910447761194,21,8,climax,12.280094786729858,14,0.0094786729857819,9,7,0.4897959183673469,687,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,main_rise,climax,15_30,5_10,15_30,8_15,0_8pct_1_5pct,gte_6,rank_gt_30,rank_gt_30,rank_4_10,rank_2_3,1100_1330,1,1,8e8_15e8,15_25,1_2,0_5pct_1pct,9_5_10_5,lt_neg3,2_3,80_120,40_80,3pct_5pct,unknown,unknown,unknown,unknown,neutral,neutral,2.8,20241128,4.69,4.89,4.6,4.62,4.61,0.2169,20241129,4.56,4.76,4.36,4.56,4.62,-1.2987,20241202,4.62,4.94,4.62,4.87,4.56,6.7982,20241203,4.91,5.36,4.79,5.36,4.87,10.0616,20241204,5.64,5.9,5.01,5.29,5.36,-1.306,fixed_hold3_close,0.8,True,,20241128,4.69,4.69469,daily_open_plus_slippage_no_l2,True,,4.87,4.86513,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.02774787723151061,0.02774787723151061,c_conservative_daily_replay_fixed_hold3_close
20241216,002173.SZ,创新医疗,10.09,10.03,47497948.0,130236,142639,2,U,,1,9.2,10.09,9.15,10.09,9.17,10.0327,918233.06,907831.961,22.0896,30.7314,1.95,41568.6468,29879.2924,445255.9112,419427.6462,False,sz_main,0.1,midday,multi_open,False,10cm,0.0113244676239942,False,5370,1768,3479,123,101,7,59,42,1717601894.596,9853465596.0,strong,1688,47,0.0278436018957345,strong,1478,46,0.0311231393775372,very_strong,1363,8,0.0058694057226705,weak,580,0,0.0,weak,260,0,0.0,weak,1,0,0.0,weak,93,8,1,92,8,0,46,1478,0.0311231393775372,very_strong,1,1,multi_open,midday,strong,sz_main,very_strong,exact,1336,True,4.755575,419427.6462,47497948.0,100000.0,199461962.8577565,151964014.8577565,1.0,1.0,True,0.6,,True,True,20241217,10.08,20241219,11.28,0.119047619047619,0.00362,0.08746948194662503,True,T+1_open_buy_T+2_close_sell,-2.963,-1.2539,-4.2169,246630.513,6.3985,3.6809393531934953,3.452309134953505,62,27,3.0,3.0,,,neutral,retreat_2day,main_rise,12.077467411545625,27,0.0050279329608938,26,7,retreat,10.894451962110962,15,0.010148849797023,10,5,0.3695652173913043,782,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,main_rise,retreat,15_30,5_10,15_30,8_15,0_8pct_1_5pct,4_5,rank_gt_30,rank_11_30,rank_2_3,rank_2_3,1100_1330,1,2_3,8e8_15e8,15_25,1_2,1pct_2pct,9_5_10_5,neg3_0,3_5,80_120,40_80,3pct_5pct,unknown,unknown,unknown,unknown,neutral,retreat_2day,2.8,20241217,10.08,10.95,9.5,10.25,10.09,1.5857,20241218,10.15,11.28,10.02,11.28,10.25,10.0488,20241219,12.41,12.41,10.76,11.0,11.28,-2.4823,20241220,11.0,11.83,10.61,11.02,11.0,0.1818,20241223,10.38,10.49,9.92,9.92,11.02,-9.9819,fixed_hold3_close,0.8,True,,20241217,10.08,10.090079999999999,daily_open_plus_slippage_no_l2,True,,11.0,10.989,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.06997558555730003,0.06997558555730003,c_conservative_daily_replay_fixed_hold3_close
20241220,002009.SZ,天奇股份,15.64,9.99,84129421.0,110809,110809,0,U,,1,14.19,15.64,14.15,15.64,14.22,9.9859,524520.43,794540.435,13.0958,17.9682,1.34,40052.4507,29191.6471,629092.7357,626420.3289,False,sz_main,0.1,midday,one_word,False,10cm,0.0134301869078438,False,5373,3556,1664,153,84,8,51,33,1534628173.093,7802902378.0,neutral,1686,35,0.0207591933570581,strong,1479,41,0.0277214334009465,strong,1365,4,0.0029304029304029,weak,581,3,0.0051635111876075,weak,261,1,0.003831417624521,weak,1,0,0.0,weak,76,7,0,76,7,1,41,1479,0.0277214334009465,strong,1,1,one_word,midday,neutral,sz_main,strong,exact,2987,True,4.0277,626420.3289,84129421.0,100000.0,252303315.871053,168173894.871053,1.0,1.0,True,0.6,,True,True,20241223,15.36,20241225,15.7,0.0221354166666667,0.00362,-0.027658414710289448,False,T+1_open_buy_T+2_close_sell,-1.387,-1.0295,-2.4165,329350.39,5.7532,2.4124472267969685,2.276263644580408,53,26,3.0,2.0,,,neutral,neutral,main_rise,10.806030150753768,16,0.0029778522240833,16,8,main_rise,13.023056118999325,8,0.0054090601757944,9,8,0.4634146341463415,668,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,main_rise,main_rise,15_30,5_10,15_30,3_8,0_3pct_0_8pct,gte_6,rank_gt_30,rank_11_30,rank_2_3,rank_2_3,1100_1330,1,0,3e8_8e8,10_15,1_2,1pct_2pct,9_5_10_5,neg3_0,2_3,80_120,40_80,2pct_3pct,unknown,unknown,unknown,unknown,neutral,neutral,2.8,20241223,15.36,15.54,14.53,14.72,15.64,-5.8824,20241224,15.0,16.19,15.0,15.7,14.72,6.6576,20241225,15.52,15.66,14.86,14.99,15.7,-4.5223,20241226,14.81,16.49,14.81,16.49,14.99,10.0067,20241227,16.21,16.39,15.75,15.85,16.49,-3.8811,fixed_hold3_close,0.8,True,,20241223,15.36,15.375359999999997,daily_open_plus_slippage_no_l2,True,,14.99,14.975010000000001,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.02212673176823156,-0.02212673176823156,c_conservative_daily_replay_fixed_hold3_close
20241226,600006.SH,东风股份,7.83,9.97,52164243.0,130853,134947,1,U,,1,7.1,7.83,7.09,7.83,7.12,9.9719,1141417.82,871703.825,5.7071,14.3061,2.3,200000.0,79785.462,1566000.0,1566000.0,False,sh_main,0.1,midday,t_board,False,10cm,0.00333105,False,5372,3649,1521,202,99,6,66,33,1287682770.673,8859171597.0,neutral,1687,49,0.0290456431535269,strong,1477,37,0.0250507786052809,strong,1365,11,0.008058608058608,weak,580,1,0.0017241379310344,weak,262,1,0.0038167938931297,weak,1,0,0.0,weak,86,12,3,83,12,1,49,1687,0.0290456431535269,strong,1,1,t_board,midday,neutral,sh_main,strong,exact,587,True,3.6648,1566000.0,52164243.0,100000.0,573907680.0,521743437.0,1.0,1.0,True,0.6,,True,True,20241227,7.8,20241231,7.79,-0.0012820512820512,0.00362,-0.05863606086221444,False,T+1_open_buy_T+2_close_sell,-2.332,0.5517,-1.7803,255303.399,1.7889,3.4143839385389456,3.190284532394209,58,24,4.0,3.0,,,neutral,neutral,main_rise,9.641846612062547,9,0.0016753536857781,16,6,main_rise,8.806639004149378,7,0.0041493775933609,8,3,0.4693877551020408,788,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,main_rise,main_rise,15_30,5_10,5_15,3_8,0_3pct_0_8pct,3,rank_gt_30,rank_11_30,rank_4_10,rank_2_3,1100_1330,1,1,8e8_15e8,3_6,2_4,0_3pct_0_5pct,9_5_10_5,neg3_0,3_5,80_120,40_80,2pct_3pct,unknown,unknown,unknown,unknown,neutral,neutral,4.3,20241227,7.8,7.89,7.67,7.73,7.83,-1.2771,20241230,7.66,7.88,7.53,7.79,7.73,0.7762,20241231,7.78,7.81,7.33,7.37,7.79,-5.3915,20250102,7.36,7.86,7.29,7.44,7.37,0.9498,20250103,7.36,7.47,6.85,6.9,7.44,-7.2581,fixed_hold3_close,0.8,True,,20241227,7.8,7.8077999999999985,daily_open_plus_slippage_no_l2,True,,7.37,7.36263,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.046908848689771555,-0.046908848689771555,c_conservative_daily_replay_fixed_hold3_close
20250212,601116.SH,三江购物,11.69,9.97,71168813.0,130131,130131,0,U,,1,10.7,11.69,10.7,11.69,10.63,9.9718,223917.56,250071.184,4.0885,12.716,2.16,54767.84,17609.1858,640236.0496,640236.0496,False,sh_main,0.1,midday,one_word,False,10cm,0.0111160271347519,False,5386,3561,1568,257,83,10,48,35,1712502990.395,12479592169.0,neutral,1689,43,0.0254588513913558,strong,1482,26,0.0175438596491228,neutral,1367,7,0.0051207022677395,weak,583,5,0.0085763293310463,weak,264,2,0.0075757575757575,weak,1,0,0.0,weak,69,12,0,69,12,2,43,1689,0.0254588513913558,strong,1,1,one_word,midday,neutral,sh_main,strong,exact,2114,True,2.7704500000000003,640236.0496,71168813.0,100000.0,177374196.36143205,106205383.36143205,1.0,1.0,True,0.6,,True,True,20250213,12.0,20250217,14.15,0.1791666666666667,0.00362,0.23922915084915103,True,T+1_open_buy_T+2_close_sell,2.8046,3.4,6.2046,178271.663,3.1028,1.4027534146018485,1.3176808044347041,47,22,6.0,3.0,,,neutral,neutral,main_rise,12.941032305978464,0,0.0,17,10,main_rise,14.045885139135583,0,0.0,7,10,0.4186046511627907,781,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,main_rise,main_rise,15_30,5_10,lt_5,lt_1,lt_0_1pct,gte_6,rank_gt_30,rank_11_30,rank_4_10,rank_2_3,1100_1330,1,0,1e8_3e8,3_6,2_4,1pct_2pct,9_5_10_5,0_3,1_2_2,80_120,40_80,2pct_3pct,unknown,unknown,unknown,unknown,neutral,neutral,2.8,20250213,12.0,12.86,11.42,12.86,11.69,10.0086,20250214,12.8,14.15,12.34,14.15,12.86,10.0311,20250217,14.49,15.57,14.15,14.92,14.15,5.4417,20250218,13.43,13.43,13.43,13.43,14.92,-9.9866,20250219,12.09,12.6,12.09,12.41,13.43,-7.5949,fixed_hold3_close,0.8,True,,20250213,12.0,12.011999999999999,daily_open_plus_slippage_no_l2,True,,14.92,14.90508,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.19138332067932085,0.19138332067932085,c_conservative_daily_replay_fixed_hold3_close
20250221,603341.SH,龙旗科技,54.01,10.0,35131128.0,132716,132716,0,U,,1,49.1,54.01,48.49,54.01,49.1,10.0,104826.51,548869.94,21.8389,21.8389,2.42,4800.0,4800.0,2511986.4341,259248.0,False,sh_main,0.1,midday,one_word,False,10cm,0.0135511664506572,False,5389,2872,2352,165,112,8,58,54,2231055062.032,12591932461.0,strong,1688,41,0.0242890995260663,strong,1483,46,0.031018206338503,very_strong,1368,17,0.0124269005847953,neutral,585,6,0.0102564102564102,neutral,264,2,0.0075757575757575,weak,1,0,0.0,weak,87,23,0,87,23,2,41,1688,0.0242890995260663,strong,1,1,one_word,midday,strong,sh_main,strong,exact,2114,True,2.7704500000000003,259248.0,35131128.0,100000.0,71823362.16000001,36692234.16000001,1.0,1.0,True,0.6,,True,True,20250224,53.88,20250226,53.24,-0.0118782479584261,0.00362,-0.03195770238669997,False,T+1_open_buy_T+2_close_sell,2.935,3.0238,5.9588,422137.277,17.7524,1.3002167065193817,1.2301942272594126,88,36,4.0,4.0,,,neutral,neutral,main_rise,12.07830766375951,0,0.0,18,8,main_rise,10.828909952606637,0,0.0,4,8,0.5365853658536586,807,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,main_rise,main_rise,15_30,3_5,lt_5,lt_1,lt_0_1pct,gte_6,rank_gt_30,rank_gt_30,rank_4_10,rank_4_10,1100_1330,1,0,3e8_8e8,15_25,2_4,1pct_2pct,9_5_10_5,0_3,1_2_2,80_120,40_80,2pct_3pct,unknown,unknown,unknown,unknown,neutral,neutral,2.8,20250224,53.88,55.55,51.68,54.58,54.01,1.0554,20250225,52.85,55.0,51.99,53.24,54.58,-2.4551,20250226,53.24,53.49,51.68,52.35,53.24,-1.6717,20250227,52.31,54.88,50.76,52.93,52.35,1.1079,20250228,52.01,52.6,48.27,48.38,52.93,-8.5963,fixed_hold3_close,0.8,True,,20250224,53.88,53.933879999999995,daily_open_plus_slippage_no_l2,True,,52.35,52.297650000000004,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.025566161909359977,-0.025566161909359977,c_conservative_daily_replay_fixed_hold3_close
