scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,c_trade_count,candidate_return_source_count,audit_or_replay_return_source_count,sort_rule,exit_rule,source_condition_count
A_plus_B_plus_C_refined,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,93,24,50,2,0,0,290,96,0.6881720430107527,0.053514677452777264,0.0291749495998269,0.4980539655009626,-0.12031924029169283,2.5414362473014105,500000.0,41120212.45561207,82.24042491122414,-0.16475594739053967,0,1,False,19,0,93,profit_source_oos_resilient,fixed_t2_close,2
A_plus_B_plus_C_refined,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,94,24,50,0,0,0,290,97,0.6914893617021277,0.05320180267082246,0.02804369219992356,0.4980539655009626,-0.16776643641771238,2.247273763458827,500000.0,40692391.546622634,81.38478309324526,-0.20364909963617006,0,2,False,20,0,94,turnover_desc,fixed_t2_close,2
A_plus_B_plus_C_refined,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,101,24,49,0,0,0,276,104,0.6435643564356436,0.04706806957293007,0.026949625580932914,0.4980539655009626,-0.11800704531551723,2.831294688915256,500000.0,33569049.892809816,67.13809978561963,-0.16350934360904312,0,1,False,28,0,101,leader_rank_desc,fixed_t2_close,2
A_plus_B_plus_C_refined,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,100,24,50,2,0,0,277,102,0.67,0.04512071502875626,0.02804369219992356,0.4980539655009626,-0.14184925205767684,2.112018860632124,500000.0,25934461.89946768,51.86892379893536,-0.24827415975262845,0,0,False,26,0,100,default,fixed_t2_close,2
A_plus_B_plus_C_refined,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,96,24,51,8,0,0,279,98,0.65625,0.04541502751230705,0.02804369219992356,0.4980539655009626,-0.11800704531551723,2.1368977077426154,500000.0,22356373.230350766,44.71274646070153,-0.20703452730347338,0,1,False,21,0,96,volume_ratio_asc,fixed_t2_close,2
A_plus_B_plus_C_refined,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,91,23,50,2,0,0,291,97,0.6483516483516484,0.04792237435303116,0.026949625580932914,0.4980539655009626,-0.16429423524493125,2.323510099522022,500000.0,22320724.16558939,44.64144833117878,-0.16429423524493136,0,2,False,18,0,91,volume_ratio_desc,fixed_t2_close,2
A_plus_B_plus_C_refined,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,95,25,51,0,0,0,287,99,0.6526315789473685,0.04482911550903405,0.026949625580932914,0.4980539655009626,-0.18782649276305077,2.0429272806245695,500000.0,19887572.5607453,39.775145121490596,-0.20364909963617006,0,2,False,19,0,95,amount_desc,fixed_t2_close,2
A_plus_B_plus_C_refined,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,97,24,50,5,0,0,280,99,0.6288659793814433,0.04325920709777354,0.020473450062133,0.4980539655009626,-0.11800704531551723,2.4686566823081972,500000.0,19395845.249237437,38.79169049847487,-0.19800285625341196,0,0,False,23,0,97,turnover_asc,fixed_t2_close,2
A_plus_B_plus_C_refined,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,481,95,25,52,0,0,0,289,97,0.6526315789473685,0.044199645212913474,0.026949625580932914,0.4980539655009626,-0.18782649276305077,2.0468805315285152,500000.0,18908199.320242416,37.816398640484834,-0.18782649276305075,0,1,False,18,0,95,height_rank_desc,fixed_t2_close,2
C_refined_strict,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,328,19,0,0,2,0,0,290,17,0.5263157894736842,0.02665613265334597,0.01477855044955053,0.14968316910108023,-0.12031924029169283,2.3888577341167627,500000.0,788110.53270582,1.5762210654116402,-0.2007892568933347,0,1,False,19,0,19,profit_source_oos_resilient,fixed_t2_close,2
C_refined_strict,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,328,20,0,0,0,0,0,290,18,0.55,0.026528548418129943,0.013279580595102623,0.204690013986014,-0.16776643641771238,1.751633366280138,500000.0,779910.9115377548,1.5598218230755097,-0.2532320896488016,0,2,False,20,0,20,turnover_desc,fixed_t2_close,2
C_refined_strict,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,328,28,0,0,0,0,0,276,24,0.39285714285714285,0.008915899420509741,-0.013479365681290593,0.14606112049144887,-0.04642559159799292,2.4724967531770106,500000.0,621618.2669275613,1.2432365338551226,-0.10455832095900208,0,1,False,28,0,28,leader_rank_desc,fixed_t2_close,2
C_refined_strict,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,328,26,0,0,2,0,0,277,23,0.46153846153846156,-0.0009190211018967636,-0.008529906974615678,0.10955652775393641,-0.14184925205767684,1.1225830694690153,500000.0,465471.7066869741,0.9309434133739481,-0.30336910157064034,0,0,False,26,0,26,default,fixed_t2_close,2
C_refined_strict,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,328,21,0,0,8,0,0,279,20,0.38095238095238093,-0.0067758119022149265,-0.022347841559455656,0.11948475204991237,-0.11283822826353958,1.2648453332198468,500000.0,415302.41920798173,0.8306048384159634,-0.234158110496415,0,1,False,21,0,21,volume_ratio_asc,fixed_t2_close,2
C_refined_strict,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,328,18,0,0,2,0,0,291,17,0.2777777777777778,-0.008157228716071246,-0.02198717748875722,0.11923422031578156,-0.16429423524493125,1.9546797306648085,500000.0,411813.4171282936,0.8236268342565872,-0.33426248075224996,0,2,False,18,0,18,volume_ratio_desc,fixed_t2_close,2
C_refined_strict,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,328,19,0,0,0,0,0,287,22,0.3157894736842105,-0.014105747562469906,-0.017257775399582658,0.1451425614385616,-0.18782649276305077,1.367668579046641,500000.0,360556.5378877369,0.7211130757754739,-0.3331234224718226,0,2,False,19,0,19,amount_desc,fixed_t2_close,2
C_refined_strict,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=40_80,328,23,0,0,5,0,0,280,20,0.2608695652173913,-0.014774911436561223,-0.018862433566433395,0.0769457582417585,-0.0904610285198672,1.1686723833130475,500000.0,348116.61895264836,0.6962332379052967,-0.35351132350251324,0,0,False,23,0,23,turnover_asc,fixed_t2_close,2
