signal_date,equity_event,event_date,equity_before,equity_after,account_return,message
20240520,HISTORICAL_SIM_FILLED,20240522,500000.0,701507.8273659114,0.403015654731823,使用本地审计记录生成历史模拟卖出和资金更新。
20240620,HISTORICAL_SIM_FILLED,20240624,701507.8273659114,741862.1905795921,0.0575251788211788,使用本地审计记录生成历史模拟卖出和资金更新。
20240712,HISTORICAL_SIM_FILLED,20240716,741862.1905795921,763478.3921655716,0.0291377588189142,使用本地审计记录生成历史模拟卖出和资金更新。
20240802,HISTORICAL_SIM_FILLED,20240806,763478.3921655716,930395.7102730904,0.218627429171984,使用本地审计记录生成历史模拟卖出和资金更新。
20240903,HISTORICAL_SIM_FILLED,20240905,930395.7102730904,976106.0787115496,0.0491300292270718,使用本地审计记录生成历史模拟卖出和资金更新。
20240906,HISTORICAL_SIM_FILLED,20240910,976106.0787115496,1082386.287200512,0.1088818221778221,使用本地审计记录生成历史模拟卖出和资金更新。
20240910,HISTORICAL_SIM_FILLED,20240912,1082386.287200512,1142242.4694689168,0.0553002037962039,使用本地审计记录生成历史模拟卖出和资金更新。
20240913,HISTORICAL_SIM_FILLED,20240919,1142242.4694689168,1113510.7804215,-0.0251537565931826,使用本地审计记录生成历史模拟卖出和资金更新。
20240920,HISTORICAL_SIM_FILLED,20240924,1113510.7804215,1324352.0193809776,0.1893481793500619,使用本地审计记录生成历史模拟卖出和资金更新。
20241114,HISTORICAL_SIM_FILLED,20241118,1324352.0193809776,1512670.7964973028,0.1421969192181609,使用本地审计记录生成历史模拟卖出和资金更新。
20241217,HISTORICAL_SIM_FILLED,20241219,1512670.7964973028,1560677.232185874,0.0317362084332781,使用本地审计记录生成历史模拟卖出和资金更新。
20241223,HISTORICAL_SIM_FILLED,20241225,1560677.232185874,1654961.0230196996,0.060412101163142,使用本地审计记录生成历史模拟卖出和资金更新。
20241227,NO_CLOSED_TRADE,,,,0.0,没有完整卖出成交，资金不更新。
20241230,NO_CLOSED_TRADE,,,,0.0,没有完整卖出成交，资金不更新。
20250102,HISTORICAL_SIM_FILLED,20250106,1518355.5260614548,1472789.7866808458,-0.0300099275818519,使用本地审计记录生成历史模拟卖出和资金更新。
20250106,HISTORICAL_SIM_FILLED,20250108,1472789.7866808458,1551584.3133337535,0.0535001854069637,使用本地审计记录生成历史模拟卖出和资金更新。
20250219,HISTORICAL_SIM_FILLED,20250221,1551584.3133337535,1642669.3367015957,0.0587045270985859,使用本地审计记录生成历史模拟卖出和资金更新。
20250228,HISTORICAL_SIM_FILLED,20250304,1642669.3367015957,1717330.6825896415,0.0454512324665184,使用本地审计记录生成历史模拟卖出和资金更新。
20250305,HISTORICAL_SIM_FILLED,20250307,1717330.6825896415,1704480.0404344206,-0.0074829165317438,使用本地审计记录生成历史模拟卖出和资金更新。
20250310,HISTORICAL_SIM_FILLED,20250312,1704480.0404344206,1803313.7406239675,0.0579846626800962,使用本地审计记录生成历史模拟卖出和资金更新。
