signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win
20251120,1,PLAN_BUY_T1_OPEN,301092.SZ,争光股份,chi_next,1.5,0.8,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0092834593064089,lt_5,8_15,5_15,retreat_weak,mixed,ice_point,before_1000,15_25,2_3,3_7,461631.054,19.1693,4.18,1.0,1.0,94106,100536,该候选只用于模拟盘计划，不代表实盘可买入。,20251121,39.0,20251124,37.34,-0.0461841025641024,False
20251121,1,PLAN_BUY_T1_OPEN,301171.SZ,易点天下,chi_next,0.8,0.8,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.008078732638519,lt_5,8_15,gte_60,weak_below_30,ice_point,ice_point,1100_1330,gte_25,3_5,0_3,5540106.728,38.2749,3.0,3.0,1.0,131403,145136,该候选只用于模拟盘计划，不代表实盘可买入。,20251124,42.0,20251125,45.9,0.0892371428571427,True
20251125,1,PLAN_BUY_T1_OPEN,301117.SZ,佳缘科技,chi_next,2.5,0.8,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,0_5pct_1pct,0.0072141071241119,lt_5,8_15,5_15,warming_2day,warming,ice_point,before_1000,gte_25,2_3,3_7,1322022.225,35.9852,2.5,3.0,1.0,94630,144757,该候选只用于模拟盘计划，不代表实盘可买入。,20251126,52.03,20251127,48.45,-0.0724264578128002,False
20251204,1,PLAN_BUY_T1_OPEN,300946.SZ,恒而达,chi_next,-1.5,0.8,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0050337513834967,lt_5,8_15,15_30,retreat_weak,mixed,ice_point,1000_1100,15_25,gte_5,neg3_0,710974.409,16.5674,13.2,3.0,1.0,102842,143042,该候选只用于模拟盘计划，不代表实盘可买入。,20251205,57.5,20251208,60.29,0.0449017391304346,True
20251212,1,PLAN_BUY_T1_OPEN,920576.BJ,天力复合,bj,3.0,0.8,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0058432624692273,lt_5,8_15,15_30,neutral,mixed,ice_point,1000_1100,10_15,1_2_2,gte_10,862009.071,14.386,1.94,3.0,2.0,101414,134038,该候选只用于模拟盘计划，不代表实盘可买入。,20251215,66.0,20251216,81.88,0.2369860606060604,True
20251215,1,PLAN_BUY_T1_OPEN,920665.BJ,科强股份,bj,4.5,0.8,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0064135518883315,lt_5,8_15,5_15,neutral,mixed,ice_point,1000_1100,gte_25,2_3,lt_neg3,418904.616,34.9142,2.56,10.0,1.0,103101,141719,该候选只用于模拟盘计划，不代表实盘可买入。,20251216,19.0,20251217,15.7,-0.1773042105263158,False
20251215,2,WATCH_ONLY,300118.SZ,东方日升,chi_next,4.5,0.0,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0065375188101543,lt_5,8_15,5_15,neutral,mixed,ice_point,1000_1100,15_25,2_3,3_7,2301166.981,19.2569,3.0,0.0,1.0,101918,101918,该候选只用于模拟盘计划，不代表实盘可买入。,20251216,12.7,20251217,12.36,-0.0303916535433071,False
20251219,1,PLAN_BUY_T1_OPEN,300557.SZ,理工光科,chi_next,1.8,0.8,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,0_5pct_1pct,0.0099972531171486,lt_5,8_15,lt_5,warming_2day,warming,ice_point,1100_1330,15_25,2_3,neg3_0,777578.139,17.8165,2.34,2.0,1.0,131527,132233,该候选只用于模拟盘计划，不代表实盘可买入。,20251222,41.54,20251223,36.4,-0.1273561579200771,False
20251219,2,WATCH_ONLY,300947.SZ,德必集团,chi_next,-0.5,0.0,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0072815164852612,lt_5,8_15,lt_5,warming_2day,warming,ice_point,1000_1100,15_25,gte_5,0_3,704493.432,21.4568,8.09,2.0,1.0,103515,112542,该候选只用于模拟盘计划，不代表实盘可买入。,20251222,21.88,20251223,20.88,-0.0493238391224863,False
20251231,1,PLAN_BUY_T1_OPEN,300058.SZ,蓝色光标,chi_next,5.3,0.8,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0080040223430788,lt_5,8_15,5_15,neutral,mixed,ice_point,1100_1330,gte_25,1_2_2,7_10,11164682.247,29.5427,2.26,0.0,1.0,111218,111218,该候选只用于模拟盘计划，不代表实盘可买入。,20260105,11.7,20260106,13.66,0.1639013675213675,True
