period,start_date,end_date,role,policy,reduced_position_pct,equity_multiple,executed_trade_count,skipped_trade_count,loss_overlay_hit_count,win_rate,avg_account_return,median_account_return,max_loss,max_drawdown,actual_start_date,actual_end_date
full,20240520,20260417,all,baseline,,45.00668633221446,59,0,5,0.7288135593220338,0.07345191228559572,0.0454512324665184,-0.1072601608998818,-0.11007584698669093,20240520,20260417
full,20240520,20260417,all,hard_exclude,,63.2811817238143,54,5,5,0.7962962962962963,0.08631635140943685,0.051315107317017744,-0.0714087122182405,-0.07140871221824052,20240520,20260417
full,20240520,20260417,all,reduce_position,0.4,53.55123139185289,59,0,5,0.7288135593220338,0.07622665933016728,0.0454512324665184,-0.0714087122182405,-0.0786739651049504,20240520,20260417
full,20240520,20260417,all,reduce_position,0.2,58.26112242271796,59,0,5,0.7288135593220338,0.07761403285245305,0.0454512324665184,-0.0714087122182405,-0.07140871221824052,20240520,20260417
year_2024,20240101,20241231,year,baseline,,3.0367110521229073,13,0,1,0.8461538461538461,0.0952011306589565,0.0575251788211788,-0.0825430297500238,-0.08254302975002381,20240520,20241227
year_2024,20240101,20241231,year,hard_exclude,,3.309922046039397,12,1,1,0.9166666666666666,0.11001314402637152,0.0589686399921604,-0.0251537565931826,-0.02515375659318253,20240520,20241227
year_2024,20240101,20241231,year,reduce_position,0.4,3.1733165490811523,13,0,1,0.8461538461538461,0.09837586257241895,0.0575251788211788,-0.0412715148750119,-0.041271514875012016,20240520,20241227
year_2024,20240101,20241231,year,reduce_position,0.2,3.2416192975602747,13,0,1,0.8461538461538461,0.09996322852915017,0.0575251788211788,-0.0251537565931826,-0.02515375659318253,20240520,20241227
year_2025,20250101,20251231,year,baseline,,11.442462829817101,36,0,3,0.6944444444444444,0.07838377003830099,0.03518371565296275,-0.1072601608998818,-0.10726016089988166,20250102,20251231
year_2025,20250101,20251231,year,hard_exclude,,14.012283959133981,33,3,3,0.7575757575757576,0.09139390082793968,0.0454512324665184,-0.0714087122182405,-0.07140871221824052,20250102,20251231
year_2025,20250101,20251231,year,reduce_position,0.4,12.689899469987568,36,0,3,0.6944444444444444,0.08108075623195618,0.03518371565296275,-0.0714087122182405,-0.0786739651049504,20250102,20251231
year_2025,20250101,20251231,year,reduce_position,0.2,13.341607865434545,36,0,3,0.6944444444444444,0.08242924932878377,0.03518371565296275,-0.0714087122182405,-0.07140871221824052,20250102,20251231
year_2026,20260101,20261231,year,baseline,,1.2952513639882868,10,0,1,0.7,0.02742324049048774,0.03752132864265305,-0.0506941155662459,-0.050694115566246034,20260115,20260417
