trade_date,raw_count,after_universe_count,after_include_1_segment_limit_up_count_bucket=lt_5,after_include_2_market_chain_count_bucket=8_15,after_include_3_fd_ratio_bucket=0_5pct_1pct,exclude_condition_1_amount_ratio_bucket=0_8_1_2_removed,after_exclude_condition_1_amount_ratio_bucket=0_8_1_2,exclude_condition_2_market_segment=star_removed,after_exclude_condition_2_market_segment=star,exclude_rule_1_exclude_bj_prev_pct_0_3_removed,after_exclude_rule_1_exclude_bj_prev_pct_0_3,final_count,first_zero_stage
20251112,47,47,4,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20251113,73,70,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20251114,59,58,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20251117,68,65,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20251118,38,36,4,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20251119,43,43,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20251120,35,35,3,3,1,0,1,0,1,0,1,1,not_zero
20251121,20,19,1,1,1,0,1,0,1,0,1,1,not_zero
20251124,60,57,3,3,1,1,0,0,0,0,0,0,after_exclude_condition_1_amount_ratio_bucket=0_8_1_2
20251125,71,66,5,5,1,0,1,0,1,0,1,1,not_zero
20251126,61,57,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20251127,46,42,0,0,0,0,0,0,0,0,0,0,after_include_1_segment_limit_up_count_bucket=lt_5
20251128,61,59,2,2,0,0,0,0,0,0,0,0,after_include_3_fd_ratio_bucket=0_5pct_1pct
20251201,52,51,1,0,0,0,0,0,0,0,0,0,after_include_2_market_chain_count_bucket=8_15
20251202,39,39,4,4,0,0,0,0,0,0,0,0,after_include_3_fd_ratio_bucket=0_5pct_1pct
