rule,family,description,signal_time_fields,uses_only_signal_time_known_fields,selection_signature,raw_event_count,candidate_day_count,selected_price_confirmed_count,selected_queue_unknown_count,unresolved_exit_count,independent_trade_count,independent_win_rate,independent_avg_account_return,independent_median_account_return,independent_equity_multiple,independent_max_drawdown,independent_max_profit,independent_max_loss,independent_profit_loss_ratio,independent_max_consecutive_losses,first_12m_trade_count,first_12m_multiple,second_12m_trade_count,second_12m_multiple,equivalent_rule_count,independent_profitable,merged_d_trade_count,merged_d_win_rate,merged_d_avg_account_return,merged_d_median_account_return,merged_d_equity_multiple,merged_d_max_drawdown,merged_d_max_profit,merged_d_max_loss,merged_d_profit_loss_ratio,merged_d_max_consecutive_losses,acde_trade_count,acde_win_rate,acde_avg_account_return,acde_median_account_return,acde_equity_multiple,acde_max_drawdown,acde_max_profit,acde_max_loss,acde_profit_loss_ratio,acde_max_consecutive_losses,merged_chosen_candidate_day_count,merged_chosen_baseline_day_count,acde_d_count,acde_a_count,acde_e_count,acde_c_count,merged_d_compound_improved,acde_compound_improved,triple_gate_passed,formal_strategy_modified
time_any__open_1_2__speed_6_10__ever_40_100,TIME_FREE,回封时间不限；第1~2次炸板后的回封；最后炸板后6~10分钟回封；信号时全市场已有40~100只首板触板,"last_break_to_signal_minutes,market_ever_sealed_count,open_times_at_signal",True,1fdace75cf9b3693c3ae8c1cdda17fcd9a04212a,1178,353,248,105,0,121,0.5206611570247934,0.015468506955191797,0.005278421775,5.097952533927302,-0.19911952170933123,0.1935590908019999,-0.1627866280771597,1.7591050178274228,5,57,2.4546879274987825,64,2.076823076700381,1,True,121.0,0.5206611570247934,0.015360775213074065,0.0043676885133477,5.034826541159226,-0.19911952170933123,0.1935590908019999,-0.1627866280771597,1.758830546255616,5.0,142.0,0.5422535211267606,0.02063000196102388,0.005638363601598919,11.818691914825088,-0.24867328829643953,0.4892913885103991,-0.1627866280771597,1.7630960753944187,5.0,353.0,3.0,101.0,16.0,18.0,7.0,True,False,False,False
time_any__open_1_2__speed_6_10__ever_40_150,TIME_FREE,回封时间不限；第1~2次炸板后的回封；最后炸板后6~10分钟回封；信号时全市场已有40~150只首板触板,"last_break_to_signal_minutes,market_ever_sealed_count,open_times_at_signal",True,34ddcc73b4683d338c712f05734bf26a554e8d31,1389,354,249,105,0,121,0.5206611570247934,0.015468506955191797,0.005278421775,5.097952533927302,-0.19911952170933123,0.1935590908019999,-0.1627866280771597,1.7591050178274228,5,57,2.4546879274987825,64,2.076823076700381,1,True,121.0,0.5206611570247934,0.015360775213074065,0.0043676885133477,5.034826541159226,-0.19911952170933123,0.1935590908019999,-0.1627866280771597,1.758830546255616,5.0,142.0,0.5422535211267606,0.02063000196102388,0.005638363601598919,11.818691914825088,-0.24867328829643953,0.4892913885103991,-0.1627866280771597,1.7630960753944187,5.0,354.0,2.0,101.0,16.0,18.0,7.0,True,False,False,False
time_1300_1359__open_eq4__speed_any__duration_61_120,SPEED_FREE,13:00~13:59回封；第4次炸板后的回封；回封速度不限；首封后61~120分钟形成回封,"first_to_signal_minutes,open_times_at_signal,signal_hhmm",True,77d13e6ef1b1c7a327e0346cd7a54b1a3ea99554,261,173,157,16,0,92,0.5,0.020568303513245203,0.0011520564637170206,5.077153716776814,-0.2603316728399768,0.3721270239550671,-0.1311553934155689,2.1857540008280805,5,44,3.1884728464653698,48,1.5923465437082747,1,True,98.0,0.5102040816326531,0.018843941563887096,0.004372532548431,4.989529990027314,-0.2603316728399768,0.3721270239550671,-0.1311553934155689,2.0627676249691493,5.0,142.0,0.6338028169014085,0.03824679963158461,0.022584355171651777,129.52201684622955,-0.2678387853929872,0.3721270239550671,-0.14417251000998996,2.1995361235563093,4.0,173.0,20.0,67.0,32.0,32.0,11.0,True,False,False,False
time_1300_1454__open_any__speed_6_10__amount_ge1_5,OPEN_COUNT_FREE,13:00~14:54回封；炸板/回封次数不限；最后炸板后6~10分钟回封；信号前成交额至少前日1.5倍,"last_break_to_signal_minutes,signal_cumulative_amount_vs_prev_day,signal_hhmm",True,b3711cf176e0d256634467a5b53f21e6e09421af,1302,373,285,88,0,129,0.5116279069767442,0.01481970368323233,0.0018150220858537,4.9684326690523575,-0.3978205680839352,0.3721270239550671,-0.1234202601747165,1.7864273603075975,5,63,2.5201524983017918,66,1.9714809609340487,1,True,130.0,0.5153846153846153,0.01488741471152719,0.00160168259769405,5.098055983541002,-0.36983359642483415,0.3721270239550671,-0.1234202601747165,1.788810116235409,5.0,149.0,0.5033557046979866,0.01841134222495113,0.0004041721418035946,9.986590711419678,-0.22366311535019467,0.3721270239550671,-0.11849477438811166,2.0663890378423133,5.0,372.0,6.0,104.0,21.0,19.0,5.0,True,False,False,False
time_any__open_1_2__speed_2_5__growth_board,TIME_FREE,回封时间不限；第1~2次炸板后的回封；最后炸板后2~5分钟回封；仅创业板或科创板,"last_break_to_signal_minutes,market_segment,open_times_at_signal",True,c333f217ef5530bd861f88f2d17646ce68aeac1a,1007,330,259,71,0,123,0.5040650406504065,0.01503237802186529,0.0024794651661675,4.315691375829429,-0.4622715786982573,0.2886461432667387,-0.1229136417690231,1.6239155362986744,10,60,1.3581219564986982,63,3.1776906007436065,1,True,125.0,0.512,0.017205772061853683,0.0025973816999692,5.842428740846791,-0.37671326143759076,0.2886461432667387,-0.121943391202544,1.7219972211540207,8.0,145.0,0.5517241379310345,0.019251680781342997,0.0083010686194345,10.079953726997772,-0.3757433063178578,0.2886461432667387,-0.14417251000998996,1.5386985167845855,6.0,329.0,7.0,108.0,10.0,17.0,10.0,True,False,False,False
time_1300_1359__open_any__speed_ge11__pre_low_ge0,OPEN_COUNT_FREE,13:00~13:59回封；炸板/回封次数不限；最后炸板11分钟后回封；信号前最低价不低于昨收,"last_break_to_signal_minutes,pre_signal_min_return,signal_hhmm",True,7becbc5563afbdd7a338d3f70f423938a3efaeac,1040,344,282,62,0,129,0.5348837209302325,0.013309954347180086,0.0082541688065934,4.25562493483338,-0.447602252530942,0.2124694253476716,-0.1404127616917432,1.499428610153532,4,61,1.263601376437201,68,3.3678539879660216,1,True,130.0,0.5230769230769231,0.013014348033280805,0.0059609217200612,4.144037773616731,-0.447602252530942,0.2124694253476716,-0.1404127616917432,1.5520303945303504,5.0,144.0,0.5347222222222222,0.01874442851505513,0.004706411918114253,9.82435079296078,-0.48227116348343657,0.3687231660523884,-0.17629142067722955,1.792508758177763,4.0,344.0,7.0,100.0,16.0,19.0,9.0,True,False,False,False
time_before_1400__open_any__speed_6_10__duration_61_120,OPEN_COUNT_FREE,14:00前回封；炸板/回封次数不限；最后炸板后6~10分钟回封；首封后61~120分钟形成回封,"first_to_signal_minutes,last_break_to_signal_minutes,signal_hhmm",True,9f763f857aa900741f8077b29be5dfaf4eddb65b,418,231,200,31,0,108,0.4722222222222222,0.015919882605964605,-0.0024852656971892,4.1376643793368695,-0.44170508674664566,0.3721270239550671,-0.0934169750313625,2.0515521475190397,5,53,1.676404035536975,55,2.468178488971196,2,True,112.0,0.45535714285714285,0.012522439418453518,-0.0032923970450167003,3.1301153167919336,-0.3286056500658878,0.2884775816944691,-0.0934169750313625,1.9867130685554064,5.0,142.0,0.5915492957746479,0.028643821997793608,0.014314851839133131,36.04316039685149,-0.2329465090007421,0.4892913885103991,-0.13823939725321072,2.0021828970491318,4.0,231.0,18.0,77.0,27.0,29.0,9.0,True,False,False,False
time_1300_1454__open_any__speed_6_10,STRUCTURAL_GRID,13:00~14:54回封；炸板/回封次数不限；最后炸板后6~10分钟回封,"last_break_to_signal_minutes,signal_hhmm",True,e7629780dddbbb231dac5aff80a81a2986c4c137,1942,413,327,86,0,136,0.5294117647058824,0.012907534641393544,0.00455076258207285,4.1207442934798095,-0.43766847982440926,0.3090002845557691,-0.1338850016643887,1.4345803301761757,5,65,1.8396534599824206,71,2.2399568087780994,1,True,136.0,0.5294117647058824,0.012907534641393544,0.00455076258207285,4.1207442934798095,-0.43766847982440926,0.3090002845557691,-0.1338850016643887,1.4345803301761757,5.0,150.0,0.5333333333333333,0.01872417360945318,0.003537060168639584,10.215999719888664,-0.43766847982440904,0.3687231660523884,-0.1338850016643887,1.6729372766983832,5.0,412.0,4.0,118.0,13.0,14.0,5.0,True,False,False,False
time_1300_1454__open_any__speed_6_10__seal_rate_ge60,OPEN_COUNT_FREE,13:00~14:54回封；炸板/回封次数不限；最后炸板后6~10分钟回封；信号时全市场首板封住率至少60%,"last_break_to_signal_minutes,market_seal_rate,signal_hhmm",True,177e74abb3a3d0f5b54aa3fb5bede63f792e012c,1612,387,308,79,0,131,0.5343511450381679,0.01322912743994309,0.0043676885133477,4.100839429118364,-0.38534858539589123,0.3090002845557691,-0.1338850016643887,1.4361045661218728,5,63,1.4922961372050416,68,2.748006462577147,1,True,131.0,0.5343511450381679,0.01322912743994309,0.0043676885133477,4.100839429118364,-0.38534858539589123,0.3090002845557691,-0.1338850016643887,1.4361045661218728,5.0,151.0,0.5364238410596026,0.021381631348217675,0.0021752415944633883,14.694604495598593,-0.3389197428504205,0.4892913885103991,-0.1338850016643887,1.8566489920677567,5.0,385.0,5.0,113.0,16.0,16.0,6.0,True,False,False,False
time_1300_1454__open_eq3__speed_any__growth_board,SPEED_FREE,13:00~14:54回封；第3次炸板后的回封；回封速度不限；仅创业板或科创板,"market_segment,open_times_at_signal,signal_hhmm",True,26f6c6cd1b8dc8136afd71384921e43a5aae7f14,493,229,181,48,0,105,0.4857142857142857,0.01638734055628506,-0.0046259348904044,4.06332945099963,-0.39172209038579,0.2886461432667387,-0.1293101803360104,1.9396064033901959,11,47,1.0940960991808448,58,3.713868876821574,1,True,107.0,0.45794392523364486,0.0118847454165459,-0.0065686671289239,2.702312821748882,-0.40914561003657346,0.2886461432667387,-0.1293101803360104,1.8815773605521156,12.0,147.0,0.5850340136054422,0.026896168562516184,0.0157131770571429,31.60395351285907,-0.24915144412903345,0.4892913885103991,-0.11849477438811166,1.9298243431342932,5.0,225.0,20.0,80.0,28.0,29.0,10.0,True,False,False,False
