signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,n_rule_id,n_branch,peak_equity,drawdown
20240524,EXECUTED,N,301389.SZ,隆扬电子,20240527,20240528,-0.09409639637482897,751259.155571708,680568.3762888133,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,751259.155571708,-0.09409639637482892
20240625,EXECUTED,N,600216.SH,浙江医药,20240626,20240627,0.010811263925729403,1164541.3414454137,1177131.5052402029,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,1187758.8200528733,-0.00894736762484949
20240710,EXECUTED,N,002920.SZ,德赛西威,20240711,20240712,0.025688250554733852,1173832.680158616,1203986.3881558653,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,1203986.3881558653,0.0
20240716,EXECUTED,N,688256.SH,寒武纪-U,20240717,20240718,0.01691101070099263,1240114.648112385,1261086.2401970713,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,1261086.2401970713,0.0
20240725,EXECUTED,N,600611.SH,大众交通,20240726,20240729,0.10431391400093823,1565243.1281047403,1728519.7651604176,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,1728519.7651604176,0.0
20240812,EXECUTED,N,300147.SZ,香雪制药,20240813,20240814,0.05381094230769235,2117717.481881747,2231673.8551232773,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,2231673.8551232773,0.0
20240822,EXECUTED,N,000810.SZ,创维数字,20240823,20240826,0.14622978450281438,2275649.1021469096,2608416.779957875,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,2608416.779957875,0.0
20240912,EXECUTED,N,000158.SZ,常山北明,20240913,20240918,0.0858307811566468,2855109.396459035,3100165.6662447965,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,3100165.6662447965,0.0
20241010,EXECUTED,N,002423.SZ,中粮资本,20241011,20241014,0.1248675056947892,4938792.046904521,5555486.690946751,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,5555486.690946751,0.0
20250327,EXECUTED,N,300260.SZ,新莱应材,20250328,20250331,-0.052395094850065,83026169.70290813,78676005.66628666,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,83026169.70290813,-0.052395094850064994
20250402,EXECUTED,N,002549.SZ,凯美特气,20250403,20250407,0.09834792692307696,72153458.16902277,79249601.2002771,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,83026169.70290813,-0.045486483552651946
20250512,EXECUTED,N,302132.SZ,中航成飞,20250513,20250514,-0.04870750329256811,215072194.66078365,204596565.0312037,,,,N:T+1开盘/T+2收盘;双边0.1%滑点;显式费用;82.5%仓位,market_chain_count_bucket=3_8;market_emotion_state_bucket=mixed|amount_desc,SUPPLEMENT,215072194.66078365,-0.04870750329256812
