trade_date,ts_code,name,market_segment,segment_limit_max_height_bucket,segment_retreat_state_bucket,market_chain_count_bucket,market_emotion_state_bucket,volume_ratio_bucket,n_branch,n_rule_id,first_time,first_time_minutes,circ_mv,limit_close,fill_probability,fill_space_ratio,fill_probability_method,model_training_end_date,execution_status,buy_date,exit_date,exit_rule,stock_return_before_fees,strategy_version,sample_scope
20240522,002129.SZ,TCL中环,sz_main,3,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,131124,791.0,4593160.9635,11.37,1.0,6514.89469502732,asof_turnover_space_proxy_v2,20240521.0,OK,20240523,20240524,FIXED_CLOSE,-0.01668720889500097,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240524,002897.SZ,意华股份,sz_main,4_5,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,95642,596.0,769002.1437,47.11,1.0,1362.7986249967762,asof_turnover_space_proxy_v2,20240523.0,OK,20240527,20240528,FIXED_CLOSE,-0.07282395024330512,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240528,300290.SZ,荣科科技,chi_next,3,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,133936,819.0,733192.5879,11.47,1.0,2723.093730592308,asof_turnover_space_proxy_v2,20240527.0,OK,20240529,20240530,FIXED_CLOSE,-0.022808560433220104,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240529,002155.SZ,湖南黄金,sz_main,2,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,100142,601.0,2604546.0496,21.67,1.0,4993.976818907617,asof_turnover_space_proxy_v2,20240528.0,OK,20240530,20240531,FIXED_CLOSE,-0.11683658806946484,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240530,300672.SZ,国科微,chi_next,1,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,133445,814.0,1256397.1688,59.8,1.0,3361.500208291026,asof_turnover_space_proxy_v2,20240529.0,OK,20240531,20240603,FIXED_CLOSE,0.03990220038975756,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240531,300342.SZ,天银机电,chi_next,2,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,110024,660.0,741338.5518,17.81,1.0,1979.910179085256,asof_turnover_space_proxy_v2,20240530.0,OK,20240603,20240604,FIXED_CLOSE,-0.04295030433310365,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240604,300552.SZ,万集科技,chi_next,2,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,94039,580.0,510704.2152,40.57,1.0,1647.2547276452267,asof_turnover_space_proxy_v2,20240603.0,OK,20240605,20240606,FIXED_CLOSE,-0.03420689419740186,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240611,600171.SH,上海贝岭,sh_main,gte_6,neutral,3_8,mixed,lt_1,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,100129,601.0,1343409.6592,18.95,1.0,1164.2268740849552,asof_turnover_space_proxy_v2,20240607.0,OK,20240612,20240613,FIXED_CLOSE,-0.029012356387228433,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240612,300641.SZ,正丹股份,chi_next,1,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,134821,828.0,1710389.8065,33.65,1.0,6189.42668607474,asof_turnover_space_proxy_v2,20240611.0,OK,20240613,20240614,FIXED_CLOSE,-0.19561038961038946,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240618,002869.SZ,金溢科技,sz_main,4_5,warming_2day,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,110112,661.0,491871.7812,31.1,1.0,930.482338942332,asof_turnover_space_proxy_v2,20240617.0,OK,20240619,20240620,INTRADAY_LIMIT_UP_MINUS_OFFSET,0.13886113886113916,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
